$ Get data for 692:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:30:46 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA692           Pigtail Peak
WA692       1200   5     41.00
WA692       1200   6     51.00
WA692       1200   7     37.00
WA692       1200   8     36.00
WA692       1200   9     24.00
WA692       1200  10     18.00
WA692       1200  11   -999.00
WA692       1200  12   -999.00
WA692       1200  13   -999.00
WA692       1200  14   -999.00
WA692       1200  15   -999.00
WA692       1200  16   -999.00
WA692       1200  17    -10.00
WA692       1200  18   -999.00
WA692       1200  19   -999.00
WA692       1200  20   -999.00
WA692       1200  21   -999.00
WA692       1200  22     31.00
WA692       1200  23     29.00
WA692       1200  24     29.00
WA692       1200  25     38.00
WA692       1200  26     49.00
WA692       1200  27     41.00
WA692       1200  28     30.00
WA692       1200  29     44.00
WA692       1200  30     41.00
WA692       1200  31     34.00
WA692       0101   1     42.00
WA692       0101   2     51.00
WA692       0101   3     49.00
WA692       0101   4     42.00
WA692       0101   5     38.00
WA692       0101   6     29.00
WA692       0101   7     31.00
WA692       0101   8     33.00
WA692       0101   9     28.00
WA692       0101  10     27.00
WA692       0101  11     29.00
WA692       0101  12     27.00
WA692       0101  13     25.00
WA692       0101  14     23.00
WA692       0101  15     24.00
WA692       0101  16     34.00
WA692       0101  17     36.00
WA692       0101  18     37.00
WA692       0101  19     31.00
WA692       0101  20     32.00
WA692       0101  21     33.00
WA692       0101  22     26.00
WA692       0101  23     22.00
WA692       0101  24     28.00
WA692       0101  25     24.00
WA692       0101  26     23.00
WA692       0101  27     36.00
WA692       0101  28     38.00
WA692       0101  29     26.00
WA692       0101  30     24.00
WA692       0101  31     33.00
WA692       0201   1     34.00
WA692       0201   2     30.00
WA692       0201   3     32.00
WA692       0201   4     33.00
WA692       0201   5     26.00
WA692       0201   6     23.00
WA692       0201   7     24.00
WA692       0201   8     28.00
WA692       0201   9     23.00
WA692       0201  10     21.00
WA692       0201  11     19.00
WA692       0201  12     31.00
WA692       0201  13     37.00
WA692       0201  14     38.00
WA692       0201  15     28.00
WA692       0201  16     30.00
WA692       0201  17     26.00
WA692       0201  18     31.00
WA692       0201  19     32.00
WA692       0201  20     36.00
WA692       0201  21     34.00
WA692       0201  22     40.00
WA692       0201  23     27.00
WA692       0201  24     37.00
WA692       0201  25     39.00
WA692       0201  26     45.00
WA692       0201  27     44.00
WA692       0201  28     44.00
WA692       0301   1     35.00
WA692       0301   2     26.00
WA692       0301   3     29.00
WA692       0301   4     26.00
WA692       0301   5     47.00
WA692       0301   6     46.00
WA692       0301   7     56.00
WA692       0301   8     37.00
WA692       0301   9     40.00
WA692       0301  10     30.00
WA692       0301  11     36.00
WA692       0301  12     37.00
WA692       0301  13     31.00
WA692       0301  14     32.00
WA692       0301  15     31.00
WA692       0301  16     25.00
WA692       0301  17     37.00
WA692       0301  18     38.00
WA692       0301  19     32.00
