$ Get data for 824:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:17 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA824           Touchet
WA824       0301   8     42.00
WA824       0301   9     33.00
WA824       0301  10     32.00
WA824       0301  11     36.00
WA824       0301  12     40.00
WA824       0301  13     42.00
WA824       0301  14     35.00
WA824       0301  15     34.00
WA824       0301  16     33.00
WA824       0301  17     37.00
WA824       0301  18     40.00
WA824       0301  19     39.00
WA824       0301  20     45.00
WA824       0301  21     50.00
WA824       0301  22     55.00
WA824       0301  23     58.00
WA824       0301  24     55.00
WA824       0301  25     43.00
WA824       0301  26     31.00
WA824       0301  27     36.00
WA824       0301  28     33.00
WA824       0301  29     39.00
WA824       0301  30     36.00
WA824       0301  31     35.00
WA824       0401   1     31.00
WA824       0401   2     26.00
WA824       0401   3     33.00
WA824       0401   4     35.00
WA824       0401   5     44.00
WA824       0401   6     34.00
WA824       0401   7     25.00
WA824       0401   8     32.00
WA824       0401   9     38.00
WA824       0401  10     33.00
WA824       0401  11     31.00
WA824       0401  12     34.00
WA824       0401  13     31.00
WA824       0401  14     42.00
WA824       0401  15     53.00
WA824       0401  16     59.00
WA824       0401  17     50.00
WA824       0401  18     32.00
WA824       0401  19     46.00
WA824       0401  20     44.00
WA824       0401  21     49.00
WA824       0401  22     43.00
WA824       0401  23     44.00
WA824       0401  24     63.00
WA824       0401  25     68.00
WA824       0401  26     65.00
WA824       0401  27     65.00
WA824       0401  28     37.00
WA824       0401  29     37.00
WA824       0401  30     39.00
WA824       0501   1     32.00
WA824       0501   2     42.00
WA824       0501   3     54.00
WA824       0501   4     59.00
WA824       0501   5     38.00
WA824       0501   6     49.00
WA824       0501   7     62.00
WA824       0501   8     58.00
WA824       0501   9     52.00
WA824       0501  10     55.00
WA824       0501  11     71.00
WA824       0501  12     74.00
WA824       0501  13     61.00
WA824       0501  14     48.00
WA824       0501  15     47.00
WA824       0501  16     41.00
WA824       0501  17     48.00
WA824       0501  18     54.00
WA824       0501  19     51.00
WA824       0501  20     50.00
WA824       0501  21     64.00
WA824       0501  22     78.00
WA824       0501  23     83.00
WA824       0501  24     74.00
WA824       0501  25     72.00
WA824       0501  26     76.00
WA824       0501  27     71.00
WA824       0501  28     58.00
WA824       0501  29     50.00
WA824       0501  30     58.00
WA824       0501  31     73.00
WA824       0601   1     77.00
WA824       0601   2     43.00
WA824       0601   3     41.00
WA824       0601   4     54.00
WA824       0601   5     39.00
