$ Get data for 899:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:41:54 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA899           Tinkham Creek
WA899       0101  30     33.00
WA899       0101  31     37.00
WA899       0201   1     42.00
WA899       0201   2     33.00
WA899       0201   3     41.00
WA899       0201   4     36.00
WA899       0201   5     33.00
WA899       0201   6     35.00
WA899       0201   7     31.00
WA899       0201   8     27.00
WA899       0201   9     31.00
WA899       0201  10     30.00
WA899       0201  11     35.00
WA899       0201  12     39.00
WA899       0201  13     41.00
WA899       0201  14     45.00
WA899       0201  15     36.00
WA899       0201  16     25.00
WA899       0201  17     32.00
WA899       0201  18     38.00
WA899       0201  19     38.00
WA899       0201  20     43.00
WA899       0201  21     41.00
WA899       0201  22     44.00
WA899       0201  23     38.00
WA899       0201  24     43.00
WA899       0201  25     42.00
WA899       0201  26     46.00
WA899       0201  27     43.00
WA899       0201  28     50.00
WA899       0301   1     38.00
WA899       0301   2     39.00
WA899       0301   3     35.00
WA899       0301   4     38.00
WA899       0301   5     53.00
WA899       0301   6     54.00
WA899       0301   7     58.00
WA899       0301   8     40.00
WA899       0301   9     40.00
WA899       0301  10     36.00
WA899       0301  11     37.00
WA899       0301  12     39.00
WA899       0301  13     40.00
WA899       0301  14     41.00
WA899       0301  15     36.00
WA899       0301  16     38.00
WA899       0301  17     48.00
WA899       0301  18     40.00
WA899       0301  19     41.00
WA899       0301  20     51.00
WA899       0301  21     54.00
WA899       0301  22     60.00
WA899       0301  23     62.00
WA899       0301  24     59.00
WA899       0301  25     47.00
WA899       0301  26     37.00
WA899       0301  27     34.00
WA899       0301  28     38.00
WA899       0301  29     39.00
WA899       0301  30     50.00
WA899       0301  31     41.00
WA899       0401   1     43.00
WA899       0401   2     38.00
WA899       0401   3     41.00
WA899       0401   4     52.00
WA899       0401   5     44.00
WA899       0401   6     41.00
WA899       0401   7     41.00
WA899       0401   8     40.00
WA899       0401   9     41.00
WA899       0401  10     35.00
WA899       0401  11     48.00
WA899       0401  12     41.00
WA899       0401  13     39.00
WA899       0401  14     49.00
WA899       0401  15     53.00
WA899       0401  16     59.00
WA899       0401  17     56.00
WA899       0401  18     49.00
WA899       0401  19     54.00
WA899       0401  20     56.00
WA899       0401  21     57.00
WA899       0401  22     46.00
WA899       0401  23     44.00
WA899       0401  24     67.00
WA899       0401  25     73.00
WA899       0401  26     65.00
WA899       0401  27     58.00
WA899       0401  28     46.00
WA899       0401  29     38.00
WA899       0401  30     37.00
WA899       0501   1     40.00
WA899       0501   2     49.00
WA899       0501   3     57.00
WA899       0501   4     56.00
WA899       0501   5     44.00
WA899       0501   6     61.00
WA899       0501   7     69.00
WA899       0501   8     53.00
WA899       0501   9     56.00
WA899       0501  10     62.00
WA899       0501  11     74.00
WA899       0501  12     70.00
WA899       0501  13     57.00
WA899       0501  14     46.00
WA899       0501  15     53.00
WA899       0501  16     46.00
WA899       0501  17     47.00
WA899       0501  18     49.00
WA899       0501  19     45.00
WA899       0501  20     60.00
WA899       0501  21     78.00
WA899       0501  22     85.00
WA899       0501  23     83.00
WA899       0501  24     71.00
WA899       0501  25     74.00
WA899       0501  26     77.00
WA899       0501  27     59.00
WA899       0501  28     49.00
WA899       0501  29     53.00
WA899       0501  30     57.00
WA899       0501  31     80.00
WA899       0601   1     53.00
WA899       0601   2     44.00
WA899       0601   3     43.00
WA899       0601   4     46.00
WA899       0601   5     48.00
WA899       0601   6     58.00
WA899       0601   7     68.00
WA899       0601   8     62.00
WA899       0601   9     47.00
WA899       0601  10     51.00
WA899       0601  11     41.00
WA899       0601  12     43.00
WA899       0601  13     58.00
WA899       0601  14     53.00
WA899       0601  15     56.00
WA899       0601  16     55.00
WA899       0601  17     52.00
WA899       0601  18     65.00
WA899       0601  19     77.00
WA899       0601  20     79.00
WA899       0601  21     75.00
WA899       0601  22     65.00
WA899       0601  23     60.00
WA899       0601  24     53.00
WA899       0601  25     63.00
WA899       0601  26     61.00
WA899       0601  27     58.00
WA899       0601  28     57.00
WA899       0601  29     69.00
WA899       0601  30     69.00
WA899       0701   1     68.00
WA899       0701   2     77.00
WA899       0701   3     84.00
WA899       0701   4     79.00
WA899       0701   5     64.00
WA899       0701   6     67.00
WA899       0701   7     73.00
WA899       0701   8     78.00
WA899       0701   9     82.00
WA899       0701  10     79.00
WA899       0701  11     79.00
WA899       0701  12     76.00
WA899       0701  13     73.00
WA899       0701  14     67.00
WA899       0701  15     50.00
WA899       0701  16     49.00
WA899       0701  17     54.00
WA899       0701  18     57.00
WA899       0701  19     65.00
WA899       0701  20     64.00
WA899       0701  21     61.00
WA899       0701  22     65.00
WA899       0701  23     75.00
WA899       0701  24     63.00
WA899       0701  25     73.00
WA899       0701  26     72.00
WA899       0701  27     69.00
WA899       0701  28     52.00
WA899       0701  29     56.00
WA899       0701  30     56.00
WA899       0701  31     61.00
WA899       0801   1     69.00
WA899       0801   2     76.00
WA899       0801   3     66.00
WA899       0801   4     60.00
WA899       0801   5     70.00
WA899       0801   6     73.00
WA899       0801   7     72.00
WA899       0801   8     82.00
WA899       0801   9     89.00
WA899       0801  10     84.00
WA899       0801  11     83.00
WA899       0801  12     92.00
WA899       0801  13     80.00
WA899       0801  14     78.00
WA899       0801  15     84.00
WA899       0801  16     71.00
WA899       0801  17     69.00
WA899       0801  18     58.00
WA899       0801  19     67.00
WA899       0801  20     65.00
WA899       0801  21     62.00
WA899       0801  22     58.00
WA899       0801  23     55.00
WA899       0801  24     66.00
WA899       0801  25     78.00
WA899       0801  26     79.00
WA899       0801  27     75.00
WA899       0801  28     71.00
WA899       0801  29     75.00
WA899       0801  30     76.00
WA899       0801  31     62.00
WA899       0901   1     53.00
WA899       0901   2     67.00
WA899       0901   3     58.00
WA899       0901   4     65.00
WA899       0901   5     46.00
WA899       0901   6     56.00
WA899       0901   7     62.00
WA899       0901   8     74.00
WA899       0901   9     73.00
WA899       0901  10     72.00
WA899       0901  11     78.00
WA899       0901  12     74.00
WA899       0901  13     77.00
WA899       0901  14     78.00
WA899       0901  15     76.00
WA899       0901  16     70.00
WA899       0901  17     51.00
WA899       0901  18     58.00
WA899       0901  19   -999.00
WA899       0901  20     69.00
WA899       0901  21     57.00
WA899       0901  22     75.00
WA899       0901  23     83.00
WA899       0901  24     76.00
WA899       0901  25     62.00
WA899       0901  26     52.00
WA899       0901  27     53.00
WA899       0901  28     60.00
WA899       0901  29     66.00
WA899       0901  30     71.00
WA899       1001   1     71.00
WA899       1001   2     66.00
WA899       1001   3     67.00
WA899       1001   4     64.00
WA899       1001   5     62.00
WA899       1001   6     52.00
WA899       1001   7     49.00
WA899       1001   8     43.00
WA899       1001   9     48.00
WA899       1001  10     44.00
WA899       1001  11     42.00
WA899       1001  12     47.00
WA899       1001  13     44.00
WA899       1001  14     49.00
WA899       1001  15     54.00
WA899       1001  16     52.00
WA899       1001  17     43.00
WA899       1001  18     43.00
WA899       1001  19     46.00
WA899       1001  20     48.00
WA899       1001  21     44.00
WA899       1001  22     45.00
WA899       1001  23     37.00
WA899       1001  24     33.00
