$ Get data for 1011:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:23:58 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA1011          Mf Nooksack
WA1011      0402  12   -999.00
WA1011      0402  13   -999.00
WA1011      0402  14   -999.00
WA1011      0402  15   -999.00
WA1011      0402  16   -999.00
WA1011      0402  17   -999.00
WA1011      0402  18   -999.00
WA1011      0402  19   -999.00
WA1011      0402  20   -999.00
WA1011      0402  21   -999.00
WA1011      0402  22   -999.00
WA1011      0402  23   -999.00
WA1011      0402  24   -999.00
WA1011      0402  25   -999.00
WA1011      0402  26   -999.00
WA1011      0402  27   -999.00
WA1011      0402  28   -999.00
WA1011      0402  29   -999.00
WA1011      0402  30   -999.00
WA1011      0502   1   -999.00
WA1011      0502   2   -999.00
WA1011      0502   3   -999.00
WA1011      0502   4   -999.00
WA1011      0502   5   -999.00
WA1011      0502   6   -999.00
WA1011      0502   7   -999.00
WA1011      0502   8   -999.00
WA1011      0502   9   -999.00
WA1011      0502  10   -999.00
WA1011      0502  11   -999.00
WA1011      0502  12   -999.00
WA1011      0502  13   -999.00
WA1011      0502  14   -999.00
WA1011      0502  15   -999.00
WA1011      0502  16   -999.00
WA1011      0502  17   -999.00
WA1011      0502  18   -999.00
WA1011      0502  19   -999.00
WA1011      0502  20   -999.00
WA1011      0502  21   -999.00
WA1011      0502  22   -999.00
WA1011      0502  23   -999.00
WA1011      0502  24   -999.00
WA1011      0502  25   -999.00
WA1011      0502  26   -999.00
WA1011      0502  27   -999.00
WA1011      0502  28   -999.00
WA1011      0502  29   -999.00
WA1011      0502  30   -999.00
WA1011      0502  31   -999.00
WA1011      0602   1   -999.00
WA1011      0602   2   -999.00
WA1011      0602   3   -999.00
WA1011      0602   4   -999.00
WA1011      0602   5   -999.00
WA1011      0602   6   -999.00
WA1011      0602   7   -999.00
WA1011      0602   8   -999.00
WA1011      0602   9   -999.00
WA1011      0602  10   -999.00
WA1011      0602  11   -999.00
WA1011      0602  12   -999.00
WA1011      0602  13   -999.00
WA1011      0602  14   -999.00
WA1011      0602  15   -999.00
WA1011      0602  16   -999.00
WA1011      0602  17   -999.00
WA1011      0602  18   -999.00
