$ Get data for 352:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:43:40 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA352           Blewett Pass
WA352       0701   3     87.00
WA352       0701   4     89.00
WA352       0701   5     73.00
WA352       0701   6     75.00
WA352       0701   7     79.00
WA352       0701   8     85.00
WA352       0701   9     87.00
WA352       0701  10     85.00
WA352       0701  11     85.00
WA352       0701  12     83.00
WA352       0701  13     80.00
WA352       0701  14     76.00
WA352       0701  15     62.00
WA352       0701  16     60.00
WA352       0701  17     63.00
WA352       0701  18     64.00
WA352       0701  19     70.00
WA352       0701  20     69.00
WA352       0701  21     70.00
WA352       0701  22     74.00
WA352       0701  23     81.00
WA352       0701  24     75.00
WA352       0701  25     78.00
WA352       0701  26     80.00
WA352       0701  27     75.00
WA352       0701  28     59.00
WA352       0701  29     64.00
WA352       0701  30     65.00
WA352       0701  31     71.00
WA352       0801   1     75.00
WA352       0801   2     77.00
WA352       0801   3     75.00
WA352       0801   4     71.00
WA352       0801   5     73.00
WA352       0801   6     82.00
WA352       0801   7     83.00
WA352       0801   8     80.00
WA352       0801   9     85.00
WA352       0801  10     89.00
WA352       0801  11     86.00
WA352       0801  12     91.00
WA352       0801  13     90.00
WA352       0801  14     87.00
WA352       0801  15     90.00
WA352       0801  16     91.00
WA352       0801  17     80.00
WA352       0801  18     69.00
WA352       0801  19     71.00
WA352       0801  20     71.00
WA352       0801  21     67.00
WA352       0801  22     53.00
WA352       0801  23     62.00
WA352       0801  24     65.00
WA352       0801  25     75.00
WA352       0801  26     83.00
WA352       0801  27     78.00
WA352       0801  28     80.00
WA352       0801  29     81.00
WA352       0801  30     81.00
WA352       0801  31     71.00
WA352       0901   1     58.00
WA352       0901   2     70.00
WA352       0901   3     67.00
WA352       0901   4     72.00
WA352       0901   5     62.00
WA352       0901   6     63.00
WA352       0901   7     67.00
WA352       0901   8     73.00
WA352       0901   9     78.00
WA352       0901  10     80.00
WA352       0901  11     78.00
WA352       0901  12     82.00
WA352       0901  13     83.00
WA352       0901  14     86.00
WA352       0901  15     85.00
WA352       0901  16     84.00
WA352       0901  17     77.00
WA352       0901  18     68.00
WA352       0901  19     65.00
WA352       0901  20     73.00
WA352       0901  21     62.00
WA352       0901  22     74.00
WA352       0901  23     77.00
WA352       0901  24     81.00
WA352       0901  25     71.00
WA352       0901  26     53.00
WA352       0901  27     49.00
WA352       0901  28     62.00
WA352       0901  29     65.00
WA352       0901  30     68.00
WA352       1001   1     76.00
WA352       1001   2     71.00
WA352       1001   3     66.00
WA352       1001   4     57.00
WA352       1001   5     58.00
WA352       1001   6     57.00
WA352       1001   7     48.00
WA352       1001   8     49.00
WA352       1001   9     52.00
WA352       1001  10     40.00
WA352       1001  11     45.00
WA352       1001  12     47.00
WA352       1001  13     53.00
WA352       1001  14     53.00
WA352       1001  15     55.00
WA352       1001  16     56.00
WA352       1001  17     45.00
WA352       1001  18     47.00
WA352       1001  19     54.00
WA352       1001  20     54.00
WA352       1001  21     41.00
WA352       1001  22     39.00
WA352       1001  23     32.00
WA352       1001  24     36.00
WA352       1001  25     45.00
WA352       1001  26     46.00
WA352       1001  27     41.00
WA352       1001  28     42.00
WA352       1001  29     38.00
WA352       1001  30     39.00
WA352       1001  31     40.00
WA352       1101   1     41.00
WA352       1101   2     50.00
WA352       1101   3     53.00
WA352       1101   4     52.00
WA352       1101   5     40.00
WA352       1101   6     41.00
WA352       1101   7     41.00
WA352       1101   8     43.00
WA352       1101   9     43.00
WA352       1101  10     42.00
WA352       1101  11     44.00
WA352       1101  12   -999.00
WA352       1101  13   -999.00
WA352       1101  14   -999.00
WA352       1101  15   -999.00
WA352       1101  16   -999.00
WA352       1101  17     40.00
WA352       1101  18     37.00
WA352       1101  19   -999.00
WA352       1101  20   -999.00
WA352       1101  21   -999.00
WA352       1101  22   -999.00
WA352       1101  23     36.00
WA352       1101  24   -999.00
WA352       1101  25   -999.00
WA352       1101  26     34.00
WA352       1101  27   -999.00
WA352       1101  28   -999.00
WA352       1101  29     30.00
WA352       1101  30   -999.00
WA352       1201   1   -999.00
WA352       1201   2   -999.00
WA352       1201   3   -999.00
WA352       1201   4   -999.00
WA352       1201   5   -999.00
WA352       1201   6   -999.00
WA352       1201   7   -999.00
WA352       1201   8   -999.00
WA352       1201   9     31.00
WA352       1201  10     27.00
WA352       1201  11     28.00
WA352       1201  12     29.00
WA352       1201  13     33.00
WA352       1201  14     29.00
WA352       1201  15     28.00
WA352       1201  16     36.00
WA352       1201  17     32.00
WA352       1201  18     25.00
WA352       1201  19     33.00
WA352       1201  20     26.00
WA352       1201  21     30.00
WA352       1201  22     28.00
WA352       1201  23     29.00
WA352       1201  24     28.00
WA352       1201  25     22.00
WA352       1201  26     23.00
WA352       1201  27     22.00
WA352       1201  28     36.00
WA352       1201  29     27.00
WA352       1201  30     30.00
WA352       1201  31     29.00
WA352       0102   1     26.00
WA352       0102   2     29.00
WA352       0102   3     35.00
WA352       0102   4     36.00
WA352       0102   5     31.00
WA352       0102   6     36.00
WA352       0102   7     40.00
WA352       0102   8     41.00
WA352       0102   9     43.00
WA352       0102  10     37.00
WA352       0102  11     35.00
WA352       0102  12     32.00
