$ Get data for 943:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:49:36 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA943           Dungeness
WA943       0201  14     45.00
WA943       0201  15     25.00
WA943       0201  16     38.00
WA943       0201  17     46.00
WA943       0201  18     43.00
WA943       0201  19     45.00
WA943       0201  20     50.00
WA943       0201  21     43.00
WA943       0201  22     45.00
WA943       0201  23     41.00
WA943       0201  24     36.00
WA943       0201  25     42.00
WA943       0201  26     43.00
WA943       0201  27     55.00
WA943       0201  28     50.00
WA943       0301   1     40.00
WA943       0301   2     40.00
WA943       0301   3     35.00
WA943       0301   4     35.00
WA943       0301   5     47.00
WA943       0301   6     58.00
WA943       0301   7     60.00
WA943       0301   8     41.00
WA943       0301   9     45.00
WA943       0301  10     42.00
WA943       0301  11     43.00
WA943       0301  12     49.00
WA943       0301  13     42.00
WA943       0301  14     41.00
WA943       0301  15     38.00
WA943       0301  16     36.00
WA943       0301  17     45.00
WA943       0301  18     53.00
WA943       0301  19     44.00
WA943       0301  20     42.00
WA943       0301  21     46.00
WA943       0301  22     50.00
WA943       0301  23     62.00
WA943       0301  24     56.00
WA943       0301  25     47.00
WA943       0301  26     37.00
WA943       0301  27     37.00
WA943       0301  28     39.00
WA943       0301  29     35.00
WA943       0301  30     38.00
WA943       0301  31     50.00
WA943       0401   1     31.00
WA943       0401   2     39.00
WA943       0401   3     36.00
WA943       0401   4     49.00
WA943       0401   5     40.00
WA943       0401   6     31.00
WA943       0401   7     36.00
WA943       0401   8     38.00
WA943       0401   9     42.00
WA943       0401  10     32.00
WA943       0401  11     47.00
WA943       0401  12     36.00
WA943       0401  13     35.00
WA943       0401  14     42.00
WA943       0401  15     47.00
WA943       0401  16     52.00
WA943       0401  17     50.00
WA943       0401  18     43.00
WA943       0401  19     43.00
WA943       0401  20     51.00
WA943       0401  21     49.00
WA943       0401  22     41.00
WA943       0401  23     51.00
WA943       0401  24     59.00
WA943       0401  25     65.00
WA943       0401  26     60.00
WA943       0401  27     51.00
