$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:04 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       1000  30     46.00
WA734       1000  31     39.00
WA734       1100   1     42.00
WA734       1100   2     41.00
WA734       1100   3     51.00
WA734       1100   4     41.00
WA734       1100   5     35.00
WA734       1100   6     42.00
WA734       1100   7     33.00
WA734       1100   8     32.00
WA734       1100   9     32.00
WA734       1100  10     25.00
WA734       1100  11     29.00
WA734       1100  12     34.00
WA734       1100  13     26.00
WA734       1100  14     33.00
WA734       1100  15     34.00
WA734       1100  16     25.00
WA734       1100  17     26.00
WA734       1100  18     32.00
WA734       1100  19     31.00
WA734       1100  20     31.00
WA734       1100  21     33.00
WA734       1100  22     35.00
WA734       1100  23     31.00
WA734       1100  24     37.00
WA734       1100  25     33.00
WA734       1100  26     34.00
WA734       1100  27     33.00
WA734       1100  28     31.00
WA734       1100  29     30.00
WA734       1100  30     41.00
WA734       1200   1     29.00
WA734       1200   2     35.00
WA734       1200   3     33.00
WA734       1200   4     35.00
WA734       1200   5     39.00
WA734       1200   6     42.00
WA734       1200   7     38.00
WA734       1200   8     35.00
WA734       1200   9     28.00
WA734       1200  10     29.00
WA734       1200  11     15.00
WA734       1200  12     17.00
WA734       1200  13     18.00
WA734       1200  14     28.00
WA734       1200  15     26.00
WA734       1200  16     35.00
WA734       1200  17     31.00
WA734       1200  18     32.00
WA734       1200  19     35.00
WA734       1200  20     23.00
WA734       1200  21     21.00
WA734       1200  22     28.00
WA734       1200  23     28.00
WA734       1200  24     34.00
WA734       1200  25     35.00
WA734       1200  26     37.00
WA734       1200  27     36.00
WA734       1200  28     36.00
WA734       1200  29     33.00
WA734       1200  30     32.00
WA734       1200  31     33.00
WA734       0101   1     36.00
WA734       0101   2     40.00
WA734       0101   3     38.00
WA734       0101   4     39.00
WA734       0101   5     36.00
WA734       0101   6     34.00
WA734       0101   7     27.00
WA734       0101   8     31.00
WA734       0101   9     27.00
WA734       0101  10     34.00
WA734       0101  11     31.00
WA734       0101  12     35.00
WA734       0101  13     29.00
WA734       0101  14     32.00
WA734       0101  15     31.00
WA734       0101  16     29.00
WA734       0101  17     33.00
WA734       0101  18     27.00
WA734       0101  19     34.00
WA734       0101  20     29.00
WA734       0101  21     33.00
WA734       0101  22     28.00
WA734       0101  23     29.00
WA734       0101  24     32.00
WA734       0101  25     31.00
WA734       0101  26     36.00
WA734       0101  27     36.00
WA734       0101  28     21.00
WA734       0101  29     29.00
WA734       0101  30     32.00
WA734       0101  31     39.00
WA734       0201   1     45.00
WA734       0201   2     33.00
WA734       0201   3     34.00
WA734       0201   4     35.00
WA734       0201   5     32.00
WA734       0201   6     32.00
WA734       0201   7     27.00
WA734       0201   8     24.00
WA734       0201   9     28.00
WA734       0201  10     24.00
WA734       0201  11     29.00
WA734       0201  12     34.00
WA734       0201  13     35.00
WA734       0201  14     46.00
WA734       0201  15     35.00
WA734       0201  16     27.00
WA734       0201  17     29.00
WA734       0201  18     38.00
WA734       0201  19     42.00
WA734       0201  20     40.00
WA734       0201  21     39.00
WA734       0201  22     45.00
WA734       0201  23     38.00
WA734       0201  24     44.00
WA734       0201  25     43.00
WA734       0201  26     42.00
WA734       0201  27     40.00
WA734       0201  28     49.00
WA734       0301   1     38.00
WA734       0301   2     37.00
WA734       0301   3     36.00
