$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       1200   7     43.00
WA975       1200   8     36.00
WA975       1200   9     29.00
WA975       1200  10     24.00
WA975       1200  11     22.00
WA975       1200  12     26.00
WA975       1200  13     19.00
WA975       1200  14     33.00
WA975       1200  15     28.00
WA975       1200  16     34.00
WA975       1200  17     32.00
WA975       1200  18     31.00
WA975       1200  19     34.00
WA975       1200  20     27.00
WA975       1200  21     29.00
WA975       1200  22     31.00
WA975       1200  23     34.00
WA975       1200  24     38.00
WA975       1200  25     35.00
WA975       1200  26     39.00
WA975       1200  27     41.00
WA975       1200  28     35.00
WA975       1200  29     38.00
WA975       1200  30     42.00
WA975       1200  31     38.00
WA975       0101   1     42.00
WA975       0101   2     47.00
WA975       0101   3     47.00
WA975       0101   4     45.00
WA975       0101   5     39.00
WA975       0101   6     39.00
WA975       0101   7     40.00
WA975       0101   8   -999.00
WA975       0101   9     37.00
WA975       0101  10     41.00
WA975       0101  11     36.00
WA975       0101  12     34.00
WA975       0101  13     37.00
WA975       0101  14     32.00
WA975       0101  15     36.00
WA975       0101  16     37.00
WA975       0101  17     40.00
WA975       0101  18     35.00
WA975       0101  19     40.00
WA975       0101  20     30.00
WA975       0101  21     31.00
WA975       0101  22     34.00
WA975       0101  23     42.00
WA975       0101  24     40.00
WA975       0101  25     37.00
WA975       0101  26     40.00
WA975       0101  27     43.00
WA975       0101  28     34.00
WA975       0101  29     31.00
WA975       0101  30     32.00
WA975       0101  31     38.00
WA975       0201   1     44.00
WA975       0201   2     35.00
WA975       0201   3     40.00
WA975       0201   4     38.00
WA975       0201   5     34.00
WA975       0201   6     28.00
WA975       0201   7     32.00
WA975       0201   8     26.00
WA975       0201   9     31.00
WA975       0201  10     28.00
WA975       0201  11     38.00
WA975       0201  12     37.00
WA975       0201  13     44.00
WA975       0201  14     47.00
WA975       0201  15     29.00
WA975       0201  16     27.00
WA975       0201  17     41.00
WA975       0201  18     39.00
WA975       0201  19     42.00
WA975       0201  20   -999.00
WA975       0201  21     47.00
WA975       0201  22     49.00
WA975       0201  23     36.00
WA975       0201  24     44.00
WA975       0201  25     41.00
WA975       0201  26     43.00
WA975       0201  27     45.00
WA975       0201  28     50.00
WA975       0301   1     39.00
WA975       0301   2     42.00
WA975       0301   3     38.00
WA975       0301   4     36.00
WA975       0301   5     48.00
WA975       0301   6     56.00
WA975       0301   7     56.00
WA975       0301   8     41.00
WA975       0301   9     46.00
WA975       0301  10     41.00
WA975       0301  11     37.00
WA975       0301  12     43.00
WA975       0301  13     39.00
WA975       0301  14     37.00
WA975       0301  15     38.00
WA975       0301  16     39.00
WA975       0301  17     47.00
WA975       0301  18     41.00
WA975       0301  19     38.00
WA975       0301  20     44.00
WA975       0301  21     48.00
WA975       0301  22     55.00
WA975       0301  23     58.00
WA975       0301  24     55.00
WA975       0301  25     42.00
WA975       0301  26     42.00
WA975       0301  27     37.00
WA975       0301  28     44.00
WA975       0301  29     39.00
WA975       0301  30     48.00
WA975       0301  31     44.00
WA975       0401   1     40.00
WA975       0401   2     39.00
WA975       0401   3     39.00
WA975       0401   4     48.00
WA975       0401   5     41.00
WA975       0401   6     41.00
WA975       0401   7     36.00
WA975       0401   8     36.00
WA975       0401   9     41.00
WA975       0401  10     35.00
WA975       0401  11     43.00
WA975       0401  12     42.00
WA975       0401  13     38.00
WA975       0401  14     48.00
WA975       0401  15     52.00
WA975       0401  16     56.00
WA975       0401  17     46.00
WA975       0401  18     45.00
WA975       0401  19     49.00
WA975       0401  20     53.00
WA975       0401  21     53.00
WA975       0401  22     41.00
WA975       0401  23     49.00
WA975       0401  24     61.00
WA975       0401  25     67.00
WA975       0401  26     66.00
WA975       0401  27     61.00
WA975       0401  28     47.00
WA975       0401  29     42.00
WA975       0401  30     40.00
WA975       0501   1     38.00
WA975       0501   2     48.00
WA975       0501   3     51.00
WA975       0501   4     55.00
WA975       0501   5     40.00
WA975       0501   6     53.00
WA975       0501   7     63.00
WA975       0501   8     53.00
WA975       0501   9     51.00
WA975       0501  10     55.00
WA975       0501  11     66.00
WA975       0501  12     70.00
WA975       0501  13     57.00
WA975       0501  14     49.00
WA975       0501  15     53.00
WA975       0501  16     44.00
WA975       0501  17     45.00
WA975       0501  18     53.00
WA975       0501  19     46.00
WA975       0501  20     56.00
WA975       0501  21     71.00
WA975       0501  22     78.00
WA975       0501  23     80.00
WA975       0501  24     71.00
WA975       0501  25     71.00
WA975       0501  26     74.00
WA975       0501  27     67.00
WA975       0501  28     53.00
WA975       0501  29     47.00
WA975       0501  30     55.00
WA975       0501  31     74.00
WA975       0601   1     61.00
WA975       0601   2     48.00
WA975       0601   3     53.00
WA975       0601   4     60.00
WA975       0601   5     46.00
WA975       0601   6     54.00
WA975       0601   7     65.00
WA975       0601   8     62.00
WA975       0601   9     50.00
WA975       0601  10     50.00
WA975       0601  11     45.00
WA975       0601  12     48.00
WA975       0601  13     58.00
WA975       0601  14     56.00
WA975       0601  15     57.00
WA975       0601  16     56.00
WA975       0601  17     60.00
WA975       0601  18     64.00
WA975       0601  19     72.00
WA975       0601  20     75.00
WA975       0601  21     73.00
WA975       0601  22     65.00
WA975       0601  23     56.00
WA975       0601  24     54.00
