$ Get data for 648:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:19 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA648           Mount Crag
WA648       0502  25     54.00
WA648       0502  26     53.00
WA648       0502  27     53.00
WA648       0502  28     48.00
WA648       0502  29     53.00
WA648       0502  30     46.00
WA648       0502  31     51.00
WA648       0602   1     56.00
WA648       0602   2     59.00
WA648       0602   3     57.00
WA648       0602   4     53.00
WA648       0602   5     54.00
WA648       0602   6     43.00
WA648       0602   7     43.00
WA648       0602   8     50.00
WA648       0602   9     64.00
WA648       0602  10     63.00
WA648       0602  11     65.00
WA648       0602  12     74.00
WA648       0602  13     76.00
WA648       0602  14     71.00
WA648       0602  15     67.00
WA648       0602  16     54.00
WA648       0602  17     46.00
WA648       0602  18     48.00
WA648       0602  19     48.00
WA648       0602  20     68.00
WA648       0602  21     71.00
WA648       0602  22     66.00
WA648       0602  23     55.00
WA648       0602  24     60.00
WA648       0602  25     75.00
WA648       0602  26     76.00
WA648       0602  27     60.00
WA648       0602  28     47.00
WA648       0602  29     56.00
WA648       0602  30     49.00
WA648       0702   1     42.00
WA648       0702   2     49.00
WA648       0702   3     44.00
WA648       0702   4     48.00
WA648       0702   5     58.00
WA648       0702   6     67.00
WA648       0702   7     57.00
WA648       0702   8     52.00
WA648       0702   9     73.00
WA648       0702  10     81.00
WA648       0702  11     73.00
WA648       0702  12     76.00
WA648       0702  13     71.00
WA648       0702  14     62.00
WA648       0702  15     67.00
WA648       0702  16     68.00
WA648       0702  17     65.00
WA648       0702  18     62.00
WA648       0702  19     56.00
WA648       0702  20     63.00
WA648       0702  21     73.00
WA648       0702  22     79.00
WA648       0702  23     78.00
WA648       0702  24     77.00
WA648       0702  25     73.00
WA648       0702  26     56.00
WA648       0702  27     60.00
WA648       0702  28     62.00
WA648       0702  29     53.00
WA648       0702  30     50.00
WA648       0702  31     54.00
WA648       0802   1     61.00
WA648       0802   2     48.00
WA648       0802   3     54.00
WA648       0802   4     55.00
WA648       0802   5     50.00
WA648       0802   6     50.00
WA648       0802   7     54.00
WA648       0802   8     64.00
WA648       0802   9     66.00
WA648       0802  10     57.00
WA648       0802  11     66.00
WA648       0802  12     77.00
WA648       0802  13     82.00
WA648       0802  14     73.00
WA648       0802  15     71.00
WA648       0802  16     69.00
WA648       0802  17     65.00
WA648       0802  18     67.00
WA648       0802  19     63.00
WA648       0802  20     55.00
WA648       0802  21     58.00
WA648       0802  22     67.00
