$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:45 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
WA420       0201  27     43.00
WA420       0201  28     47.00
WA420       0301   1     40.00
WA420       0301   2     32.00
WA420       0301   3     31.00
WA420       0301   4     36.00
WA420       0301   5     53.00
WA420       0301   6     52.00
WA420       0301   7     55.00
WA420       0301   8     41.00
WA420       0301   9     35.00
WA420       0301  10     33.00
WA420       0301  11     37.00
WA420       0301  12     38.00
WA420       0301  13     38.00
WA420       0301  14     34.00
WA420       0301  15     33.00
WA420       0301  16     35.00
WA420       0301  17     42.00
WA420       0301  18     43.00
WA420       0301  19     35.00
WA420       0301  20     42.00
WA420       0301  21     46.00
WA420       0301  22     55.00
WA420       0301  23     60.00
WA420       0301  24     56.00
WA420       0301  25     43.00
WA420       0301  26     34.00
WA420       0301  27     37.00
WA420       0301  28     37.00
WA420       0301  29     35.00
WA420       0301  30     40.00
WA420       0301  31     40.00
WA420       0401   1     35.00
WA420       0401   2     33.00
WA420       0401   3     33.00
WA420       0401   4     46.00
WA420       0401   5     40.00
WA420       0401   6     35.00
WA420       0401   7     35.00
WA420       0401   8     36.00
WA420       0401   9     38.00
WA420       0401  10     32.00
WA420       0401  11     40.00
WA420       0401  12     37.00
WA420       0401  13     34.00
WA420       0401  14     41.00
WA420       0401  15     50.00
WA420       0401  16     57.00
WA420       0401  17     51.00
WA420       0401  18     47.00
WA420       0401  19     44.00
WA420       0401  20     50.00
WA420       0401  21     52.00
WA420       0401  22     42.00
WA420       0401  23     45.00
WA420       0401  24     63.00
WA420       0401  25     70.00
WA420       0401  26     61.00
WA420       0401  27     51.00
WA420       0401  28     42.00
WA420       0401  29     40.00
WA420       0401  30     36.00
WA420       0501   1     35.00
WA420       0501   2     42.00
WA420       0501   3     55.00
WA420       0501   4     56.00
WA420       0501   5     40.00
WA420       0501   6     55.00
WA420       0501   7     64.00
WA420       0501   8     46.00
WA420       0501   9     49.00
WA420       0501  10     54.00
WA420       0501  11     67.00
WA420       0501  12     68.00
WA420       0501  13     51.00
WA420       0501  14     42.00
WA420       0501  15     48.00
WA420       0501  16     44.00
WA420       0501  17     43.00
WA420       0501  18     49.00
WA420       0501  19     46.00
WA420       0501  20     54.00
WA420       0501  21     72.00
WA420       0501  22     85.00
WA420       0501  23     81.00
WA420       0501  24     68.00
WA420       0501  25     71.00
WA420       0501  26     74.00
WA420       0501  27     56.00
WA420       0501  28     46.00
WA420       0501  29     49.00
WA420       0501  30     56.00
WA420       0501  31     82.00
WA420       0601   1     60.00
WA420       0601   2     42.00
WA420       0601   3     44.00
WA420       0601   4     46.00
WA420       0601   5     45.00
WA420       0601   6     51.00
WA420       0601   7     67.00
WA420       0601   8     65.00
WA420       0601   9     47.00
WA420       0601  10     47.00
WA420       0601  11     41.00
WA420       0601  12     40.00
WA420       0601  13     56.00
WA420       0601  14     49.00
WA420       0601  15     55.00
WA420       0601  16     50.00
WA420       0601  17     53.00
WA420       0601  18     60.00
WA420       0601  19     73.00
WA420       0601  20     77.00
WA420       0601  21     74.00
WA420       0601  22     61.00
WA420       0601  23     58.00
WA420       0601  24     48.00
WA420       0601  25     58.00
WA420       0601  26     65.00
WA420       0601  27     60.00
WA420       0601  28     50.00
WA420       0601  29     63.00
WA420       0601  30     64.00
WA420       0701   1     64.00
WA420       0701   2     73.00
WA420       0701   3     80.00
WA420       0701   4     76.00
WA420       0701   5     61.00
WA420       0701   6     64.00
WA420       0701   7     68.00
WA420       0701   8     75.00
WA420       0701   9     77.00
WA420       0701  10     77.00
WA420       0701  11     74.00
WA420       0701  12     72.00
WA420       0701  13     69.00
WA420       0701  14     59.00
WA420       0701  15     48.00
WA420       0701  16     47.00
WA420       0701  17     49.00
WA420       0701  18     54.00
WA420       0701  19     62.00
WA420       0701  20     56.00
WA420       0701  21     56.00
WA420       0701  22     59.00
WA420       0701  23     69.00
