$ Get data for 912:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:36:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA912           Skookum Creek
WA912       1200   4     44.00
WA912       1200   5     48.00
WA912       1200   6     50.00
WA912       1200   7     44.00
WA912       1200   8     41.00
WA912       1200   9     31.00
WA912       1200  10     26.00
WA912       1200  11     25.00
WA912       1200  12     34.00
WA912       1200  13     33.00
WA912       1200  14     32.00
WA912       1200  15     27.00
WA912       1200  16     40.00
WA912       1200  17     32.00
WA912       1200  18     47.00
WA912       1200  19     35.00
WA912       1200  20     34.00
WA912       1200  21     40.00
WA912       1200  22     36.00
WA912       1200  23     40.00
WA912       1200  24     34.00
WA912       1200  25     46.00
WA912       1200  26     51.00
WA912       1200  27     38.00
WA912       1200  28     46.00
WA912       1200  29     50.00
WA912       1200  30     46.00
WA912       1200  31     44.00
WA912       0101   1     50.00
WA912       0101   2     55.00
WA912       0101   3     51.00
WA912       0101   4     47.00
WA912       0101   5     41.00
WA912       0101   6     46.00
WA912       0101   7     48.00
WA912       0101   8     43.00
WA912       0101   9     41.00
WA912       0101  10     39.00
WA912       0101  11     38.00
WA912       0101  12     36.00
WA912       0101  13     33.00
WA912       0101  14     31.00
WA912       0101  15     33.00
WA912       0101  16     34.00
WA912       0101  17     41.00
WA912       0101  18     41.00
WA912       0101  19     37.00
WA912       0101  20     41.00
WA912       0101  21     38.00
WA912       0101  22     41.00
WA912       0101  23     43.00
WA912       0101  24     40.00
WA912       0101  25     38.00
WA912       0101  26     37.00
WA912       0101  27     42.00
WA912       0101  28     45.00
WA912       0101  29     35.00
WA912       0101  30     32.00
WA912       0101  31     38.00
WA912       0201   1     47.00
WA912       0201   2     35.00
WA912       0201   3     42.00
WA912       0201   4     38.00
WA912       0201   5     32.00
WA912       0201   6     31.00
WA912       0201   7     28.00
WA912       0201   8     32.00
WA912       0201   9     36.00
WA912       0201  10     36.00
WA912       0201  11     40.00
WA912       0201  12     42.00
WA912       0201  13     45.00
WA912       0201  14     46.00
WA912       0201  15     35.00
WA912       0201  16     35.00
WA912       0201  17     44.00
WA912       0201  18     44.00
WA912       0201  19     48.00
WA912       0201  20     49.00
WA912       0201  21     49.00
WA912       0201  22     51.00
WA912       0201  23     33.00
WA912       0201  24     37.00
WA912       0201  25     37.00
WA912       0201  26     50.00
WA912       0201  27     54.00
WA912       0201  28     50.00
WA912       0301   1     46.00
WA912       0301   2     37.00
WA912       0301   3     44.00
WA912       0301   4     40.00
WA912       0301   5     61.00
WA912       0301   6     63.00
WA912       0301   7     65.00
WA912       0301   8     43.00
WA912       0301   9     41.00
WA912       0301  10     38.00
WA912       0301  11     36.00
WA912       0301  12     39.00
WA912       0301  13     37.00
WA912       0301  14     44.00
WA912       0301  15     34.00
WA912       0301  16     36.00
WA912       0301  17     44.00
WA912       0301  18     42.00
WA912       0301  19     41.00
WA912       0301  20     50.00
WA912       0301  21     52.00
WA912       0301  22     57.00
WA912       0301  23     65.00
WA912       0301  24     60.00
WA912       0301  25     42.00
WA912       0301  26     37.00
WA912       0301  27     38.00
WA912       0301  28     36.00
WA912       0301  29     35.00
WA912       0301  30     56.00
WA912       0301  31     39.00
WA912       0401   1     36.00
WA912       0401   2     44.00
WA912       0401   3     44.00
WA912       0401   4     52.00
WA912       0401   5     44.00
WA912       0401   6     43.00
WA912       0401   7     39.00
WA912       0401   8     41.00
WA912       0401   9     39.00
WA912       0401  10     36.00
WA912       0401  11     53.00
WA912       0401  12     42.00
WA912       0401  13     44.00
WA912       0401  14     52.00
WA912       0401  15     58.00
WA912       0401  16     62.00
WA912       0401  17     47.00
WA912       0401  18     49.00
WA912       0401  19     55.00
WA912       0401  20     54.00
WA912       0401  21     56.00
WA912       0401  22     46.00
WA912       0401  23     45.00
WA912       0401  24     65.00
WA912       0401  25     73.00
WA912       0401  26     65.00
WA912       0401  27     56.00
WA912       0401  28     45.00
WA912       0401  29     38.00
WA912       0401  30     36.00
WA912       0501   1     36.00
WA912       0501   2     56.00
WA912       0501   3     58.00
WA912       0501   4     59.00
WA912       0501   5     47.00
WA912       0501   6     60.00
WA912       0501   7     68.00
WA912       0501   8     54.00
WA912       0501   9     54.00
WA912       0501  10     58.00
WA912       0501  11     72.00
WA912       0501  12     69.00
WA912       0501  13     54.00
WA912       0501  14     42.00
WA912       0501  15     54.00
