$ Get data for 910:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:50:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA910           Elbow Lake
WA910       0501   7     64.00
WA910       0501   8     54.00
WA910       0501   9     55.00
WA910       0501  10     57.00
WA910       0501  11     70.00
WA910       0501  12     70.00
WA910       0501  13     53.00
WA910       0501  14     41.00
WA910       0501  15     49.00
WA910       0501  16     46.00
WA910       0501  17     43.00
WA910       0501  18     48.00
WA910       0501  19     49.00
WA910       0501  20     56.00
WA910       0501  21     72.00
WA910       0501  22     84.00
WA910       0501  23     83.00
WA910       0501  24     71.00
WA910       0501  25     74.00
WA910       0501  26     76.00
WA910       0501  27     66.00
WA910       0501  28     46.00
WA910       0501  29     51.00
WA910       0501  30     52.00
WA910       0501  31     78.00
WA910       0601   1     58.00
WA910       0601   2     44.00
WA910       0601   3     48.00
WA910       0601   4     49.00
WA910       0601   5     45.00
WA910       0601   6     54.00
WA910       0601   7     64.00
WA910       0601   8     65.00
WA910       0601   9     48.00
WA910       0601  10     48.00
WA910       0601  11     40.00
WA910       0601  12     50.00
WA910       0601  13     55.00
WA910       0601  14     53.00
WA910       0601  15     58.00
WA910       0601  16     59.00
WA910       0601  17     58.00
WA910       0601  18     65.00
WA910       0601  19     74.00
WA910       0601  20     77.00
WA910       0601  21     75.00
WA910       0601  22     66.00
WA910       0601  23     61.00
WA910       0601  24     56.00
WA910       0601  25     63.00
WA910       0601  26     67.00
WA910       0601  27     56.00
WA910       0601  28     61.00
WA910       0601  29     70.00
WA910       0601  30     73.00
WA910       0701   1     68.00
WA910       0701   2     76.00
WA910       0701   3     85.00
WA910       0701   4     79.00
WA910       0701   5     65.00
WA910       0701   6     68.00
WA910       0701   7     74.00
WA910       0701   8     77.00
WA910       0701   9     81.00
WA910       0701  10     80.00
WA910       0701  11     77.00
WA910       0701  12     72.00
WA910       0701  13     71.00
WA910       0701  14     67.00
WA910       0701  15     47.00
WA910       0701  16     50.00
WA910       0701  17     55.00
WA910       0701  18     54.00
WA910       0701  19     60.00
WA910       0701  20     73.00
WA910       0701  21     64.00
WA910       0701  22     64.00
WA910       0701  23     73.00
WA910       0701  24     67.00
WA910       0701  25     75.00
WA910       0701  26     76.00
WA910       0701  27     69.00
WA910       0701  28     53.00
WA910       0701  29     59.00
WA910       0701  30     64.00
WA910       0701  31     65.00
WA910       0801   1     64.00
WA910       0801   2     62.00
WA910       0801   3     59.00
WA910       0801   4     58.00
WA910       0801   5     65.00
WA910       0801   6     68.00
WA910       0801   7     72.00
WA910       0801   8     81.00
WA910       0801   9     88.00
WA910       0801  10     85.00
WA910       0801  11     82.00
WA910       0801  12     85.00
WA910       0801  13     83.00
WA910       0801  14     81.00
WA910       0801  15     83.00
WA910       0801  16     69.00
WA910       0801  17     68.00
WA910       0801  18     59.00
WA910       0801  19     64.00
WA910       0801  20     64.00
WA910       0801  21     52.00
WA910       0801  22     54.00
WA910       0801  23     50.00
WA910       0801  24     62.00
WA910       0801  25     73.00
WA910       0801  26     78.00
WA910       0801  27     72.00
WA910       0801  28     72.00
WA910       0801  29     76.00
WA910       0801  30     74.00
WA910       0801  31     58.00
WA910       0901   1     58.00
WA910       0901   2     65.00
WA910       0901   3     63.00
WA910       0901   4     57.00
WA910       0901   5     57.00
WA910       0901   6     53.00
WA910       0901   7     65.00
WA910       0901   8     69.00
WA910       0901   9     70.00
WA910       0901  10     70.00
WA910       0901  11     73.00
WA910       0901  12     74.00
WA910       0901  13     75.00
WA910       0901  14     77.00
WA910       0901  15     74.00
WA910       0901  16     68.00
WA910       0901  17     59.00
WA910       0901  18     51.00
WA910       0901  19     55.00
WA910       0901  20     57.00
WA910       0901  21     53.00
WA910       0901  22     77.00
WA910       0901  23     83.00
WA910       0901  24     75.00
WA910       0901  25     61.00
WA910       0901  26     48.00
WA910       0901  27     56.00
WA910       0901  28     53.00
WA910       0901  29     64.00
WA910       0901  30     74.00
WA910       1001   1     67.00
WA910       1001   2     63.00
WA910       1001   3     63.00
WA910       1001   4     69.00
WA910       1001   5     68.00
WA910       1001   6     51.00
WA910       1001   7     45.00
WA910       1001   8     49.00
WA910       1001   9     44.00
WA910       1001  10     43.00
WA910       1001  11     43.00
WA910       1001  12     44.00
WA910       1001  13     41.00
WA910       1001  14     52.00
WA910       1001  15     63.00
WA910       1001  16     53.00
WA910       1001  17     39.00
WA910       1001  18     39.00
WA910       1001  19     47.00
WA910       1001  20     48.00
WA910       1001  21     39.00
WA910       1001  22     40.00
WA910       1001  23     36.00
WA910       1001  24     34.00
WA910       1001  25     38.00
WA910       1001  26     50.00
WA910       1001  27     36.00
WA910       1001  28     48.00
WA910       1001  29     48.00
WA910       1001  30     44.00
WA910       1001  31     38.00
WA910       1101   1     41.00
WA910       1101   2     47.00
WA910       1101   3     57.00
WA910       1101   4     50.00
WA910       1101   5     36.00
WA910       1101   6     42.00
WA910       1101   7     48.00
WA910       1101   8     55.00
WA910       1101   9     61.00
WA910       1101  10     60.00
WA910       1101  11     56.00
WA910       1101  12     48.00
WA910       1101  13     44.00
WA910       1101  14     47.00
WA910       1101  15     49.00
WA910       1101  16     40.00
WA910       1101  17     46.00
WA910       1101  18     50.00
WA910       1101  19     47.00
WA910       1101  20     42.00
WA910       1101  21     38.00
WA910       1101  22     37.00
WA910       1101  23     34.00
WA910       1101  24     35.00
WA910       1101  25     33.00
WA910       1101  26     39.00
WA910       1101  27     37.00
WA910       1101  28     33.00
WA910       1101  29     32.00
WA910       1101  30     33.00
WA910       1201   1     33.00
WA910       1201   2     32.00
WA910       1201   3     30.00
WA910       1201   4     29.00
WA910       1201   5     31.00
WA910       1201   6     32.00
WA910       1201   7     42.00
WA910       1201   8     36.00
WA910       1201   9     35.00
WA910       1201  10     34.00
WA910       1201  11     41.00
WA910       1201  12     35.00
WA910       1201  13     38.00
WA910       1201  14     31.00
WA910       1201  15     35.00
WA910       1201  16     40.00
WA910       1201  17     35.00
WA910       1201  18     30.00
WA910       1201  19     40.00
WA910       1201  20     42.00
WA910       1201  21     35.00
WA910       1201  22     47.00
WA910       1201  23     49.00
WA910       1201  24     52.00
WA910       1201  25     48.00
WA910       1201  26     48.00
WA910       1201  27     53.00
WA910       1201  28     43.00
WA910       1201  29     44.00
WA910       1201  30     50.00
WA910       1201  31     40.00
WA910       0102   1     46.00
WA910       0102   2     42.00
WA910       0102   3     36.00
WA910       0102   4     43.00
WA910       0102   5     40.00
WA910       0102   6     46.00
WA910       0102   7     47.00
WA910       0102   8     42.00
WA910       0102   9     42.00
WA910       0102  10     42.00
WA910       0102  11     48.00
WA910       0102  12     47.00
WA910       0102  13     32.00
WA910       0102  14     40.00
WA910       0102  15     38.00
WA910       0102  16     32.00
WA910       0102  17     28.00
WA910       0102  18     29.00
WA910       0102  19     31.00
WA910       0102  20     31.00
WA910       0102  21     33.00
WA910       0102  22     28.00
WA910       0102  23     31.00
WA910       0102  24     32.00
WA910       0102  25     32.00
WA910       0102  26     34.00
WA910       0102  27     27.00
WA910       0102  28     37.00
WA910       0102  29     25.00
WA910       0102  30     32.00
WA910       0102  31     35.00
WA910       0202   1     33.00
WA910       0202   2     44.00
WA910       0202   3     35.00
WA910       0202   4     45.00
WA910       0202   5     41.00
WA910       0202   6     33.00
WA910       0202   7     35.00
WA910       0202   8     39.00
WA910       0202   9     39.00
WA910       0202  10     41.00
WA910       0202  11     40.00
WA910       0202  12     51.00
WA910       0202  13     37.00
WA910       0202  14     49.00
WA910       0202  15     61.00
WA910       0202  16     43.00
WA910       0202  17     39.00
WA910       0202  18     36.00
WA910       0202  19     35.00
WA910       0202  20     45.00
WA910       0202  21     43.00
WA910       0202  22     40.00
WA910       0202  23     38.00
WA910       0202  24     38.00
WA910       0202  25     44.00
WA910       0202  26     43.00
WA910       0202  27     32.00
WA910       0202  28     45.00
WA910       0302   1     45.00
WA910       0302   2     49.00
WA910       0302   3     54.00
WA910       0302   4     44.00
WA910       0302   5     40.00
WA910       0302   6     33.00
WA910       0302   7     29.00
WA910       0302   8     24.00
WA910       0302   9     39.00
WA910       0302  10     34.00
WA910       0302  11     40.00
WA910       0302  12     33.00
WA910       0302  13     39.00
WA910       0302  14     37.00
WA910       0302  15     34.00
WA910       0302  16     34.00
WA910       0302  17     36.00
WA910       0302  18     28.00
WA910       0302  19     31.00
WA910       0302  20     34.00
WA910       0302  21     51.00
WA910       0302  22     60.00
WA910       0302  23     54.00
WA910       0302  24     49.00
WA910       0302  25     54.00
WA910       0302  26     39.00
WA910       0302  27     33.00
WA910       0302  28     42.00
WA910       0302  29     36.00
WA910       0302  30     39.00
WA910       0302  31     36.00
WA910       0402   1     48.00
WA910       0402   2     50.00
WA910       0402   3     57.00
WA910       0402   4     64.00
WA910       0402   5     54.00
WA910       0402   6     43.00
WA910       0402   7     46.00
WA910       0402   8     54.00
WA910       0402   9     43.00
WA910       0402  10     51.00
WA910       0402  11     43.00
WA910       0402  12     43.00
WA910       0402  13     45.00
WA910       0402  14     43.00
WA910       0402  15     36.00
WA910       0402  16     47.00
WA910       0402  17     45.00
WA910       0402  18     56.00
WA910       0402  19     56.00
WA910       0402  20     49.00
WA910       0402  21     39.00
WA910       0402  22     37.00
WA910       0402  23     46.00
WA910       0402  24     51.00
WA910       0402  25     56.00
WA910       0402  26     44.00
WA910       0402  27     57.00
WA910       0402  28     59.00
WA910       0402  29     69.00
WA910       0402  30     73.00
WA910       0502   1     64.00
WA910       0502   2     39.00
WA910       0502   3     47.00
WA910       0502   4     36.00
WA910       0502   5     38.00
WA910       0502   6     44.00
WA910       0502   7     45.00
WA910       0502   8     52.00
WA910       0502   9     53.00
WA910       0502  10     57.00
WA910       0502  11     62.00
WA910       0502  12     73.00
WA910       0502  13     52.00
WA910       0502  14     51.00
WA910       0502  15     56.00
WA910       0502  16     65.00
