$ Get data for 776:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:37:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA776           Spencer Meadow
WA776       0801  29     77.00
WA776       0801  30     70.00
WA776       0801  31     64.00
WA776       0901   1     54.00
WA776       0901   2     64.00
WA776       0901   3     61.00
WA776       0901   4     62.00
WA776       0901   5     49.00
WA776       0901   6     58.00
WA776       0901   7     65.00
WA776       0901   8     75.00
WA776       0901   9     78.00
WA776       0901  10     74.00
WA776       0901  11     80.00
WA776       0901  12     79.00
WA776       0901  13     75.00
WA776       0901  14     80.00
WA776       0901  15     73.00
WA776       0901  16     66.00
WA776       0901  17     63.00
WA776       0901  18     58.00
WA776       0901  19     60.00
WA776       0901  20     68.00
WA776       0901  21     61.00
WA776       0901  22     79.00
WA776       0901  23     80.00
WA776       0901  24     77.00
WA776       0901  25     55.00
WA776       0901  26     48.00
WA776       0901  27     54.00
WA776       0901  28     56.00
WA776       0901  29     69.00
WA776       0901  30     74.00
WA776       1001   1     73.00
WA776       1001   2     67.00
WA776       1001   3     70.00
WA776       1001   4     65.00
WA776       1001   5     66.00
WA776       1001   6     53.00
WA776       1001   7     45.00
WA776       1001   8     46.00
WA776       1001   9     48.00
WA776       1001  10     41.00
WA776       1001  11     45.00
WA776       1001  12     44.00
WA776       1001  13     47.00
WA776       1001  14     53.00
WA776       1001  15     57.00
WA776       1001  16     50.00
WA776       1001  17     46.00
WA776       1001  18     48.00
WA776       1001  19     46.00
WA776       1001  20     57.00
WA776       1001  21     39.00
WA776       1001  22     46.00
WA776       1001  23     34.00
WA776       1001  24     34.00
WA776       1001  25     44.00
WA776       1001  26     54.00
WA776       1001  27     42.00
WA776       1001  28     41.00
WA776       1001  29     42.00
WA776       1001  30     44.00
WA776       1001  31     41.00
WA776       1101   1     42.00
WA776       1101   2     49.00
WA776       1101   3     57.00
WA776       1101   4     43.00
WA776       1101   5     42.00
WA776       1101   6     38.00
WA776       1101   7     45.00
WA776       1101   8     47.00
WA776       1101   9     60.00
WA776       1101  10     53.00
WA776       1101  11     47.00
WA776       1101  12     46.00
WA776       1101  13     47.00
WA776       1101  14     48.00
WA776       1101  15     46.00
WA776       1101  16     41.00
WA776       1101  17     43.00
WA776       1101  18     42.00
WA776       1101  19     40.00
WA776       1101  20     40.00
WA776       1101  21     37.00
WA776       1101  22     39.00
WA776       1101  23     33.00
WA776       1101  24     33.00
WA776       1101  25     31.00
WA776       1101  26     32.00
WA776       1101  27     32.00
WA776       1101  28     32.00
WA776       1101  29     33.00
WA776       1101  30     32.00
WA776       1201   1     33.00
WA776       1201   2     33.00
WA776       1201   3     30.00
WA776       1201   4     28.00
WA776       1201   5     30.00
WA776       1201   6     33.00
WA776       1201   7     38.00
WA776       1201   8     35.00
WA776       1201   9     29.00
WA776       1201  10     31.00
WA776       1201  11     32.00
WA776       1201  12     35.00
WA776       1201  13     40.00
WA776       1201  14     31.00
WA776       1201  15     32.00
WA776       1201  16     40.00
WA776       1201  17     32.00
WA776       1201  18     31.00
WA776       1201  19     33.00
WA776       1201  20     33.00
WA776       1201  21     34.00
WA776       1201  22     32.00
WA776       1201  23     33.00
WA776       1201  24     31.00
WA776       1201  25     29.00
WA776       1201  26     29.00
WA776       1201  27     30.00
WA776       1201  28     37.00
WA776       1201  29     30.00
WA776       1201  30     35.00
WA776       1201  31     34.00
WA776       0102   1     35.00
WA776       0102   2     40.00
WA776       0102   3     34.00
