$ Get data for 642:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA642           Morse Lake
WA642       1200  13     21.00
WA642       1200  14     28.00
WA642       1200  15     23.00
WA642       1200  16     37.00
WA642       1200  17     26.00
WA642       1200  18     40.00
WA642       1200  19     32.00
WA642       1200  20     21.00
WA642       1200  21     25.00
WA642       1200  22     31.00
WA642       1200  23     29.00
WA642       1200  24     29.00
WA642       1200  25     36.00
WA642       1200  26     43.00
WA642       1200  27     36.00
WA642       1200  28     30.00
WA642       1200  29     36.00
WA642       1200  30     40.00
WA642       1200  31     30.00
WA642       0101   1     31.00
WA642       0101   2     49.00
WA642       0101   3     44.00
WA642       0101   4     45.00
WA642       0101   5     37.00
WA642       0101   6     32.00
WA642       0101   7     28.00
WA642       0101   8     32.00
WA642       0101   9     28.00
WA642       0101  10     30.00
WA642       0101  11     29.00
WA642       0101  12     31.00
WA642       0101  13     26.00
WA642       0101  14     26.00
WA642       0101  15     21.00
WA642       0101  16     31.00
WA642       0101  17     36.00
WA642       0101  18     36.00
WA642       0101  19     32.00
WA642       0101  20     28.00
WA642       0101  21     34.00
WA642       0101  22     26.00
WA642       0101  23     27.00
WA642       0101  24     29.00
WA642       0101  25     30.00
WA642       0101  26     28.00
WA642       0101  27     36.00
WA642       0101  28     34.00
WA642       0101  29     27.00
WA642       0101  30     28.00
WA642       0101  31     38.00
WA642       0201   1     41.00
WA642       0201   2     35.00
WA642       0201   3     32.00
WA642       0201   4     33.00
WA642       0201   5     27.00
WA642       0201   6     24.00
WA642       0201   7     26.00
WA642       0201   8     24.00
WA642       0201   9     23.00
WA642       0201  10     21.00
WA642       0201  11     25.00
WA642       0201  12     32.00
WA642       0201  13     35.00
WA642       0201  14     44.00
WA642       0201  15     28.00
WA642       0201  16     22.00
WA642       0201  17     28.00
WA642       0201  18     30.00
WA642       0201  19     36.00
WA642       0201  20     35.00
WA642       0201  21     35.00
WA642       0201  22     38.00
WA642       0201  23     31.00
WA642       0201  24     38.00
WA642       0201  25     38.00
WA642       0201  26     40.00
WA642       0201  27     39.00
WA642       0201  28     45.00
WA642       0301   1     37.00
WA642       0301   2     31.00
WA642       0301   3     27.00
WA642       0301   4     26.00
WA642       0301   5     44.00
WA642       0301   6     50.00
WA642       0301   7     54.00
WA642       0301   8     37.00
WA642       0301   9     40.00
WA642       0301  10     37.00
WA642       0301  11     37.00
WA642       0301  12     38.00
WA642       0301  13     35.00
WA642       0301  14     37.00
WA642       0301  15     31.00
WA642       0301  16     27.00
WA642       0301  17     40.00
WA642       0301  18     39.00
WA642       0301  19     33.00
WA642       0301  20     44.00
WA642       0301  21     49.00
WA642       0301  22     52.00
WA642       0301  23     56.00
WA642       0301  24     53.00
WA642       0301  25     37.00
WA642       0301  26     34.00
WA642       0301  27     32.00
WA642       0301  28     40.00
WA642       0301  29     40.00
WA642       0301  30     40.00
WA642       0301  31     39.00
WA642       0401   1     31.00
WA642       0401   2     29.00
WA642       0401   3     32.00
WA642       0401   4     38.00
WA642       0401   5     34.00
WA642       0401   6     33.00
WA642       0401   7     31.00
WA642       0401   8     31.00
WA642       0401   9     37.00
WA642       0401  10     31.00
WA642       0401  11     35.00
WA642       0401  12     31.00
WA642       0401  13     31.00
WA642       0401  14     39.00
WA642       0401  15     46.00
WA642       0401  16     53.00
WA642       0401  17     41.00
WA642       0401  18     39.00
WA642       0401  19     44.00
WA642       0401  20     44.00
