$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
WA832       0401  10     31.00
WA832       0401  11     35.00
WA832       0401  12     33.00
WA832       0401  13     36.00
WA832       0401  14     40.00
WA832       0401  15     44.00
WA832       0401  16     51.00
WA832       0401  17     43.00
WA832       0401  18     42.00
WA832       0401  19     48.00
WA832       0401  20     47.00
WA832       0401  21     45.00
WA832       0401  22     41.00
WA832       0401  23     44.00
WA832       0401  24     54.00
WA832       0401  25     63.00
WA832       0401  26     58.00
WA832       0401  27     56.00
WA832       0401  28     40.00
WA832       0401  29     40.00
WA832       0401  30     35.00
WA832       0501   1     35.00
WA832       0501   2     47.00
WA832       0501   3     51.00
WA832       0501   4     51.00
WA832       0501   5     40.00
WA832       0501   6     48.00
WA832       0501   7     59.00
WA832       0501   8     53.00
WA832       0501   9     49.00
WA832       0501  10     54.00
WA832       0501  11     63.00
WA832       0501  12     67.00
WA832       0501  13     55.00
WA832       0501  14     42.00
WA832       0501  15     45.00
WA832       0501  16     40.00
WA832       0501  17     44.00
WA832       0501  18     53.00
WA832       0501  19     46.00
WA832       0501  20     53.00
WA832       0501  21     67.00
WA832       0501  22     73.00
WA832       0501  23     78.00
WA832       0501  24     71.00
WA832       0501  25     70.00
WA832       0501  26     72.00
WA832       0501  27     64.00
WA832       0501  28     48.00
WA832       0501  29     48.00
WA832       0501  30     60.00
WA832       0501  31     69.00
WA832       0601   1     64.00
WA832       0601   2     41.00
WA832       0601   3     47.00
WA832       0601   4     57.00
WA832       0601   5     43.00
WA832       0601   6     49.00
WA832       0601   7     59.00
WA832       0601   8     57.00
WA832       0601   9     47.00
WA832       0601  10     48.00
WA832       0601  11     44.00
WA832       0601  12     46.00
WA832       0601  13     57.00
WA832       0601  14     54.00
WA832       0601  15     57.00
WA832       0601  16     58.00
WA832       0601  17     54.00
WA832       0601  18     57.00
WA832       0601  19     64.00
WA832       0601  20     71.00
WA832       0601  21     71.00
WA832       0601  22     65.00
WA832       0601  23     58.00
WA832       0601  24     49.00
WA832       0601  25     51.00
WA832       0601  26     52.00
WA832       0601  27     53.00
WA832       0601  28     55.00
WA832       0601  29     65.00
WA832       0601  30     64.00
WA832       0701   1     67.00
WA832       0701   2     74.00
WA832       0701   3     77.00
WA832       0701   4     78.00
WA832       0701   5     65.00
WA832       0701   6     67.00
WA832       0701   7     72.00
WA832       0701   8     76.00
WA832       0701   9     78.00
WA832       0701  10     78.00
WA832       0701  11     74.00
WA832       0701  12     76.00
WA832       0701  13     70.00
WA832       0701  14     69.00
WA832       0701  15     56.00
WA832       0701  16     50.00
WA832       0701  17     53.00
WA832       0701  18     58.00
WA832       0701  19     61.00
WA832       0701  20     65.00
WA832       0701  21     60.00
WA832       0701  22     66.00
WA832       0701  23     72.00
WA832       0701  24     68.00
WA832       0701  25   -999.00
WA832       0701  26     71.00
WA832       0701  27     70.00
WA832       0701  28     53.00
WA832       0701  29     54.00
WA832       0701  30     58.00
WA832       0701  31     62.00
WA832       0801   1     67.00
WA832       0801   2     69.00
WA832       0801   3     68.00
WA832       0801   4     62.00
WA832       0801   5     66.00
WA832       0801   6     73.00
WA832       0801   7     74.00
WA832       0801   8     72.00
WA832       0801   9     75.00
WA832       0801  10     80.00
WA832       0801  11     79.00
WA832       0801  12     84.00
WA832       0801  13   -999.00
WA832       0801  14     80.00
WA832       0801  15     80.00
WA832       0801  16     85.00
WA832       0801  17     76.00
WA832       0801  18     63.00
WA832       0801  19     64.00
WA832       0801  20     62.00
WA832       0801  21     62.00
WA832       0801  22     53.00
WA832       0801  23     55.00
WA832       0801  24     58.00
WA832       0801  25     66.00
WA832       0801  26     73.00
WA832       0801  27     74.00
WA832       0801  28     69.00
WA832       0801  29     75.00
WA832       0801  30     75.00
WA832       0801  31     65.00
WA832       0901   1     54.00
WA832       0901   2     64.00
WA832       0901   3     61.00
WA832       0901   4     65.00
WA832       0901   5     53.00
WA832       0901   6     60.00
WA832       0901   7     57.00
WA832       0901   8     66.00
WA832       0901   9     69.00
WA832       0901  10     70.00
WA832       0901  11     67.00
WA832       0901  12     71.00
WA832       0901  13     73.00
WA832       0901  14     75.00
WA832       0901  15     74.00
WA832       0901  16     73.00
WA832       0901  17     69.00
WA832       0901  18     64.00
WA832       0901  19     56.00
WA832       0901  20     62.00
WA832       0901  21     58.00
WA832       0901  22     65.00
WA832       0901  23     69.00
WA832       0901  24     72.00
WA832       0901  25     65.00
WA832       0901  26     45.00
WA832       0901  27     43.00
WA832       0901  28     52.00
WA832       0901  29     58.00
WA832       0901  30     61.00
WA832       1001   1     70.00
WA832       1001   2     63.00
WA832       1001   3     56.00
WA832       1001   4     49.00
WA832       1001   5     51.00
WA832       1001   6     49.00
WA832       1001   7     44.00
WA832       1001   8     42.00
WA832       1001   9     45.00
WA832       1001  10     38.00
WA832       1001  11     40.00
