$ Get data for 911:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:33:05 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA911           Rex River
WA911       0701  13     64.00
WA911       0701  14     59.00
WA911       0701  15     46.00
WA911       0701  16     46.00
WA911       0701  17     50.00
WA911       0701  18     56.00
WA911       0701  19     59.00
WA911       0701  20     56.00
WA911       0701  21     60.00
WA911       0701  22     63.00
WA911       0701  23     67.00
WA911       0701  24     62.00
WA911       0701  25     65.00
WA911       0701  26     64.00
WA911       0701  27     62.00
WA911       0701  28     47.00
WA911       0701  29     56.00
WA911       0701  30     53.00
WA911       0701  31     53.00
WA911       0801   1     62.00
WA911       0801   2     66.00
WA911       0801   3     59.00
WA911       0801   4     56.00
WA911       0801   5     65.00
WA911       0801   6     65.00
WA911       0801   7     64.00
WA911       0801   8     72.00
WA911       0801   9     84.00
WA911       0801  10     77.00
WA911       0801  11     74.00
WA911       0801  12     83.00
WA911       0801  13     75.00
WA911       0801  14     76.00
WA911       0801  15     80.00
WA911       0801  16     67.00
WA911       0801  17     61.00
WA911       0801  18     52.00
WA911       0801  19     58.00
WA911       0801  20     60.00
WA911       0801  21     56.00
WA911       0801  22     57.00
WA911       0801  23     53.00
WA911       0801  24     60.00
WA911       0801  25     71.00
WA911       0801  26     73.00
WA911       0801  27     68.00
WA911       0801  28     64.00
WA911       0801  29     70.00
WA911       0801  30     69.00
WA911       0801  31     56.00
WA911       0901   1     50.00
WA911       0901   2     64.00
WA911       0901   3     57.00
WA911       0901   4     58.00
WA911       0901   5     42.00
WA911       0901   6     49.00
WA911       0901   7     56.00
WA911       0901   8     67.00
WA911       0901   9     69.00
WA911       0901  10     65.00
WA911       0901  11     70.00
WA911       0901  12     69.00
WA911       0901  13     71.00
WA911       0901  14     74.00
WA911       0901  15     72.00
WA911       0901  16     65.00
WA911       0901  17     58.00
WA911       0901  18     53.00
WA911       0901  19     52.00
WA911       0901  20     65.00
WA911       0901  21     57.00
WA911       0901  22     75.00
WA911       0901  23     82.00
WA911       0901  24     72.00
WA911       0901  25     65.00
WA911       0901  26     49.00
WA911       0901  27     53.00
WA911       0901  28     55.00
WA911       0901  29     63.00
WA911       0901  30     69.00
WA911       1001   1     69.00
WA911       1001   2     63.00
WA911       1001   3     63.00
WA911       1001   4     60.00
WA911       1001   5     60.00
WA911       1001   6     47.00
WA911       1001   7     45.00
WA911       1001   8     42.00
WA911       1001   9     44.00
WA911       1001  10     44.00
WA911       1001  11     36.00
WA911       1001  12     44.00
WA911       1001  13     44.00
WA911       1001  14     50.00
WA911       1001  15     51.00
WA911       1001  16     53.00
WA911       1001  17     39.00
WA911       1001  18     40.00
WA911       1001  19     44.00
WA911       1001  20     51.00
WA911       1001  21     41.00
WA911       1001  22     44.00
WA911       1001  23     34.00
WA911       1001  24     34.00
WA911       1001  25     51.00
WA911       1001  26     54.00
WA911       1001  27     39.00
WA911       1001  28     39.00
WA911       1001  29     42.00
WA911       1001  30     44.00
WA911       1001  31     42.00
WA911       1101   1     42.00
WA911       1101   2     48.00
WA911       1101   3     55.00
WA911       1101   4     54.00
WA911       1101   5     34.00
WA911       1101   6     38.00
WA911       1101   7     40.00
WA911       1101   8     50.00
WA911       1101   9     59.00
WA911       1101  10     54.00
WA911       1101  11     49.00
WA911       1101  12     48.00
WA911       1101  13     46.00
WA911       1101  14     48.00
WA911       1101  15     48.00
WA911       1101  16     39.00
WA911       1101  17     39.00
WA911       1101  18     40.00
WA911       1101  19     43.00
WA911       1101  20     42.00
WA911       1101  21     37.00
WA911       1101  22     36.00
WA911       1101  23     31.00
WA911       1101  24     31.00
WA911       1101  25     31.00
WA911       1101  26     30.00
WA911       1101  27     33.00
WA911       1101  28     29.00
WA911       1101  29     32.00
WA911       1101  30     35.00
WA911       1201   1     36.00
WA911       1201   2     32.00
WA911       1201   3     27.00
WA911       1201   4     27.00
WA911       1201   5     28.00
WA911       1201   6     31.00
WA911       1201   7     40.00
WA911       1201   8     46.00
WA911       1201   9     28.00
WA911       1201  10     31.00
WA911       1201  11     32.00
WA911       1201  12     36.00
WA911       1201  13     39.00
WA911       1201  14     30.00
WA911       1201  15     37.00
WA911       1201  16     42.00
WA911       1201  17     31.00
WA911       1201  18     28.00
WA911       1201  19     32.00
WA911       1201  20     31.00
WA911       1201  21     41.00
WA911       1201  22     31.00
WA911       1201  23     33.00
WA911       1201  24     32.00
WA911       1201  25     27.00
WA911       1201  26     28.00
WA911       1201  27     31.00
WA911       1201  28     41.00
WA911       1201  29     34.00
WA911       1201  30     34.00
WA911       1201  31     33.00
WA911       0102   1     33.00
WA911       0102   2     37.00
WA911       0102   3     37.00
WA911       0102   4     36.00
WA911       0102   5     38.00
WA911       0102   6     45.00
WA911       0102   7     47.00
WA911       0102   8     39.00
WA911       0102   9     44.00
WA911       0102  10     43.00
WA911       0102  11     42.00
WA911       0102  12     41.00
WA911       0102  13     31.00
WA911       0102  14     32.00
WA911       0102  15     37.00
WA911       0102  16     27.00
WA911       0102  17     27.00
WA911       0102  18     31.00
WA911       0102  19     30.00
WA911       0102  20     31.00
WA911       0102  21     25.00
WA911       0102  22     24.00
WA911       0102  23     32.00
WA911       0102  24     32.00
WA911       0102  25     32.00
WA911       0102  26     27.00
WA911       0102  27     31.00
WA911       0102  28     30.00
WA911       0102  29     23.00
WA911       0102  30     31.00
WA911       0102  31     32.00
WA911       0202   1     34.00
WA911       0202   2     33.00
WA911       0202   3     32.00
WA911       0202   4     35.00
WA911       0202   5     36.00
WA911       0202   6     36.00
WA911       0202   7     32.00
WA911       0202   8     29.00
WA911       0202   9     33.00
WA911       0202  10     43.00
WA911       0202  11     41.00
WA911       0202  12     35.00
WA911       0202  13     35.00
WA911       0202  14     51.00
WA911       0202  15     41.00
WA911       0202  16     45.00
WA911       0202  17     39.00
WA911       0202  18     44.00
WA911       0202  19     37.00
WA911       0202  20     49.00
WA911       0202  21     46.00
WA911       0202  22     43.00
WA911       0202  23     42.00
WA911       0202  24     32.00
WA911       0202  25     28.00
WA911       0202  26     39.00
WA911       0202  27     39.00
WA911       0202  28     42.00
WA911       0302   1     38.00
WA911       0302   2     50.00
WA911       0302   3     58.00
WA911       0302   4     45.00
WA911       0302   5     32.00
WA911       0302   6     30.00
WA911       0302   7     26.00
WA911       0302   8     23.00
WA911       0302   9     30.00
WA911       0302  10     36.00
WA911       0302  11     38.00
WA911       0302  12     33.00
WA911       0302  13     34.00
WA911       0302  14     29.00
WA911       0302  15     38.00
WA911       0302  16     39.00
WA911       0302  17     28.00
WA911       0302  18     29.00
WA911       0302  19     31.00
WA911       0302  20     38.00
WA911       0302  21     30.00
WA911       0302  22     42.00
WA911       0302  23     46.00
WA911       0302  24     36.00
WA911       0302  25     49.00
WA911       0302  26     37.00
WA911       0302  27     30.00
WA911       0302  28     33.00
WA911       0302  29     36.00
WA911       0302  30     47.00
WA911       0302  31     35.00
WA911       0402   1     38.00
WA911       0402   2     48.00
WA911       0402   3     60.00
WA911       0402   4     68.00
WA911       0402   5     48.00
WA911       0402   6     38.00
WA911       0402   7     36.00
WA911       0402   8     58.00
WA911       0402   9     47.00
WA911       0402  10     45.00
WA911       0402  11     51.00
WA911       0402  12     48.00
WA911       0402  13     46.00
WA911       0402  14     41.00
WA911       0402  15     35.00
WA911       0402  16     38.00
WA911       0402  17     44.00
WA911       0402  18     44.00
WA911       0402  19     46.00
WA911       0402  20     40.00
WA911       0402  21     42.00
WA911       0402  22     34.00
WA911       0402  23     37.00
WA911       0402  24     57.00
WA911       0402  25     52.00
WA911       0402  26     44.00
WA911       0402  27     48.00
WA911       0402  28     50.00
WA911       0402  29     62.00
WA911       0402  30     59.00
WA911       0502   1     58.00
WA911       0502   2     36.00
WA911       0502   3     41.00
WA911       0502   4     36.00
WA911       0502   5     32.00
WA911       0502   6     40.00
WA911       0502   7     36.00
WA911       0502   8     55.00
WA911       0502   9     42.00
WA911       0502  10     54.00
WA911       0502  11     58.00
WA911       0502  12     61.00
