$ Get data for 507:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:53:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA507           Grouse Camp
WA507       0201   7      2.00
WA507       0201   8     11.00
WA507       0201   9      7.00
WA507       0201  10     10.00
WA507       0201  11     15.00
WA507       0201  12     10.00
WA507       0201  13     17.00
WA507       0201  14     20.00
WA507       0201  15     12.00
WA507       0201  16     11.00
WA507       0201  17     18.00
WA507       0201  18     17.00
WA507       0201  19     18.00
WA507       0201  20     20.00
WA507       0201  21     20.00
WA507       0201  22     20.00
WA507       0201  23     17.00
WA507       0201  24     15.00
WA507       0201  25     13.00
WA507       0201  26     11.00
WA507       0201  27     12.00
WA507       0201  28     16.00
WA507       0301   1     19.00
WA507       0301   2     13.00
WA507       0301   3      8.00
WA507       0301   4     19.00
WA507       0301   5     28.00
WA507       0301   6     27.00
WA507       0301   7     26.00
WA507       0301   8     26.00
WA507       0301   9     22.00
WA507       0301  10     18.00
WA507       0301  11     19.00
WA507       0301  12     27.00
WA507       0301  13     20.00
WA507       0301  14     14.00
WA507       0301  15     19.00
WA507       0301  16     17.00
WA507       0301  17     18.00
WA507       0301  18     30.00
WA507       0301  19     19.00
WA507       0301  20     15.00
WA507       0301  21     24.00
WA507       0301  22     26.00
WA507       0301  23     29.00
WA507       0301  24     30.00
WA507       0301  25     27.00
WA507       0301  26     20.00
WA507       0301  27     15.00
WA507       0301  28     23.00
WA507       0301  29     20.00
WA507       0301  30     23.00
WA507       0301  31     23.00
WA507       0401   1     18.00
WA507       0401   2     18.00
WA507       0401   3     15.00
WA507       0401   4     20.00
WA507       0401   5     22.00
WA507       0401   6     18.00
WA507       0401   7     17.00
WA507       0401   8     15.00
WA507       0401   9     17.00
WA507       0401  10     18.00
WA507       0401  11     21.00
WA507       0401  12     17.00
WA507       0401  13     17.00
WA507       0401  14     14.00
WA507       0401  15     20.00
WA507       0401  16     33.00
WA507       0401  17     27.00
WA507       0401  18     27.00
WA507       0401  19     23.00
WA507       0401  20     25.00
WA507       0401  21     26.00
WA507       0401  22     27.00
WA507       0401  23     29.00
WA507       0401  24     30.00
WA507       0401  25     36.00
WA507       0401  26     35.00
WA507       0401  27     33.00
WA507       0401  28     24.00
WA507       0401  29     22.00
WA507       0401  30     24.00
WA507       0501   1     20.00
WA507       0501   2     20.00
WA507       0501   3     25.00
WA507       0501   4     30.00
WA507       0501   5     24.00
WA507       0501   6     21.00
WA507       0501   7     28.00
WA507       0501   8     34.00
WA507       0501   9     30.00
WA507       0501  10     27.00
WA507       0501  11     35.00
WA507       0501  12     40.00
WA507       0501  13     37.00
WA507       0501  14     31.00
WA507       0501  15     26.00
WA507       0501  16     26.00
WA507       0501  17     27.00
WA507       0501  18     29.00
WA507       0501  19     26.00
WA507       0501  20     26.00
WA507       0501  21     33.00
WA507       0501  22     44.00
WA507       0501  23     48.00
WA507       0501  24     44.00
WA507       0501  25     46.00
WA507       0501  26     46.00
WA507       0501  27     38.00
WA507       0501  28     26.00
WA507       0501  29     25.00
WA507       0501  30     29.00
