$ Get data for 376:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA376           Bunchgrass Mdw
WA376       0501  21     27.00
WA376       0501  22     30.00
WA376       0501  23     32.00
WA376       0501  24     37.00
WA376       0501  25     37.00
WA376       0501  26     33.00
WA376       0501  27     33.00
WA376       0501  28     30.00
WA376       0501  29     25.00
WA376       0501  30     23.00
WA376       0501  31     30.00
WA376       0601   1     34.00
WA376       0601   2     28.00
WA376       0601   3     25.00
WA376       0601   4     32.00
WA376       0601   5     28.00
WA376       0601   6     33.00
WA376       0601   7     31.00
WA376       0601   8     30.00
WA376       0601   9     34.00
WA376       0601  10     34.00
WA376       0601  11     29.00
WA376       0601  12     31.00
WA376       0601  13     29.00
WA376       0601  14     34.00
WA376       0601  15     30.00
WA376       0601  16     28.00
WA376       0601  17     32.00
WA376       0601  18     32.00
WA376       0601  19     29.00
WA376       0601  20     32.00
WA376       0601  21     38.00
WA376       0601  22     43.00
WA376       0601  23     42.00
WA376       0601  24     37.00
WA376       0601  25     33.00
WA376       0601  26     35.00
WA376       0601  27     46.00
WA376       0601  28     46.00
WA376       0601  29     37.00
WA376       0601  30     34.00
WA376       0701   1     39.00
WA376       0701   2     35.00
WA376       0701   3     38.00
WA376       0701   4     41.00
WA376       0701   5     44.00
WA376       0701   6     33.00
WA376       0701   7     36.00
WA376       0701   8     39.00
WA376       0701   9     40.00
WA376       0701  10     41.00
WA376       0701  11     40.00
WA376       0701  12     39.00
WA376       0701  13     42.00
WA376       0701  14     38.00
WA376       0701  15     35.00
WA376       0701  16     41.00
WA376       0701  17     35.00
WA376       0701  18     31.00
WA376       0701  19     32.00
WA376       0701  20     32.00
WA376       0701  21     44.00
WA376       0701  22     39.00
WA376       0701  23     36.00
WA376       0701  24     48.00
WA376       0701  25     37.00
WA376       0701  26     35.00
WA376       0701  27     37.00
WA376       0701  28     36.00
WA376       0701  29     33.00
WA376       0701  30     31.00
WA376       0701  31     33.00
WA376       0801   1     33.00
WA376       0801   2     44.00
WA376       0801   3     39.00
WA376       0801   4     46.00
WA376       0801   5     41.00
WA376       0801   6     39.00
WA376       0801   7     42.00
WA376       0801   8     50.00
WA376       0801   9     42.00
WA376       0801  10     39.00
WA376       0801  11     45.00
WA376       0801  12     40.00
WA376       0801  13     46.00
WA376       0801  14     43.00
WA376       0801  15     40.00
WA376       0801  16     42.00
WA376       0801  17     42.00
WA376       0801  18     41.00
WA376       0801  19     35.00
WA376       0801  20     29.00
WA376       0801  21     31.00
WA376       0801  22     47.00
WA376       0801  23     40.00
WA376       0801  24     33.00
WA376       0801  25     29.00
WA376       0801  26     33.00
WA376       0801  27     36.00
WA376       0801  28     42.00
WA376       0801  29     37.00
WA376       0801  30     39.00
WA376       0801  31     41.00
WA376       0901   1     45.00
WA376       0901   2     35.00
WA376       0901   3     38.00
WA376       0901   4     34.00
WA376       0901   5     33.00
WA376       0901   6     38.00
WA376       0901   7     30.00
WA376       0901   8     26.00
WA376       0901   9     28.00
WA376       0901  10     29.00
WA376       0901  11     33.00
WA376       0901  12     31.00
WA376       0901  13     38.00
WA376       0901  14     35.00
WA376       0901  15     35.00
WA376       0901  16     38.00
WA376       0901  17     39.00
WA376       0901  18     34.00
WA376       0901  19     29.00
WA376       0901  20     28.00
WA376       0901  21     35.00
WA376       0901  22     31.00
WA376       0901  23     32.00
WA376       0901  24     36.00
WA376       0901  25     31.00
WA376       0901  26     42.00
WA376       0901  27     31.00
WA376       0901  28     28.00
WA376       0901  29   -999.00
WA376       0901  30     26.00
WA376       1001   1     27.00
WA376       1001   2     32.00
WA376       1001   3     26.00
WA376       1001   4     20.00
WA376       1001   5     17.00
WA376       1001   6     20.00
WA376       1001   7     24.00
WA376       1001   8     29.00
WA376       1001   9     24.00
WA376       1001  10     22.00
WA376       1001  11     26.00
WA376       1001  12     27.00
WA376       1001  13     32.00
WA376       1001  14     20.00
WA376       1001  15     16.00
WA376       1001  16     24.00
WA376       1001  17     26.00
WA376       1001  18     25.00
WA376       1001  19     27.00
WA376       1001  20     20.00
WA376       1001  21     27.00
WA376       1001  22     31.00
WA376       1001  23     27.00
WA376       1001  24     22.00
WA376       1001  25     27.00
WA376       1001  26     30.00
WA376       1001  27     28.00
WA376       1001  28     10.00
WA376       1001  29     18.00
WA376       1001  30     32.00
WA376       1001  31     30.00
WA376       1101   1     26.00
WA376       1101   2     33.00
WA376       1101   3     29.00
WA376       1101   4     27.00
WA376       1101   5     26.00
WA376       1101   6     20.00
WA376       1101   7     14.00
WA376       1101   8     14.00
WA376       1101   9     20.00
WA376       1101  10     16.00
WA376       1101  11     10.00
WA376       1101  12     26.00
WA376       1101  13     30.00
WA376       1101  14     36.00
WA376       1101  15     34.00
WA376       1101  16     32.00
WA376       1101  17     23.00
WA376       1101  18     14.00
WA376       1101  19     22.00
WA376       1101  20     31.00
WA376       1101  21     29.00
WA376       1101  22     28.00
WA376       1101  23     26.00
WA376       1101  24     21.00
WA376       1101  25     20.00
WA376       1101  26     20.00
WA376       1101  27     16.00
WA376       1101  28     18.00
WA376       1101  29     21.00
WA376       1101  30     19.00
WA376       1201   1     22.00
WA376       1201   2     24.00
WA376       1201   3     14.00
WA376       1201   4     18.00
WA376       1201   5     19.00
WA376       1201   6     19.00
WA376       1201   7     20.00
WA376       1201   8     22.00
WA376       1201   9      4.00
WA376       1201  10      8.00
WA376       1201  11      4.00
WA376       1201  12     12.00
WA376       1201  13     22.00
WA376       1201  14     15.00
WA376       1201  15     -1.00
WA376       1201  16     19.00
WA376       1201  17      5.00
WA376       1201  18      9.00
WA376       1201  19      6.00
WA376       1201  20      6.00
WA376       1201  21     20.00
WA376       1201  22      3.00
WA376       1201  23     -3.00
WA376       1201  24     -1.00
WA376       1201  25     -4.00
WA376       1201  26     -5.00
WA376       1201  27     -1.00
WA376       1201  28     17.00
WA376       1201  29      9.00
WA376       1201  30     10.00
WA376       1201  31      5.00
WA376       0102   1     -3.00
WA376       0102   2     16.00
WA376       0102   3     22.00
WA376       0102   4     21.00
WA376       0102   5     23.00
WA376       0102   6     25.00
WA376       0102   7     33.00
WA376       0102   8     32.00
WA376       0102   9     23.00
WA376       0102  10     24.00
WA376       0102  11     18.00
WA376       0102  12     26.00
WA376       0102  13      8.00
WA376       0102  14      0.00
WA376       0102  15     -8.00
WA376       0102  16      0.00
WA376       0102  17     -4.00
WA376       0102  18    -12.00
WA376       0102  19     18.00
WA376       0102  20     18.00
WA376       0102  21     17.00
WA376       0102  22      5.00
WA376       0102  23     12.00
WA376       0102  24     22.00
WA376       0102  25     23.00
WA376       0102  26      8.00
WA376       0102  27     -2.00
WA376       0102  28    -15.00
WA376       0102  29    -16.00
WA376       0102  30     11.00
WA376       0102  31     19.00
WA376       0202   1     21.00
WA376       0202   2     16.00
WA376       0202   3      5.00
WA376       0202   4      9.00
WA376       0202   5     12.00
WA376       0202   6     21.00
WA376       0202   7     25.00
WA376       0202   8      8.00
WA376       0202   9     -3.00
WA376       0202  10     13.00
WA376       0202  11      5.00
WA376       0202  12     -3.00
WA376       0202  13      2.00
WA376       0202  14      5.00
WA376       0202  15     -1.00
WA376       0202  16      4.00
