$ Get data for 984:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:38:49 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA984           Spruce Springs
WA984       0301  14     23.00
WA984       0301  15     24.00
WA984       0301  16     24.00
WA984       0301  17     26.00
WA984       0301  18     31.00
WA984       0301  19     26.00
WA984       0301  20     24.00
WA984       0301  21     29.00
WA984       0301  22     34.00
WA984       0301  23     38.00
WA984       0301  24     44.00
WA984       0301  25     31.00
WA984       0301  26     24.00
WA984       0301  27     22.00
WA984       0301  28     28.00
WA984       0301  29     26.00
WA984       0301  30     27.00
WA984       0301  31     29.00
WA984       0401   1     26.00
WA984       0401   2     23.00
WA984       0401   3     20.00
WA984       0401   4     19.00
WA984       0401   5     22.00
WA984       0401   6     27.00
WA984       0401   7     23.00
WA984       0401   8     21.00
WA984       0401   9     20.00
WA984       0401  10     25.00
WA984       0401  11     24.00
WA984       0401  12     22.00
WA984       0401  13     21.00
WA984       0401  14     20.00
WA984       0401  15     29.00
WA984       0401  16     40.00
WA984       0401  17     34.00
WA984       0401  18     27.00
WA984       0401  19     27.00
WA984       0401  20     29.00
WA984       0401  21     26.00
WA984       0401  22     31.00
WA984       0401  23     33.00
WA984       0401  24     38.00
WA984       0401  25     46.00
WA984       0401  26     48.00
WA984       0401  27     40.00
WA984       0401  28     27.00
WA984       0401  29     26.00
WA984       0401  30     27.00
WA984       0501   1     26.00
WA984       0501   2     26.00
WA984       0501   3     31.00
WA984       0501   4     37.00
WA984       0501   5     28.00
WA984       0501   6     26.00
WA984       0501   7     36.00
WA984       0501   8     42.00
WA984       0501   9     36.00
WA984       0501  10     34.00
WA984       0501  11     46.00
WA984       0501  12     49.00
WA984       0501  13     44.00
WA984       0501  14     36.00
WA984       0501  15     36.00
WA984       0501  16     31.00
WA984       0501  17     32.00
WA984       0501  18     33.00
WA984       0501  19     35.00
WA984       0501  20     29.00
WA984       0501  21     37.00
WA984       0501  22     51.00
WA984       0501  23     59.00
WA984       0501  24     56.00
WA984       0501  25     52.00
WA984       0501  26     53.00
WA984       0501  27     43.00
WA984       0501  28     32.00
WA984       0501  29     27.00
WA984       0501  30     36.00
WA984       0501  31     45.00
WA984       0601   1     37.00
WA984       0601   2     32.00
WA984       0601   3     32.00
WA984       0601   4     33.00
WA984       0601   5     38.00
WA984       0601   6     36.00
WA984       0601   7     43.00
WA984       0601   8     48.00
WA984       0601   9     43.00
WA984       0601  10     38.00
WA984       0601  11     34.00
WA984       0601  12     30.00
WA984       0601  13     33.00
WA984       0601  14     39.00
WA984       0601  15     35.00
WA984       0601  16     42.00
WA984       0601  17     38.00
WA984       0601  18     35.00
WA984       0601  19     44.00
WA984       0601  20     50.00
WA984       0601  21     55.00
WA984       0601  22     51.00
WA984       0601  23     48.00
WA984       0601  24     37.00
WA984       0601  25     34.00
WA984       0601  26     45.00
WA984       0601  27     45.00
WA984       0601  28     43.00
WA984       0601  29     46.00
WA984       0601  30     51.00
WA984       0701   1     49.00
WA984       0701   2     53.00
WA984       0701   3     57.00
WA984       0701   4     66.00
WA984       0701   5     52.00
WA984       0701   6     51.00
WA984       0701   7     51.00
WA984       0701   8     58.00
WA984       0701   9     58.00
WA984       0701  10     60.00
WA984       0701  11     58.00
WA984       0701  12     53.00
WA984       0701  13     53.00
WA984       0701  14     53.00
WA984       0701  15     45.00
WA984       0701  16     40.00
WA984       0701  17     40.00
WA984       0701  18     40.00
WA984       0701  19     43.00
WA984       0701  20     47.00
WA984       0701  21     46.00
WA984       0701  22     46.00
WA984       0701  23     49.00
WA984       0701  24     54.00
WA984       0701  25     52.00
WA984       0701  26     51.00
WA984       0701  27     53.00
WA984       0701  28     43.00
WA984       0701  29     42.00
WA984       0701  30     43.00
WA984       0701  31     42.00
WA984       0801   1     50.00
WA984       0801   2     53.00
WA984       0801   3     50.00
WA984       0801   4     47.00
WA984       0801   5     50.00
WA984       0801   6     54.00
WA984       0801   7     57.00
WA984       0801   8     55.00
WA984       0801   9     58.00
WA984       0801  10     57.00
WA984       0801  11     60.00
WA984       0801  12     65.00
WA984       0801  13     62.00
WA984       0801  14     64.00
WA984       0801  15     64.00
WA984       0801  16     65.00
WA984       0801  17     58.00
WA984       0801  18     45.00
WA984       0801  19     41.00
WA984       0801  20     47.00
WA984       0801  21     48.00
WA984       0801  22     47.00
WA984       0801  23     44.00
WA984       0801  24     39.00
WA984       0801  25     48.00
WA984       0801  26     57.00
WA984       0801  27     55.00
WA984       0801  28     53.00
WA984       0801  29     54.00
WA984       0801  30     55.00
WA984       0801  31     54.00
WA984       0901   1     46.00
WA984       0901   2     46.00
WA984       0901   3     51.00
WA984       0901   4     50.00
WA984       0901   5     40.00
WA984       0901   6     37.00
WA984       0901   7     37.00
WA984       0901   8     42.00
WA984       0901   9     51.00
WA984       0901  10     53.00
WA984       0901  11     52.00
WA984       0901  12     57.00
WA984       0901  13     55.00
WA984       0901  14     53.00
WA984       0901  15     54.00
WA984       0901  16     54.00
WA984       0901  17     53.00
WA984       0901  18     49.00
WA984       0901  19     40.00
WA984       0901  20     44.00
WA984       0901  21     50.00
WA984       0901  22     49.00
WA984       0901  23     61.00
WA984       0901  24     58.00
WA984       0901  25     43.00
WA984       0901  26     41.00
WA984       0901  27     40.00
WA984       0901  28     39.00
WA984       0901  29     40.00
WA984       0901  30     50.00
WA984       1001   1     52.00
WA984       1001   2     46.00
WA984       1001   3     42.00
WA984       1001   4     38.00
WA984       1001   5     40.00
WA984       1001   6     36.00
WA984       1001   7     35.00
WA984       1001   8   -999.00
WA984       1001   9     31.00
WA984       1001  10     33.00
WA984       1001  11     30.00
WA984       1001  12     30.00
WA984       1001  13     36.00
WA984       1001  14     34.00
WA984       1001  15     36.00
WA984       1001  16     32.00
WA984       1001  17     29.00
WA984       1001  18     30.00
WA984       1001  19     40.00
WA984       1001  20     34.00
WA984       1001  21     38.00
WA984       1001  22     31.00
WA984       1001  23     26.00
WA984       1001  24     25.00
WA984       1001  25     33.00
WA984       1001  26     40.00
WA984       1001  27     34.00
WA984       1001  28     31.00
WA984       1001  29     39.00
WA984       1001  30     36.00
WA984       1001  31     33.00
WA984       1101   1     33.00
WA984       1101   2     38.00
WA984       1101   3     40.00
WA984       1101   4     44.00
WA984       1101   5     28.00
WA984       1101   6     24.00
WA984       1101   7     24.00
WA984       1101   8     35.00
WA984       1101   9     38.00
WA984       1101  10     40.00
WA984       1101  11     41.00
WA984       1101  12     43.00
WA984       1101  13     38.00
WA984       1101  14     38.00
WA984       1101  15     42.00
WA984       1101  16     38.00
WA984       1101  17     29.00
WA984       1101  18     28.00
WA984       1101  19     34.00
WA984       1101  20     34.00
WA984       1101  21     31.00
WA984       1101  22     30.00
WA984       1101  23     25.00
WA984       1101  24     23.00
WA984       1101  25     24.00
WA984       1101  26     19.00
WA984       1101  27     18.00
WA984       1101  28     19.00
WA984       1101  29     21.00
WA984       1101  30     22.00
WA984       1201   1     25.00
WA984       1201   2     24.00
WA984       1201   3     20.00
WA984       1201   4     20.00
WA984       1201   5     20.00
WA984       1201   6     21.00
WA984       1201   7     23.00
WA984       1201   8     27.00
WA984       1201   9     18.00
WA984       1201  10     18.00
WA984       1201  11     22.00
WA984       1201  12     21.00
WA984       1201  13     26.00
WA984       1201  14     19.00
WA984       1201  15     14.00
WA984       1201  16     24.00
WA984       1201  17     15.00
WA984       1201  18     19.00
WA984       1201  19     24.00
WA984       1201  20     27.00
WA984       1201  21     22.00
WA984       1201  22     23.00
WA984       1201  23     23.00
WA984       1201  24     23.00
WA984       1201  25     27.00
WA984       1201  26     25.00
WA984       1201  27     26.00
WA984       1201  28     26.00
WA984       1201  29     27.00
WA984       1201  30     27.00
WA984       1201  31     28.00
WA984       0102   1     28.00
WA984       0102   2     32.00
WA984       0102   3     26.00
WA984       0102   4     24.00
WA984       0102   5     29.00
WA984       0102   6     31.00
WA984       0102   7     37.00
WA984       0102   8     32.00
WA984       0102   9     28.00
WA984       0102  10     30.00
WA984       0102  11     33.00
WA984       0102  12     25.00
WA984       0102  13     20.00
WA984       0102  14     19.00
WA984       0102  15     17.00
WA984       0102  16     16.00
WA984       0102  17     19.00
WA984       0102  18     13.00
WA984       0102  19     21.00
WA984       0102  20     21.00
WA984       0102  21     17.00
WA984       0102  22     16.00
WA984       0102  23     17.00
WA984       0102  24     26.00
WA984       0102  25     28.00
WA984       0102  26     14.00
WA984       0102  27     12.00
WA984       0102  28      9.00
WA984       0102  29     10.00
WA984       0102  30     15.00
WA984       0102  31     22.00
WA984       0202   1     22.00
WA984       0202   2     21.00
WA984       0202   3     22.00
WA984       0202   4     20.00
WA984       0202   5     25.00
WA984       0202   6     23.00
WA984       0202   7     25.00
WA984       0202   8     23.00
WA984       0202   9     21.00
WA984       0202  10     29.00
WA984       0202  11     15.00
WA984       0202  12     15.00
WA984       0202  13     20.00
WA984       0202  14     17.00
WA984       0202  15     27.00
WA984       0202  16     29.00
WA984       0202  17     29.00
WA984       0202  18     29.00
WA984       0202  19     26.00
WA984       0202  20     23.00
WA984       0202  21     31.00
WA984       0202  22     37.00
WA984       0202  23     30.00
WA984       0202  24      6.00
WA984       0202  25      7.00
WA984       0202  26     12.00
WA984       0202  27     13.00
WA984       0202  28     13.00
WA984       0302   1     11.00
WA984       0302   2     12.00
WA984       0302   3     17.00
WA984       0302   4     30.00
WA984       0302   5     29.00
WA984       0302   6     24.00
WA984       0302   7     11.00
WA984       0302   8     12.00
WA984       0302   9     19.00
WA984       0302  10     25.00
WA984       0302  11     31.00
WA984       0302  12     24.00
WA984       0302  13     22.00
WA984       0302  14     20.00
WA984       0302  15     18.00
WA984       0302  16     16.00
WA984       0302  17     15.00
WA984       0302  18     12.00
WA984       0302  19     26.00
WA984       0302  20     27.00
WA984       0302  21     27.00
WA984       0302  22     40.00
WA984       0302  23     32.00
WA984       0302  24     31.00
WA984       0302  25     31.00
WA984       0302  26     29.00
WA984       0302  27     23.00
WA984       0302  28     28.00
WA984       0302  29     27.00
WA984       0302  30     29.00
WA984       0302  31     35.00
WA984       0402   1     27.00
WA984       0402   2     25.00
WA984       0402   3     25.00
WA984       0402   4     34.00
WA984       0402   5     37.00
WA984       0402   6     33.00
WA984       0402   7     31.00
WA984       0402   8     28.00
WA984       0402   9     33.00
WA984       0402  10     33.00
WA984       0402  11     35.00
WA984       0402  12     36.00
WA984       0402  13     40.00
WA984       0402  14     24.00
WA984       0402  15     23.00
WA984       0402  16     24.00
WA984       0402  17     24.00
WA984       0402  18     28.00
WA984       0402  19     28.00
WA984       0402  20     28.00
WA984       0402  21     33.00
WA984       0402  22     28.00
WA984       0402  23     23.00
WA984       0402  24     22.00
WA984       0402  25     32.00
WA984       0402  26     31.00
WA984       0402  27     30.00
WA984       0402  28     28.00
WA984       0402  29     36.00
WA984       0402  30     36.00
WA984       0502   1     33.00
WA984       0502   2     32.00
WA984       0502   3     27.00
WA984       0502   4     31.00
WA984       0502   5     26.00
WA984       0502   6     24.00
WA984       0502   7     22.00
WA984       0502   8     25.00
WA984       0502   9     28.00
WA984       0502  10     26.00
WA984       0502  11     31.00
WA984       0502  12     39.00
WA984       0502  13     34.00
WA984       0502  14     30.00
WA984       0502  15     32.00
WA984       0502  16     33.00
WA984       0502  17     38.00
WA984       0502  18     39.00
WA984       0502  19     39.00
WA984       0502  20     34.00
WA984       0502  21     35.00
WA984       0502  22     32.00
WA984       0502  23     34.00
WA984       0502  24     34.00
WA984       0502  25     43.00
WA984       0502  26     43.00
WA984       0502  27     44.00
WA984       0502  28     41.00
WA984       0502  29     45.00
WA984       0502  30     42.00
WA984       0502  31     43.00
WA984       0602   1     42.00
WA984       0602   2     41.00
WA984       0602   3     43.00
WA984       0602   4     44.00
WA984       0602   5     40.00
WA984       0602   6     33.00
WA984       0602   7     30.00
WA984       0602   8     27.00
WA984       0602   9     32.00
WA984       0602  10     35.00
WA984       0602  11     40.00
WA984       0602  12     45.00
WA984       0602  13     50.00
WA984       0602  14     57.00
WA984       0602  15     57.00
WA984       0602  16     47.00
WA984       0602  17     42.00
WA984       0602  18     38.00
WA984       0602  19     36.00
WA984       0602  20     45.00
WA984       0602  21     52.00
WA984       0602  22     52.00
WA984       0602  23     51.00
WA984       0602  24     51.00
WA984       0602  25     52.00
WA984       0602  26     58.00
WA984       0602  27     52.00
WA984       0602  28     49.00
WA984       0602  29     44.00
WA984       0602  30     42.00
WA984       0702   1     40.00
WA984       0702   2     45.00
WA984       0702   3     45.00
WA984       0702   4     38.00
WA984       0702   5     38.00
WA984       0702   6     53.00
WA984       0702   7     51.00
WA984       0702   8     46.00
WA984       0702   9     47.00
WA984       0702  10     62.00
WA984       0702  11     68.00
WA984       0702  12     67.00
WA984       0702  13     66.00
WA984       0702  14     57.00
WA984       0702  15     55.00
WA984       0702  16     59.00
WA984       0702  17     60.00
WA984       0702  18     57.00
WA984       0702  19     52.00
WA984       0702  20     51.00
WA984       0702  21     53.00
WA984       0702  22     58.00
WA984       0702  23     59.00
WA984       0702  24     58.00
WA984       0702  25     55.00
WA984       0702  26     50.00
WA984       0702  27     46.00
WA984       0702  28     50.00
WA984       0702  29     52.00
WA984       0702  30     46.00
WA984       0702  31     40.00
WA984       0802   1     47.00
WA984       0802   2     44.00
WA984       0802   3     45.00
WA984       0802   4     39.00
WA984       0802   5     37.00
WA984       0802   6     38.00
WA984       0802   7     39.00
WA984       0802   8     43.00
WA984       0802   9     51.00
WA984       0802  10     54.00
WA984       0802  11     50.00
WA984       0802  12     49.00
WA984       0802  13     53.00
WA984       0802  14     59.00
WA984       0802  15     54.00
WA984       0802  16     48.00
WA984       0802  17     48.00
WA984       0802  18     43.00
WA984       0802  19     50.00
WA984       0802  20     43.00
WA984       0802  21     42.00
WA984       0802  22     44.00
WA984       0802  23     46.00
WA984       0802  24     50.00
WA984       0802  25     51.00
WA984       0802  26     49.00
WA984       0802  27     48.00
WA984       0802  28     54.00
WA984       0802  29     55.00
WA984       0802  30     53.00
WA984       0802  31     50.00
WA984       0902   1     48.00
WA984       0902   2     48.00
WA984       0902   3     44.00
WA984       0902   4     44.00
WA984       0902   5     43.00
WA984       0902   6     41.00
WA984       0902   7     38.00
WA984       0902   8     38.00
WA984       0902   9     44.00
WA984       0902  10     55.00
WA984       0902  11     58.00
WA984       0902  12     58.00
WA984       0902  13     54.00
WA984       0902  14     60.00
WA984       0902  15     53.00
WA984       0902  16     41.00
WA984       0902  17     39.00
WA984       0902  18     38.00
WA984       0902  19     45.00
WA984       0902  20     38.00
WA984       0902  21     36.00
WA984       0902  22     43.00
WA984       0902  23     52.00
WA984       0902  24     45.00
WA984       0902  25     43.00
WA984       0902  26     43.00
WA984       0902  27     38.00
WA984       0902  28     38.00
WA984       0902  29     32.00
WA984       0902  30     31.00
WA984       1002   1     30.00
WA984       1002   2     29.00
WA984       1002   3     38.00
WA984       1002   4     40.00
WA984       1002   5     39.00
WA984       1002   6     40.00
WA984       1002   7     40.00
WA984       1002   8     40.00
WA984       1002   9     40.00
WA984       1002  10     28.00
WA984       1002  11     25.00
WA984       1002  12     28.00
WA984       1002  13     39.00
WA984       1002  14     36.00
WA984       1002  15     40.00
WA984       1002  16     39.00
WA984       1002  17     45.00
WA984       1002  18     43.00
WA984       1002  19     42.00
WA984       1002  20     39.00
WA984       1002  21     37.00
