$ Get data for 515:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:54:28 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA515           Harts Pass
WA515       1100  26     16.00
WA515       1100  27     16.00
WA515       1100  28     14.00
WA515       1100  29     19.00
WA515       1100  30     20.00
WA515       1200   1     20.00
WA515       1200   2     20.00
WA515       1200   3     18.00
WA515       1200   4     21.00
WA515       1200   5     30.00
WA515       1200   6     30.00
WA515       1200   7     23.00
WA515       1200   8     21.00
WA515       1200   9     12.00
WA515       1200  10     -5.00
WA515       1200  11     -1.00
WA515       1200  12      9.00
WA515       1200  13      3.00
WA515       1200  14      2.00
WA515       1200  15     -2.00
WA515       1200  16     -2.00
WA515       1200  17     16.00
WA515       1200  18     15.00
WA515       1200  19     11.00
WA515       1200  20     12.00
WA515       1200  21     12.00
WA515       1200  22     17.00
WA515       1200  23     20.00
WA515       1200  24     20.00
WA515       1200  25     21.00
WA515       1200  26     22.00
WA515       1200  27     20.00
WA515       1200  28     20.00
WA515       1200  29     22.00
WA515       1200  30     26.00
WA515       1200  31     22.00
WA515       0101   1     23.00
WA515       0101   2     23.00
WA515       0101   3     23.00
WA515       0101   4     24.00
WA515       0101   5     22.00
WA515       0101   6     18.00
WA515       0101   7     18.00
WA515       0101   8     19.00
WA515       0101   9     16.00
WA515       0101  10     20.00
WA515       0101  11     21.00
WA515       0101  12     19.00
WA515       0101  13     18.00
WA515       0101  14     17.00
WA515       0101  15     12.00
WA515       0101  16     18.00
WA515       0101  17     22.00
WA515       0101  18     28.00
WA515       0101  19     17.00
WA515       0101  20     16.00
WA515       0101  21     18.00
WA515       0101  22     18.00
WA515       0101  23     18.00
WA515       0101  24     23.00
WA515       0101  25     20.00
WA515       0101  26     19.00
WA515       0101  27     20.00
WA515       0101  28     14.00
WA515       0101  29      8.00
WA515       0101  30     18.00
WA515       0101  31     25.00
WA515       0201   1     24.00
WA515       0201   2     20.00
WA515       0201   3     17.00
WA515       0201   4     19.00
WA515       0201   5     12.00
WA515       0201   6      4.00
WA515       0201   7      3.00
WA515       0201   8      9.00
WA515       0201   9      8.00
WA515       0201  10     10.00
WA515       0201  11     13.00
WA515       0201  12     12.00
WA515       0201  13     19.00
WA515       0201  14     19.00
WA515       0201  15      2.00
WA515       0201  16      7.00
WA515       0201  17     17.00
WA515       0201  18     17.00
WA515       0201  19     16.00
WA515       0201  20     19.00
WA515       0201  21     24.00
WA515       0201  22     24.00
WA515       0201  23     22.00
WA515       0201  24     18.00
WA515       0201  25     14.00
WA515       0201  26     14.00
WA515       0201  27     19.00
WA515       0201  28     23.00
WA515       0301   1     18.00
WA515       0301   2     15.00
WA515       0301   3     11.00
WA515       0301   4     16.00
WA515       0301   5     24.00
WA515       0301   6     29.00
WA515       0301   7     30.00
WA515       0301   8     25.00
WA515       0301   9     19.00
WA515       0301  10     22.00
WA515       0301  11     21.00
WA515       0301  12     25.00
WA515       0301  13     21.00
WA515       0301  14     17.00
WA515       0301  15     20.00
WA515       0301  16     18.00
WA515       0301  17     18.00
WA515       0301  18     26.00
WA515       0301  19     19.00
WA515       0301  20     21.00
WA515       0301  21     18.00
WA515       0301  22     24.00
WA515       0301  23     29.00
WA515       0301  24     32.00
WA515       0301  25     26.00
WA515       0301  26     19.00
WA515       0301  27     15.00
WA515       0301  28     20.00
WA515       0301  29     19.00
WA515       0301  30     21.00
WA515       0301  31     20.00
WA515       0401   1     14.00
WA515       0401   2     14.00
WA515       0401   3     17.00
WA515       0401   4     15.00
WA515       0401   5     23.00
WA515       0401   6     21.00
WA515       0401   7     19.00
WA515       0401   8     17.00
WA515       0401   9     22.00
WA515       0401  10     20.00
WA515       0401  11     17.00
WA515       0401  12     14.00
WA515       0401  13     18.00
WA515       0401  14     15.00
WA515       0401  15     23.00
WA515       0401  16     31.00
WA515       0401  17     27.00
WA515       0401  18     24.00
WA515       0401  19     20.00
WA515       0401  20     25.00
WA515       0401  21     28.00
WA515       0401  22     26.00
WA515       0401  23     27.00
WA515       0401  24     31.00
WA515       0401  25     34.00
WA515       0401  26     39.00
WA515       0401  27     33.00
WA515       0401  28     26.00
WA515       0401  29     21.00
WA515       0401  30     22.00
WA515       0501   1     22.00
WA515       0501   2     23.00
WA515       0501   3     26.00
WA515       0501   4     26.00
WA515       0501   5     20.00
WA515       0501   6     19.00
WA515       0501   7     33.00
WA515       0501   8     28.00
WA515       0501   9     25.00
WA515       0501  10     24.00
WA515       0501  11     36.00
WA515       0501  12     37.00
WA515       0501  13     34.00
WA515       0501  14     31.00
WA515       0501  15     29.00
WA515       0501  16     27.00
WA515       0501  17     26.00
WA515       0501  18     28.00
WA515       0501  19     27.00
WA515       0501  20     25.00
WA515       0501  21     32.00
WA515       0501  22     46.00
WA515       0501  23     47.00
WA515       0501  24     43.00
WA515       0501  25     41.00
WA515       0501  26     45.00
WA515       0501  27     36.00
WA515       0501  28     25.00
WA515       0501  29     24.00
WA515       0501  30     28.00
WA515       0501  31     40.00
WA515       0601   1     27.00
WA515       0601   2     27.00
WA515       0601   3     28.00
WA515       0601   4     31.00
WA515       0601   5     33.00
WA515       0601   6     33.00
WA515       0601   7     33.00
WA515       0601   8     40.00
WA515       0601   9     31.00
WA515       0601  10     28.00
WA515       0601  11     27.00
WA515       0601  12     27.00
WA515       0601  13     32.00
WA515       0601  14     33.00
WA515       0601  15     33.00
WA515       0601  16     31.00
WA515       0601  17     31.00
WA515       0601  18     32.00
WA515       0601  19     40.00
WA515       0601  20     45.00
WA515       0601  21     45.00
WA515       0601  22     38.00
WA515       0601  23     34.00
WA515       0601  24     33.00
WA515       0601  25     32.00
WA515       0601  26     38.00
WA515       0601  27     39.00
WA515       0601  28     36.00
WA515       0601  29     35.00
WA515       0601  30     41.00
WA515       0701   1     36.00
WA515       0701   2     43.00
WA515       0701   3     49.00
WA515       0701   4     46.00
WA515       0701   5     39.00
WA515       0701   6     38.00
WA515       0701   7     41.00
WA515       0701   8     44.00
WA515       0701   9     50.00
WA515       0701  10     49.00
WA515       0701  11     45.00
WA515       0701  12     48.00
WA515       0701  13     43.00
WA515       0701  14     40.00
WA515       0701  15     36.00
WA515       0701  16     36.00
WA515       0701  17     34.00
WA515       0701  18     37.00
WA515       0701  19     38.00
WA515       0701  20     41.00
WA515       0701  21     44.00
WA515       0701  22     44.00
WA515       0701  23     45.00
WA515       0701  24     43.00
WA515       0701  25     42.00
WA515       0701  26     44.00
WA515       0701  27     42.00
WA515       0701  28     35.00
WA515       0701  29     34.00
WA515       0701  30     38.00
WA515       0701  31     38.00
WA515       0801   1   -999.00
WA515       0801   2     40.00
WA515       0801   3     40.00
WA515       0801   4     38.00
WA515       0801   5     37.00
WA515       0801   6     44.00
WA515       0801   7     40.00
WA515       0801   8     40.00
WA515       0801   9     46.00
WA515       0801  10     52.00
WA515       0801  11   -999.00
WA515       0801  12     60.00
WA515       0801  13     56.00
WA515       0801  14     55.00
WA515       0801  15     59.00
WA515       0801  16     55.00
WA515       0801  17     41.00
WA515       0801  18     37.00
WA515       0801  19     35.00
WA515       0801  20     36.00
WA515       0801  21     36.00
WA515       0801  22     40.00
WA515       0801  23     35.00
WA515       0801  24     33.00
WA515       0801  25     39.00
WA515       0801  26     48.00
WA515       0801  27     45.00
WA515       0801  28     44.00
WA515       0801  29     49.00
WA515       0801  30     48.00
WA515       0801  31     40.00
WA515       0901   1     33.00
WA515       0901   2     34.00
WA515       0901   3     38.00
WA515       0901   4     35.00
WA515       0901   5     32.00
WA515       0901   6     31.00
WA515       0901   7     32.00
WA515       0901   8   -999.00
WA515       0901   9     37.00
WA515       0901  10     42.00
WA515       0901  11     42.00
WA515       0901  12   -999.00
WA515       0901  13     49.00
WA515       0901  14     51.00
WA515       0901  15     51.00
WA515       0901  16     47.00
WA515       0901  17     40.00
WA515       0901  18     34.00
WA515       0901  19     33.00
WA515       0901  20     36.00
WA515       0901  21     36.00
WA515       0901  22     42.00
WA515       0901  23     47.00
WA515       0901  24     51.00
WA515       0901  25     39.00
WA515       0901  26     25.00
WA515       0901  27     25.00
WA515       0901  28     29.00
WA515       0901  29     34.00
WA515       0901  30     39.00
WA515       1001   1     38.00
WA515       1001   2     36.00
WA515       1001   3     34.00
WA515       1001   4     27.00
WA515       1001   5     31.00
WA515       1001   6     26.00
WA515       1001   7     26.00
WA515       1001   8     26.00
WA515       1001   9     22.00
WA515       1001  10     24.00
WA515       1001  11     23.00
WA515       1001  12     22.00
WA515       1001  13     25.00
WA515       1001  14     27.00
WA515       1001  15     25.00
WA515       1001  16     24.00
WA515       1001  17     21.00
WA515       1001  18     21.00
WA515       1001  19     25.00
WA515       1001  20     21.00
WA515       1001  21   -999.00
WA515       1001  22     24.00
WA515       1001  23     20.00
WA515       1001  24     19.00
WA515       1001  25     23.00
WA515       1001  26     26.00
WA515       1001  27     17.00
WA515       1001  28     14.00
WA515       1001  29     18.00
WA515       1001  30     24.00
WA515       1001  31     24.00
WA515       1101   1     24.00
WA515       1101   2     26.00
WA515       1101   3     27.00
WA515       1101   4     29.00
WA515       1101   5     17.00
WA515       1101   6     15.00
WA515       1101   7     16.00
WA515       1101   8     18.00
WA515       1101   9     33.00
WA515       1101  10     29.00
WA515       1101  11     28.00
WA515       1101  12     28.00
WA515       1101  13     27.00
WA515       1101  14     28.00
WA515       1101  15     26.00
WA515       1101  16     24.00
WA515       1101  17     18.00
WA515       1101  18     19.00
WA515       1101  19     22.00
WA515       1101  20     25.00
WA515       1101  21     23.00
WA515       1101  22     22.00
WA515       1101  23     13.00
WA515       1101  24     15.00
WA515       1101  25     15.00
WA515       1101  26     11.00
WA515       1101  27     12.00
WA515       1101  28     11.00
WA515       1101  29     12.00
WA515       1101  30     11.00
WA515       1201   1     15.00
WA515       1201   2     11.00
WA515       1201   3      9.00
WA515       1201   4      9.00
WA515       1201   5      9.00
WA515       1201   6     12.00
WA515       1201   7     18.00
WA515       1201   8     19.00
WA515       1201   9     10.00
WA515       1201  10     10.00
WA515       1201  11     10.00
WA515       1201  12     11.00
WA515       1201  13     18.00
WA515       1201  14     10.00
WA515       1201  15     10.00
WA515       1201  16     15.00
WA515       1201  17      8.00
WA515       1201  18      7.00
WA515       1201  19     12.00
WA515       1201  20     12.00
WA515       1201  21     15.00
WA515       1201  22     11.00
WA515       1201  23     12.00
WA515       1201  24      9.00
WA515       1201  25     16.00
WA515       1201  26     14.00
WA515       1201  27     13.00
WA515       1201  28     17.00
WA515       1201  29     16.00
WA515       1201  30     17.00
WA515       1201  31     17.00
WA515       0102   1     17.00
WA515       0102   2     16.00
WA515       0102   3     19.00
WA515       0102   4     19.00
WA515       0102   5     17.00
WA515       0102   6     17.00
WA515       0102   7     23.00
WA515       0102   8     25.00
WA515       0102   9     20.00
WA515       0102  10     18.00
WA515       0102  11     21.00
WA515       0102  12     18.00
WA515       0102  13     14.00
WA515       0102  14     10.00
WA515       0102  15     12.00
WA515       0102  16     12.00
WA515       0102  17      8.00
WA515       0102  18      8.00
WA515       0102  19     13.00
WA515       0102  20     13.00
WA515       0102  21      8.00
WA515       0102  22      8.00
WA515       0102  23      9.00
WA515       0102  24     23.00
WA515       0102  25     12.00
WA515       0102  26      3.00
WA515       0102  27      3.00
WA515       0102  28      4.00
WA515       0102  29      5.00
WA515       0102  30      9.00
WA515       0102  31     16.00
WA515       0202   1     14.00
WA515       0202   2     15.00
WA515       0202   3     16.00
WA515       0202   4     11.00
WA515       0202   5     11.00
WA515       0202   6     14.00
WA515       0202   7     14.00
WA515       0202   8     15.00
WA515       0202   9     13.00
WA515       0202  10     13.00
WA515       0202  11     10.00
WA515       0202  12     11.00
WA515       0202  13     10.00
WA515       0202  14     15.00
WA515       0202  15     18.00
WA515       0202  16     17.00
WA515       0202  17     19.00
WA515       0202  18     21.00
WA515       0202  19     17.00
WA515       0202  20     15.00
WA515       0202  21     18.00
WA515       0202  22     21.00
WA515       0202  23      2.00
WA515       0202  24     -2.00
WA515       0202  25      2.00
WA515       0202  26      4.00
WA515       0202  27     11.00
WA515       0202  28      7.00
WA515       0302   1      6.00
WA515       0302   2     11.00
WA515       0302   3     22.00
WA515       0302   4     22.00
WA515       0302   5      1.00
WA515       0302   6      0.00
WA515       0302   7      1.00
WA515       0302   8      2.00
