$ Get data for 699:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA699           Pope Ridge
WA699       1100  18     17.00
WA699       1100  19     18.00
WA699       1100  20     17.00
WA699       1100  21     19.00
WA699       1100  22     15.00
WA699       1100  23     14.00
WA699       1100  24     15.00
WA699       1100  25     19.00
WA699       1100  26     21.00
WA699       1100  27     18.00
WA699       1100  28     16.00
WA699       1100  29     23.00
WA699       1100  30     23.00
WA699       1200   1     25.00
WA699       1200   2     22.00
WA699       1200   3     19.00
WA699       1200   4     18.00
WA699       1200   5     17.00
WA699       1200   6     18.00
WA699       1200   7     15.00
WA699       1200   8     19.00
WA699       1200   9     14.00
WA699       1200  10      7.00
WA699       1200  11      2.00
WA699       1200  12     -1.00
WA699       1200  13     -1.00
WA699       1200  14      1.00
WA699       1200  15      8.00
WA699       1200  16      5.00
WA699       1200  17     17.00
WA699       1200  18     16.00
WA699       1200  19     16.00
WA699       1200  20     16.00
WA699       1200  21     18.00
WA699       1200  22     18.00
WA699       1200  23     22.00
WA699       1200  24     22.00
WA699       1200  25     22.00
WA699       1200  26     25.00
WA699       1200  27     24.00
WA699       1200  28     21.00
WA699       1200  29     23.00
WA699       1200  30     25.00
WA699       1200  31     26.00
WA699       0101   1     22.00
WA699       0101   2     22.00
WA699       0101   3     21.00
WA699       0101   4     24.00
WA699       0101   5     28.00
WA699       0101   6     20.00
WA699       0101   7     18.00
WA699       0101   8     23.00
WA699       0101   9     18.00
WA699       0101  10     25.00
WA699       0101  11     26.00
WA699       0101  12     24.00
WA699       0101  13     20.00
WA699       0101  14     19.00
WA699       0101  15     16.00
WA699       0101  16     13.00
WA699       0101  17     12.00
WA699       0101  18     13.00
WA699       0101  19     16.00
WA699       0101  20     15.00
WA699       0101  21     20.00
WA699       0101  22     22.00
WA699       0101  23     21.00
WA699       0101  24     25.00
WA699       0101  25     24.00
WA699       0101  26     20.00
WA699       0101  27     17.00
WA699       0101  28     16.00
WA699       0101  29     15.00
WA699       0101  30     22.00
WA699       0101  31     28.00
WA699       0201   1     26.00
WA699       0201   2     27.00
WA699       0201   3     24.00
WA699       0201   4     27.00
WA699       0201   5     25.00
WA699       0201   6      9.00
WA699       0201   7      6.00
WA699       0201   8     13.00
WA699       0201   9     11.00
WA699       0201  10     15.00
WA699       0201  11     15.00
WA699       0201  12     14.00
WA699       0201  13     20.00
WA699       0201  14     22.00
WA699       0201  15     16.00
WA699       0201  16     15.00
WA699       0201  17     11.00
WA699       0201  18     21.00
WA699       0201  19     16.00
WA699       0201  20     26.00
WA699       0201  21     22.00
WA699       0201  22     26.00
WA699       0201  23     22.00
WA699       0201  24     19.00
WA699       0201  25     17.00
WA699       0201  26     15.00
WA699       0201  27     17.00
WA699       0201  28     18.00
WA699       0301   1     24.00
WA699       0301   2     18.00
WA699       0301   3     14.00
WA699       0301   4     23.00
WA699       0301   5     29.00
WA699       0301   6     29.00
WA699       0301   7     29.00
WA699       0301   8     32.00
WA699       0301   9     28.00
WA699       0301  10     25.00
WA699       0301  11     24.00
WA699       0301  12     29.00
WA699       0301  13     24.00
WA699       0301  14     20.00
WA699       0301  15     23.00
WA699       0301  16     20.00
WA699       0301  17     26.00
WA699       0301  18     30.00
WA699       0301  19     25.00
WA699       0301  20     21.00
WA699       0301  21     22.00
WA699       0301  22     26.00
WA699       0301  23     30.00
WA699       0301  24     32.00
WA699       0301  25     33.00
WA699       0301  26     26.00
WA699       0301  27     23.00
WA699       0301  28     27.00
WA699       0301  29     24.00
WA699       0301  30     27.00
WA699       0301  31     30.00
WA699       0401   1     22.00
WA699       0401   2     20.00
WA699       0401   3     22.00
WA699       0401   4     20.00
WA699       0401   5     29.00
WA699       0401   6     27.00
WA699       0401   7     24.00
WA699       0401   8     25.00
WA699       0401   9     25.00
WA699       0401  10     27.00
WA699       0401  11     23.00
WA699       0401  12     22.00
WA699       0401  13     25.00
WA699       0401  14     20.00
WA699       0401  15     26.00
WA699       0401  16     33.00
WA699       0401  17     31.00
WA699       0401  18     28.00
WA699       0401  19     25.00
WA699       0401  20     28.00
WA699       0401  21     29.00
WA699       0401  22     29.00
WA699       0401  23     34.00
WA699       0401  24     31.00
WA699       0401  25     36.00
WA699       0401  26     39.00
WA699       0401  27     38.00
WA699       0401  28     29.00
WA699       0401  29     29.00
WA699       0401  30     31.00
WA699       0501   1     29.00
WA699       0501   2     27.00
WA699       0501   3     28.00
WA699       0501   4     36.00
WA699       0501   5     26.00
WA699       0501   6     24.00
WA699       0501   7     33.00
WA699       0501   8     33.00
WA699       0501   9     30.00
WA699       0501  10     31.00
WA699       0501  11     36.00
WA699       0501  12     44.00
WA699       0501  13     44.00
WA699       0501  14     37.00
WA699       0501  15     32.00
WA699       0501  16     31.00
WA699       0501  17     29.00
WA699       0501  18     30.00
WA699       0501  19     33.00
WA699       0501  20     29.00
WA699       0501  21     36.00
WA699       0501  22     47.00
WA699       0501  23     50.00
WA699       0501  24     48.00
WA699       0501  25     43.00
WA699       0501  26     46.00
WA699       0501  27     43.00
WA699       0501  28     30.00
WA699       0501  29     27.00
WA699       0501  30     31.00
WA699       0501  31     42.00
WA699       0601   1     35.00
WA699       0601   2     31.00
WA699       0601   3     31.00
WA699       0601   4     34.00
WA699       0601   5     35.00
WA699       0601   6     34.00
WA699       0601   7     37.00
WA699       0601   8     44.00
WA699       0601   9     38.00
WA699       0601  10     36.00
WA699       0601  11     33.00
WA699       0601  12     34.00
WA699       0601  13     36.00
WA699       0601  14     40.00
WA699       0601  15     36.00
WA699       0601  16     34.00
WA699       0601  17     33.00
WA699       0601  18     35.00
WA699       0601  19     42.00
WA699       0601  20     46.00
WA699       0601  21     50.00
WA699       0601  22     44.00
WA699       0601  23     39.00
WA699       0601  24     39.00
WA699       0601  25     33.00
WA699       0601  26     42.00
WA699       0601  27     47.00
WA699       0601  28     40.00
WA699       0601  29     38.00
WA699       0601  30     45.00
WA699       0701   1     42.00
WA699       0701   2     45.00
WA699       0701   3     49.00
WA699       0701   4     56.00
WA699       0701   5     45.00
WA699       0701   6     43.00
WA699       0701   7     46.00
WA699       0701   8     51.00
WA699       0701   9     52.00
WA699       0701  10     53.00
WA699       0701  11     51.00
WA699       0701  12     53.00
WA699       0701  13     50.00
WA699       0701  14     46.00
WA699       0701  15     44.00
WA699       0701  16     38.00
WA699       0701  17     35.00
WA699       0701  18     38.00
WA699       0701  19     44.00
WA699       0701  20     44.00
WA699       0701  21     47.00
WA699       0701  22     46.00
WA699       0701  23     48.00
WA699       0701  24     47.00
WA699       0701  25     43.00
WA699       0701  26     47.00
WA699       0701  27     46.00
WA699       0701  28     46.00
WA699       0701  29     38.00
WA699       0701  30     41.00
WA699       0701  31     42.00
WA699       0801   1     45.00
WA699       0801   2     49.00
WA699       0801   3     49.00
WA699       0801   4     44.00
WA699       0801   5     42.00
WA699       0801   6     51.00
WA699       0801   7     46.00
WA699       0801   8     49.00
WA699       0801   9     50.00
WA699       0801  10     54.00
WA699       0801  11     56.00
WA699       0801  12     57.00
WA699       0801  13     60.00
WA699       0801  14     57.00
WA699       0801  15     59.00
WA699       0801  16     59.00
WA699       0801  17     50.00
WA699       0801  18     46.00
WA699       0801  19     39.00
WA699       0801  20     42.00
WA699       0801  21     42.00
WA699       0801  22     49.00
WA699       0801  23     42.00
WA699       0801  24     39.00
WA699       0801  25     41.00
WA699       0801  26     47.00
WA699       0801  27     50.00
WA699       0801  28     52.00
WA699       0801  29     52.00
WA699       0801  30     54.00
WA699       0801  31     51.00
WA699       0901   1     43.00
WA699       0901   2     42.00
WA699       0901   3     49.00
WA699       0901   4     46.00
WA699       0901   5     38.00
WA699       0901   6     37.00
WA699       0901   7     36.00
WA699       0901   8     40.00
WA699       0901   9     45.00
WA699       0901  10     49.00
WA699       0901  11     46.00
WA699       0901  12     50.00
WA699       0901  13     52.00
WA699       0901  14     53.00
WA699       0901  15     54.00
WA699       0901  16     49.00
WA699       0901  17     48.00
WA699       0901  18     46.00
WA699       0901  19     39.00
WA699       0901  20     41.00
WA699       0901  21     46.00
WA699       0901  22     45.00
WA699       0901  23     48.00
WA699       0901  24     53.00
WA699       0901  25     48.00
WA699       0901  26     36.00
WA699       0901  27     30.00
WA699       0901  28     34.00
WA699       0901  29     36.00
WA699       0901  30     40.00
WA699       1001   1     43.00
WA699       1001   2     41.00
WA699       1001   3     38.00
WA699       1001   4     35.00
WA699       1001   5     31.00
WA699       1001   6     32.00
WA699       1001   7     31.00
WA699       1001   8     34.00
WA699       1001   9     30.00
WA699       1001  10     29.00
WA699       1001  11     31.00
WA699       1001  12     33.00
WA699       1001  13     35.00
WA699       1001  14     37.00
WA699       1001  15     30.00
WA699       1001  16     31.00
WA699       1001  17     29.00
WA699       1001  18     28.00
WA699       1001  19     31.00
WA699       1001  20     28.00
WA699       1001  21     33.00
WA699       1001  22     32.00
WA699       1001  23     30.00
WA699       1001  24     27.00
WA699       1001  25     32.00
WA699       1001  26     33.00
WA699       1001  27     25.00
WA699       1001  28     22.00
WA699       1001  29     28.00
WA699       1001  30     32.00
WA699       1001  31     30.00
WA699       1101   1     31.00
WA699       1101   2     31.00
WA699       1101   3     30.00
WA699       1101   4     32.00
WA699       1101   5     26.00
WA699       1101   6     25.00
WA699       1101   7     23.00
WA699       1101   8     24.00
WA699       1101   9     26.00
WA699       1101  10     29.00
WA699       1101  11     31.00
WA699       1101  12     33.00
WA699       1101  13     32.00
WA699       1101  14     34.00
WA699       1101  15     34.00
WA699       1101  16     32.00
WA699       1101  17     26.00
WA699       1101  18     24.00
WA699       1101  19     30.00
WA699       1101  20     32.00
WA699       1101  21     32.00
WA699       1101  22     31.00
WA699       1101  23     21.00
