$ Get data for 974:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:03 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA974           Waterhole
WA974       0201  16     69.00
WA974       0201  17     77.00
WA974       0201  18     75.00
WA974       0201  19     74.00
WA974       0201  20     78.00
WA974       0201  21     78.00
WA974       0201  22     75.00
WA974       0201  23     74.00
WA974       0201  24     71.00
WA974       0201  25     69.00
WA974       0201  26     71.00
WA974       0201  27   -999.00
WA974       0201  28     77.00
WA974       0301   1     74.00
WA974       0301   2     69.00
WA974       0301   3   -999.00
WA974       0301   4     68.00
WA974       0301   5     80.00
WA974       0301   6     80.00
WA974       0301   7     83.00
WA974       0301   8     80.00
WA974       0301   9     74.00
WA974       0301  10     75.00
WA974       0301  11     77.00
WA974       0301  12     81.00
WA974       0301  13     72.00
WA974       0301  14     72.00
WA974       0301  15     73.00
WA974       0301  16     72.00
WA974       0301  17     78.00
WA974       0301  18     75.00
WA974       0301  19     73.00
WA974       0301  20     73.00
WA974       0301  21     71.00
WA974       0301  22     78.00
WA974       0301  23     82.00
WA974       0301  24     82.00
WA974       0301  25     76.00
WA974       0301  26   -999.00
WA974       0301  27     74.00
WA974       0301  28   -999.00
WA974       0301  29     72.00
WA974       0301  30     75.00
WA974       0301  31     75.00
WA974       0401   1     74.00
WA974       0401   2     70.00
WA974       0401   3     72.00
WA974       0401   4   -999.00
WA974       0401   5     75.00
WA974       0401   6     72.00
WA974       0401   7     71.00
WA974       0401   8     69.00
WA974       0401   9     74.00
WA974       0401  10     75.00
WA974       0401  11     73.00
WA974       0401  12   -999.00
WA974       0401  13     72.00
WA974       0401  14     69.00
WA974       0401  15     74.00
WA974       0401  16     81.00
WA974       0401  17     78.00
WA974       0401  18     78.00
WA974       0401  19   -999.00
WA974       0401  20     76.00
WA974       0401  21     78.00
WA974       0401  22     77.00
WA974       0401  23     82.00
WA974       0401  24     84.00
WA974       0401  25     85.00
WA974       0401  26     83.00
WA974       0401  27     81.00
WA974       0401  28     76.00
WA974       0401  29     77.00
WA974       0401  30     78.00
WA974       0501   1     77.00
WA974       0501   2     74.00
WA974       0501   3   -999.00
WA974       0501   4     77.00
WA974       0501   5     76.00
WA974       0501   6     75.00
WA974       0501   7   -999.00
WA974       0501   8     79.00
WA974       0501   9     79.00
WA974       0501  10   -999.00
WA974       0501  11     79.00
WA974       0501  12     83.00
WA974       0501  13     82.00
WA974       0501  14     80.00
WA974       0501  15     80.00
WA974       0501  16     79.00
WA974       0501  17     78.00
WA974       0501  18   -999.00
WA974       0501  19     78.00
WA974       0501  20   -999.00
WA974       0501  21     79.00
WA974       0501  22     90.00
WA974       0501  23     88.00
WA974       0501  24     84.00
WA974       0501  25     85.00
WA974       0501  26     87.00
WA974       0501  27     83.00
WA974       0501  28     78.00
WA974       0501  29     76.00
WA974       0501  30   -999.00
WA974       0501  31     82.00
WA974       0601   1     79.00
WA974       0601   2   -999.00
WA974       0601   3     79.00
WA974       0601   4     80.00
WA974       0601   5   -999.00
WA974       0601   6     82.00
WA974       0601   7     83.00
WA974       0601   8     86.00
WA974       0601   9     81.00
WA974       0601  10     80.00
WA974       0601  11     80.00
WA974       0601  12     80.00
WA974       0601  13     81.00
WA974       0601  14     81.00
WA974       0601  15     80.00
WA974       0601  16     80.00
WA974       0601  17     79.00
WA974       0601  18   -999.00
WA974       0601  19     80.00
WA974       0601  20   -999.00
WA974       0601  21     87.00
WA974       0601  22     84.00
WA974       0601  23   -999.00
WA974       0601  24     81.00
WA974       0601  25     80.00
WA974       0601  26     84.00
WA974       0601  27   -999.00
WA974       0601  28     82.00
WA974       0601  29     81.00
WA974       0601  30     83.00
WA974       0701   1   -999.00
