$ Get data for 804:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:39:56 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA804           Surprise Lakes
WA804       1100  19     17.00
WA804       1100  20     19.00
WA804       1100  21     19.00
WA804       1100  22     24.00
WA804       1100  23     22.00
WA804       1100  24     28.00
WA804       1100  25     27.00
WA804       1100  26     30.00
WA804       1100  27     22.00
WA804       1100  28     22.00
WA804       1100  29     26.00
WA804       1100  30     31.00
WA804       1200   1     28.00
WA804       1200   2     28.00
WA804       1200   3     26.00
WA804       1200   4     23.00
WA804       1200   5     21.00
WA804       1200   6     19.00
WA804       1200   7     18.00
WA804       1200   8     15.00
WA804       1200   9     24.00
WA804       1200  10     14.00
WA804       1200  11     12.00
WA804       1200  12     11.00
WA804       1200  13     12.00
WA804       1200  14     18.00
WA804       1200  15     22.00
WA804       1200  16     23.00
WA804       1200  17     20.00
WA804       1200  18     21.00
WA804       1200  19     24.00
WA804       1200  20     22.00
WA804       1200  21     20.00
WA804       1200  22     20.00
WA804       1200  23     28.00
WA804       1200  24     25.00
WA804       1200  25     26.00
WA804       1200  26     27.00
WA804       1200  27     28.00
WA804       1200  28     28.00
WA804       1200  29     25.00
WA804       1200  30     25.00
WA804       1200  31     25.00
WA804       0101   1     25.00
WA804       0101   2     25.00
WA804       0101   3     29.00
WA804       0101   4     34.00
WA804       0101   5     28.00
WA804       0101   6     22.00
WA804       0101   7     25.00
WA804       0101   8     24.00
WA804       0101   9     22.00
WA804       0101  10     27.00
WA804       0101  11     28.00
WA804       0101  12     28.00
WA804       0101  13     25.00
WA804       0101  14     19.00
WA804       0101  15     15.00
WA804       0101  16     17.00
WA804       0101  17     17.00
WA804       0101  18     26.00
WA804       0101  19     22.00
WA804       0101  20     22.00
WA804       0101  21     22.00
WA804       0101  22     26.00
WA804       0101  23     24.00
WA804       0101  24     25.00
WA804       0101  25     19.00
WA804       0101  26     22.00
WA804       0101  27     15.00
WA804       0101  28     13.00
WA804       0101  29     20.00
WA804       0101  30     25.00
WA804       0101  31     27.00
WA804       0201   1     28.00
WA804       0201   2     27.00
WA804       0201   3     26.00
WA804       0201   4     31.00
WA804       0201   5     23.00
WA804       0201   6     14.00
WA804       0201   7     10.00
WA804       0201   8     17.00
WA804       0201   9     19.00
WA804       0201  10     18.00
WA804       0201  11     19.00
WA804       0201  12     17.00
WA804       0201  13     21.00
WA804       0201  14     20.00
WA804       0201  15     24.00
WA804       0201  16     18.00
WA804       0201  17     18.00
WA804       0201  18     20.00
WA804       0201  19     26.00
WA804       0201  20     27.00
WA804       0201  21     26.00
WA804       0201  22     24.00
WA804       0201  23     26.00
WA804       0201  24     18.00
WA804       0201  25     21.00
WA804       0201  26     22.00
WA804       0201  27     23.00
WA804       0201  28     22.00
WA804       0301   1     26.00
WA804       0301   2     20.00
WA804       0301   3     18.00
WA804       0301   4     24.00
WA804       0301   5     31.00
WA804       0301   6     33.00
WA804       0301   7     35.00
WA804       0301   8     28.00
WA804       0301   9     27.00
WA804       0301  10     26.00
WA804       0301  11     24.00
WA804       0301  12     30.00
WA804       0301  13     28.00
WA804       0301  14     26.00
WA804       0301  15     24.00
WA804       0301  16     23.00
