$ Get data for 863:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:55 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA863           White Pass E.s.
WA863       0501  31     40.00
WA863       0601   1     31.00
WA863       0601   2     31.00
WA863       0601   3     30.00
WA863       0601   4     31.00
WA863       0601   5     36.00
WA863       0601   6     38.00
WA863       0601   7     36.00
WA863       0601   8     44.00
WA863       0601   9     36.00
WA863       0601  10     33.00
WA863       0601  11     30.00
WA863       0601  12     30.00
WA863       0601  13     35.00
WA863       0601  14     39.00
WA863       0601  15     37.00
WA863       0601  16     36.00
WA863       0601  17     33.00
WA863       0601  18     34.00
WA863       0601  19     38.00
WA863       0601  20     45.00
WA863       0601  21     46.00
WA863       0601  22     41.00
WA863       0601  23     37.00
WA863       0601  24     33.00
WA863       0601  25     32.00
WA863       0601  26     39.00
WA863       0601  27     45.00
WA863       0601  28     40.00
WA863       0601  29     34.00
WA863       0601  30     40.00
WA863       0701   1     42.00
WA863       0701   2     41.00
WA863       0701   3   -999.00
WA863       0701   4     51.00
WA863       0701   5     38.00
WA863       0701   6     39.00
WA863       0701   7     43.00
WA863       0701   8     47.00
WA863       0701   9     48.00
WA863       0701  10     50.00
WA863       0701  11     49.00
WA863       0701  12     51.00
WA863       0701  13     46.00
WA863       0701  14     43.00
WA863       0701  15     41.00
WA863       0701  16     38.00
WA863       0701  17     40.00
WA863       0701  18     42.00
WA863       0701  19     39.00
WA863       0701  20     45.00
WA863       0701  21     45.00
WA863       0701  22     45.00
WA863       0701  23     45.00
WA863       0701  24     48.00
WA863       0701  25     40.00
WA863       0701  26     45.00
WA863       0701  27     47.00
WA863       0701  28     42.00
WA863       0701  29     40.00
WA863       0701  30     43.00
WA863       0701  31     40.00
WA863       0801   1     36.00
WA863       0801   2     45.00
WA863       0801   3     46.00
WA863       0801   4     42.00
WA863       0801   5     40.00
WA863       0801   6     48.00
WA863       0801   7     47.00
WA863       0801   8     45.00
WA863       0801   9     49.00
WA863       0801  10     53.00
WA863       0801  11     52.00
WA863       0801  12     54.00
WA863       0801  13     57.00
WA863       0801  14     54.00
WA863       0801  15     56.00
WA863       0801  16     51.00
WA863       0801  17     46.00
WA863       0801  18     45.00
WA863       0801  19     39.00
WA863       0801  20     41.00
WA863       0801  21     41.00
WA863       0801  22     46.00
WA863       0801  23     40.00
WA863       0801  24     40.00
WA863       0801  25     38.00
WA863       0801  26     46.00
WA863       0801  27     46.00
WA863       0801  28     49.00
WA863       0801  29     47.00
WA863       0801  30     48.00
WA863       0801  31     50.00
WA863       0901   1     41.00
WA863       0901   2     33.00
WA863       0901   3     42.00
WA863       0901   4     42.00
WA863       0901   5     37.00
WA863       0901   6     37.00
WA863       0901   7     38.00
WA863       0901   8     37.00
WA863       0901   9     44.00
WA863       0901  10     44.00
WA863       0901  11     45.00
WA863       0901  12     48.00
WA863       0901  13     50.00
WA863       0901  14     51.00
WA863       0901  15     52.00
WA863       0901  16     47.00
WA863       0901  17     42.00
WA863       0901  18     38.00
WA863       0901  19     38.00
WA863       0901  20     37.00
WA863       0901  21     44.00
WA863       0901  22     43.00
WA863       0901  23     46.00
WA863       0901  24     48.00
WA863       0901  25     44.00
WA863       0901  26     33.00
WA863       0901  27     30.00
WA863       0901  28     31.00
WA863       0901  29     35.00
WA863       0901  30     39.00
WA863       1001   1     42.00
WA863       1001   2     39.00
WA863       1001   3     40.00
WA863       1001   4     38.00
WA863       1001   5     33.00
WA863       1001   6     34.00
WA863       1001   7     30.00
WA863       1001   8     33.00
WA863       1001   9     28.00
WA863       1001  10     29.00
WA863       1001  11     30.00
WA863       1001  12     30.00
WA863       1001  13     33.00
WA863       1001  14     35.00
WA863       1001  15     31.00
WA863       1001  16     31.00
WA863       1001  17     30.00
WA863       1001  18     30.00
WA863       1001  19     31.00
WA863       1001  20     28.00
WA863       1001  21     32.00
WA863       1001  22     30.00
WA863       1001  23     27.00
WA863       1001  24     26.00
WA863       1001  25     31.00
WA863       1001  26     31.00
WA863       1001  27     26.00
WA863       1001  28     20.00
WA863       1001  29     25.00
WA863       1001  30     32.00
WA863       1001  31     31.00
WA863       1101   1     32.00
WA863       1101   2     31.00
WA863       1101   3     30.00
WA863       1101   4     33.00
WA863       1101   5     25.00
WA863       1101   6     24.00
WA863       1101   7     22.00
WA863       1101   8     24.00
WA863       1101   9     31.00
WA863       1101  10     30.00
WA863       1101  11     29.00
WA863       1101  12     32.00
WA863       1101  13     34.00
WA863       1101  14     41.00
WA863       1101  15     36.00
WA863       1101  16     32.00
WA863       1101  17     29.00
WA863       1101  18     28.00
WA863       1101  19     29.00
WA863       1101  20     31.00
WA863       1101  21     29.00
WA863       1101  22     29.00
WA863       1101  23     24.00
WA863       1101  24     25.00
WA863       1101  25     24.00
WA863       1101  26     22.00
WA863       1101  27     23.00
WA863       1101  28     19.00
WA863       1101  29     22.00
WA863       1101  30     23.00
WA863       1201   1     27.00
WA863       1201   2     24.00
WA863       1201   3     22.00
WA863       1201   4     22.00
WA863       1201   5     21.00
WA863       1201   6     22.00
WA863       1201   7     19.00
WA863       1201   8     27.00
WA863       1201   9     19.00
WA863       1201  10     21.00
WA863       1201  11     24.00
WA863       1201  12     20.00
WA863       1201  13     28.00
WA863       1201  14     20.00
WA863       1201  15     21.00
WA863       1201  16     29.00
WA863       1201  17     12.00
WA863       1201  18     16.00
WA863       1201  19     20.00
WA863       1201  20     23.00
WA863       1201  21     19.00
WA863       1201  22     20.00
WA863       1201  23     23.00
WA863       1201  24     21.00
WA863       1201  25     17.00
WA863       1201  26     17.00
WA863       1201  27     18.00
WA863       1201  28     18.00
WA863       1201  29     18.00
WA863       1201  30     24.00
WA863       1201  31     24.00
WA863       0102   1     23.00
WA863       0102   2     25.00
WA863       0102   3     26.00
WA863       0102   4     22.00
WA863       0102   5     24.00
WA863       0102   6     27.00
WA863       0102   7     35.00
WA863       0102   8     31.00
WA863       0102   9     27.00
WA863       0102  10     26.00
WA863       0102  11     28.00
WA863       0102  12     23.00
WA863       0102  13     19.00
WA863       0102  14     16.00
WA863       0102  15     16.00
WA863       0102  16     15.00
WA863       0102  17     12.00
WA863       0102  18     18.00
WA863       0102  19     24.00
WA863       0102  20     24.00
WA863       0102  21     18.00
WA863       0102  22     19.00
WA863       0102  23     20.00
WA863       0102  24     29.00
WA863       0102  25     22.00
WA863       0102  26     14.00
WA863       0102  27     11.00
WA863       0102  28     10.00
WA863       0102  29     14.00
WA863       0102  30     20.00
WA863       0102  31     25.00
WA863       0202   1     20.00
WA863       0202   2     13.00
WA863       0202   3     17.00
