$ Get data for 898:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA898           Mount Gardner
WA898       1100   4     35.00
WA898       1100   5     33.00
WA898       1100   6     35.00
WA898       1100   7     33.00
WA898       1100   8     30.00
WA898       1100   9     26.00
WA898       1100  10     21.00
WA898       1100  11     19.00
WA898       1100  12     21.00
WA898       1100  13     24.00
WA898       1100  14     24.00
WA898       1100  15     23.00
WA898       1100  16     23.00
WA898       1100  17     23.00
WA898       1100  18     24.00
WA898       1100  19     28.00
WA898       1100  20     28.00
WA898       1100  21     30.00
WA898       1100  22     30.00
WA898       1100  23     27.00
WA898       1100  24     30.00
WA898       1100  25     30.00
WA898       1100  26     31.00
WA898       1100  27     29.00
WA898       1100  28     27.00
WA898       1100  29     29.00
WA898       1100  30     32.00
WA898       1200   1     31.00
WA898       1200   2     30.00
WA898       1200   3     29.00
WA898       1200   4     33.00
WA898       1200   5     31.00
WA898       1200   6     30.00
WA898       1200   7     27.00
WA898       1200   8     25.00
WA898       1200   9     28.00
WA898       1200  10     17.00
WA898       1200  11     16.00
WA898       1200  12     14.00
WA898       1200  13     14.00
WA898       1200  14     19.00
WA898       1200  15     20.00
WA898       1200  16     18.00
WA898       1200  17     27.00
WA898       1200  18     26.00
WA898       1200  19     25.00
WA898       1200  20     24.00
WA898       1200  21     25.00
WA898       1200  22     26.00
WA898       1200  23     28.00
WA898       1200  24     31.00
WA898       1200  25     32.00
WA898       1200  26     33.00
WA898       1200  27     30.00
WA898       1200  28     31.00
WA898       1200  29     31.00
WA898       1200  30     32.00
WA898       1200  31     31.00
WA898       0101   1     30.00
WA898       0101   2     30.00
WA898       0101   3     33.00
WA898       0101   4     35.00
WA898       0101   5     33.00
WA898       0101   6     28.00
WA898       0101   7     31.00
WA898       0101   8     31.00
WA898       0101   9     29.00
WA898       0101  10     31.00
WA898       0101  11     32.00
