$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:05 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
WA832       0501  26     55.00
WA832       0501  27     41.00
WA832       0501  28     26.00
WA832       0501  29     26.00
WA832       0501  30     37.00
WA832       0501  31     49.00
WA832       0601   1     30.00
WA832       0601   2     28.00
WA832       0601   3     28.00
WA832       0601   4     36.00
WA832       0601   5     34.00
WA832       0601   6     36.00
WA832       0601   7     40.00
WA832       0601   8     43.00
WA832       0601   9     34.00
WA832       0601  10     30.00
WA832       0601  11     29.00
WA832       0601  12     28.00
WA832       0601  13     36.00
WA832       0601  14     36.00
WA832       0601  15     36.00
WA832       0601  16     38.00
WA832       0601  17     36.00
WA832       0601  18     36.00
WA832       0601  19     43.00
WA832       0601  20     50.00
WA832       0601  21     54.00
WA832       0601  22     48.00
WA832       0601  23     41.00
WA832       0601  24     33.00
WA832       0601  25     32.00
WA832       0601  26     38.00
WA832       0601  27     44.00
WA832       0601  28     43.00
WA832       0601  29     40.00
WA832       0601  30     49.00
WA832       0701   1     47.00
WA832       0701   2     53.00
WA832       0701   3     60.00
WA832       0701   4     59.00
WA832       0701   5     51.00
WA832       0701   6     51.00
WA832       0701   7     53.00
WA832       0701   8     56.00
WA832       0701   9     59.00
WA832       0701  10     62.00
WA832       0701  11     58.00
WA832       0701  12     56.00
WA832       0701  13     53.00
WA832       0701  14     52.00
WA832       0701  15     38.00
WA832       0701  16     37.00
WA832       0701  17     37.00
WA832       0701  18     39.00
WA832       0701  19     40.00
WA832       0701  20     48.00
WA832       0701  21     46.00
WA832       0701  22     46.00
WA832       0701  23     51.00
WA832       0701  24     50.00
WA832       0701  25   -999.00
WA832       0701  26     58.00
WA832       0701  27     49.00
WA832       0701  28     41.00
WA832       0701  29     38.00
WA832       0701  30     43.00
WA832       0701  31     43.00
WA832       0801   1     47.00
WA832       0801   2     48.00
WA832       0801   3     46.00
WA832       0801   4     45.00
WA832       0801   5     46.00
WA832       0801   6     53.00
WA832       0801   7     57.00
WA832       0801   8     51.00
WA832       0801   9     64.00
WA832       0801  10     64.00
WA832       0801  11     63.00
WA832       0801  12     66.00
WA832       0801  13   -999.00
WA832       0801  14     65.00
WA832       0801  15     67.00
WA832       0801  16     69.00
WA832       0801  17     58.00
WA832       0801  18     43.00
WA832       0801  19     41.00
WA832       0801  20     49.00
WA832       0801  21     48.00
WA832       0801  22     45.00
WA832       0801  23     40.00
WA832       0801  24     39.00
WA832       0801  25     46.00
WA832       0801  26     54.00
WA832       0801  27     59.00
WA832       0801  28     55.00
WA832       0801  29     56.00
WA832       0801  30     59.00
WA832       0801  31     50.00
WA832       0901   1     41.00
WA832       0901   2     43.00
WA832       0901   3     48.00
WA832       0901   4     43.00
WA832       0901   5     38.00
WA832       0901   6     40.00
WA832       0901   7     39.00
WA832       0901   8     44.00
WA832       0901   9     50.00
WA832       0901  10     55.00
WA832       0901  11     52.00
WA832       0901  12     56.00
WA832       0901  13     56.00
WA832       0901  14     58.00
WA832       0901  15     60.00
WA832       0901  16     60.00
WA832       0901  17     52.00
WA832       0901  18     40.00
WA832       0901  19     38.00
WA832       0901  20     45.00
WA832       0901  21     50.00
WA832       0901  22     49.00
WA832       0901  23     54.00
WA832       0901  24     61.00
WA832       0901  25     42.00
WA832       0901  26     33.00
WA832       0901  27     33.00
WA832       0901  28     36.00
WA832       0901  29     40.00
WA832       0901  30     45.00
WA832       1001   1     52.00
WA832       1001   2     46.00
WA832       1001   3     41.00
WA832       1001   4     35.00
WA832       1001   5     33.00
WA832       1001   6     36.00
WA832       1001   7     36.00
WA832       1001   8     31.00
WA832       1001   9     32.00
WA832       1001  10     32.00
WA832       1001  11     29.00
WA832       1001  12     29.00
WA832       1001  13     36.00
WA832       1001  14     33.00
WA832       1001  15     31.00
WA832       1001  16     28.00
WA832       1001  17     26.00
WA832       1001  18     33.00
WA832       1001  19     34.00
WA832       1001  20     36.00
WA832       1001  21     33.00
