$ Get data for 942:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:39 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA942           Burnt Mountain
WA942       0101  17     29.00
WA942       0101  18     37.00
WA942       0101  19     28.00
WA942       0101  20     29.00
WA942       0101  21     31.00
WA942       0101  22     30.00
WA942       0101  23     35.00
WA942       0101  24     30.00
WA942       0101  25     26.00
WA942       0101  26     29.00
WA942       0101  27     30.00
WA942       0101  28     35.00
WA942       0101  29     28.00
WA942       0101  30     28.00
WA942       0101  31     32.00
WA942       0201   1     33.00
WA942       0201   2     29.00
WA942       0201   3     27.00
WA942       0201   4     33.00
WA942       0201   5     26.00
WA942       0201   6     19.00
WA942       0201   7     15.00
WA942       0201   8     22.00
WA942       0201   9     26.00
WA942       0201  10     23.00
WA942       0201  11     25.00
WA942       0201  12     24.00
WA942       0201  13     25.00
WA942       0201  14     30.00
WA942       0201  15     27.00
WA942       0201  16     31.00
WA942       0201  17     33.00
WA942       0201  18     29.00
WA942       0201  19     31.00
WA942       0201  20     34.00
WA942       0201  21     33.00
WA942       0201  22     29.00
WA942       0201  23     30.00
WA942       0201  24     28.00
WA942       0201  25     26.00
WA942       0201  26     25.00
WA942       0201  27     32.00
WA942       0201  28     30.00
WA942       0301   1     28.00
WA942       0301   2     24.00
WA942       0301   3     22.00
WA942       0301   4     26.00
WA942       0301   5     38.00
WA942       0301   6     43.00
WA942       0301   7     40.00
WA942       0301   8     31.00
WA942       0301   9     29.00
WA942       0301  10     29.00
WA942       0301  11     29.00
WA942       0301  12     32.00
WA942       0301  13     30.00
WA942       0301  14     27.00
WA942       0301  15     28.00
WA942       0301  16     27.00
WA942       0301  17     29.00
WA942       0301  18     34.00
WA942       0301  19     27.00
WA942       0301  20     27.00
WA942       0301  21     27.00
WA942       0301  22     39.00
WA942       0301  23     42.00
WA942       0301  24     40.00
WA942       0301  25     31.00
WA942       0301  26     28.00
WA942       0301  27     26.00
WA942       0301  28     31.00
WA942       0301  29     28.00
WA942       0301  30     31.00
WA942       0301  31     29.00
WA942       0401   1     27.00
WA942       0401   2     26.00
WA942       0401   3     27.00
WA942       0401   4     27.00
WA942       0401   5     30.00
WA942       0401   6     26.00
WA942       0401   7     25.00
WA942       0401   8     27.00
WA942       0401   9     27.00
WA942       0401  10     28.00
WA942       0401  11     26.00
WA942       0401  12     27.00
WA942       0401  13     26.00
WA942       0401  14     23.00
WA942       0401  15     30.00
WA942       0401  16     35.00
WA942       0401  17     34.00
WA942       0401  18     32.00
WA942       0401  19     29.00
WA942       0401  20     31.00
WA942       0401  21     31.00
WA942       0401  22     30.00
WA942       0401  23     36.00
WA942       0401  24     39.00
WA942       0401  25     45.00
WA942       0401  26     43.00
WA942       0401  27     36.00
WA942       0401  28     30.00
WA942       0401  29     30.00
WA942       0401  30     31.00
WA942       0501   1     30.00
WA942       0501   2     30.00
WA942       0501   3     33.00
WA942       0501   4     32.00
WA942       0501   5     30.00
WA942       0501   6     30.00
WA942       0501   7     39.00
WA942       0501   8     35.00
WA942       0501   9     33.00
WA942       0501  10     33.00
WA942       0501  11     42.00
WA942       0501  12     39.00
WA942       0501  13     38.00
WA942       0501  14     35.00
WA942       0501  15     33.00
WA942       0501  16     33.00
WA942       0501  17     33.00
WA942       0501  18     33.00
WA942       0501  19     35.00
WA942       0501  20     33.00
WA942       0501  21     41.00
WA942       0501  22     60.00
WA942       0501  23     52.00
WA942       0501  24     47.00
WA942       0501  25     45.00
WA942       0501  26     48.00
WA942       0501  27     41.00
WA942       0501  28     32.00
WA942       0501  29     32.00
WA942       0501  30     36.00
WA942       0501  31     51.00
WA942       0601   1     34.00
WA942       0601   2     33.00
WA942       0601   3     33.00
WA942       0601   4     34.00
WA942       0601   5     37.00
WA942       0601   6     40.00
WA942       0601   7     42.00
WA942       0601   8     45.00
WA942       0601   9     36.00
WA942       0601  10     36.00
WA942       0601  11     33.00
WA942       0601  12     33.00
WA942       0601  13     38.00
WA942       0601  14     38.00
WA942       0601  15     38.00
WA942       0601  16     37.00
WA942       0601  17     38.00
WA942       0601  18     38.00
WA942       0601  19     45.00
WA942       0601  20     52.00
WA942       0601  21     47.00
WA942       0601  22     42.00
WA942       0601  23     39.00
WA942       0601  24     37.00
WA942       0601  25     36.00
WA942       0601  26     46.00
WA942       0601  27     46.00
WA942       0601  28     41.00
WA942       0601  29     40.00
WA942       0601  30     44.00
WA942       0701   1     44.00
WA942       0701   2     46.00
WA942       0701   3     53.00
WA942       0701   4     49.00
WA942       0701   5     40.00
WA942       0701   6     41.00
WA942       0701   7     45.00
WA942       0701   8     48.00
WA942       0701   9     52.00
WA942       0701  10   4915.00
WA942       0701  11   -999.00
WA942       0701  12   -999.00
WA942       0701  13   -999.00
WA942       0701  14   -999.00
WA942       0701  15   -999.00
WA942       0701  16   -999.00
WA942       0701  17   -999.00
WA942       0701  18   -999.00
WA942       0701  19   -999.00
WA942       0701  20   -999.00
WA942       0701  21   -999.00
WA942       0701  22   -999.00
WA942       0701  23   -999.00
WA942       0701  24   -999.00
WA942       0701  25   -999.00
WA942       0701  26   -999.00
WA942       0701  27   -999.00
WA942       0701  28   -999.00
WA942       0701  29   -999.00
WA942       0701  30   -999.00
WA942       0701  31   -999.00
WA942       0801   1   -999.00
WA942       0801   2   -999.00
WA942       0801   3     48.00
WA942       0801   4     43.00
WA942       0801   5     44.00
WA942       0801   6     51.00
WA942       0801   7     47.00
WA942       0801   8     47.00
WA942       0801   9     62.00
WA942       0801  10     56.00
WA942       0801  11     56.00
WA942       0801  12   -999.00
WA942       0801  13     59.00
WA942       0801  14     57.00
WA942       0801  15     54.00
WA942       0801  16     47.00
WA942       0801  17   -999.00
WA942       0801  18     42.00
WA942       0801  19     41.00
WA942       0801  20     42.00
WA942       0801  21     43.00
WA942       0801  22     46.00
WA942       0801  23     41.00
WA942       0801  24     42.00
WA942       0801  25     46.00
WA942       0801  26     52.00
WA942       0801  27     48.00
WA942       0801  28     49.00
WA942       0801  29     51.00
WA942       0801  30     49.00
WA942       0801  31     47.00
WA942       0901   1     42.00
WA942       0901   2     40.00
WA942       0901   3     43.00
WA942       0901   4     39.00
WA942       0901   5     34.00
WA942       0901   6     39.00
WA942       0901   7     40.00
WA942       0901   8     44.00
WA942       0901   9     50.00
WA942       0901  10     48.00
WA942       0901  11     51.00
WA942       0901  12     52.00
WA942       0901  13     53.00
WA942       0901  14     57.00
WA942       0901  15     53.00
WA942       0901  16     49.00
