$ Get data for 908:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:42:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA908           Alpine Meadows
WA908       0102   2     33.00
WA908       0102   3     32.00
WA908       0102   4     32.00
WA908       0102   5     34.00
WA908       0102   6     35.00
WA908       0102   7     39.00
WA908       0102   8     34.00
WA908       0102   9     32.00
WA908       0102  10     33.00
WA908       0102  11     35.00
WA908       0102  12     28.00
WA908       0102  13     26.00
WA908       0102  14     21.00
WA908       0102  15     20.00
WA908       0102  16     22.00
WA908       0102  17     20.00
WA908       0102  18     24.00
WA908       0102  19     26.00
WA908       0102  20     27.00
WA908       0102  21     23.00
WA908       0102  22     24.00
WA908       0102  23     24.00
WA908       0102  24     31.00
WA908       0102  25     24.00
WA908       0102  26     20.00
WA908       0102  27     18.00
WA908       0102  28     15.00
WA908       0102  29     16.00
WA908       0102  30     23.00
WA908       0102  31     28.00
WA908       0202   1     28.00
WA908       0202   2     25.00
WA908       0202   3     27.00
WA908       0202   4     24.00
WA908       0202   5     29.00
WA908       0202   6     31.00
WA908       0202   7     27.00
WA908       0202   8     27.00
WA908       0202   9     27.00
WA908       0202  10     28.00
WA908       0202  11     21.00
WA908       0202  12     22.00
WA908       0202  13     24.00
WA908       0202  14     25.00
WA908       0202  15     30.00
WA908       0202  16     30.00
WA908       0202  17     31.00
WA908       0202  18     31.00
WA908       0202  19     30.00
WA908       0202  20     29.00
WA908       0202  21     32.00
WA908       0202  22     37.00
WA908       0202  23     26.00
WA908       0202  24     18.00
WA908       0202  25     18.00
WA908       0202  26     23.00
WA908       0202  27     24.00
WA908       0202  28     21.00
WA908       0302   1     20.00
WA908       0302   2     23.00
WA908       0302   3     29.00
WA908       0302   4     31.00
WA908       0302   5     23.00
WA908       0302   6     18.00
WA908       0302   7     18.00
WA908       0302   8     17.00
WA908       0302   9     21.00
WA908       0302  10     29.00
WA908       0302  11     30.00
WA908       0302  12     28.00
WA908       0302  13     28.00
WA908       0302  14     26.00
WA908       0302  15     23.00
WA908       0302  16     21.00
WA908       0302  17     20.00
WA908       0302  18     20.00
WA908       0302  19     27.00
WA908       0302  20     28.00
WA908       0302  21     26.00
WA908       0302  22     32.00
WA908       0302  23     31.00
WA908       0302  24     33.00
WA908       0302  25     32.00
