$ Get data for 681:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:29:38 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA681           Park Creek Ridge
WA681       1200  12      2.00
WA681       1200  13      3.00
WA681       1200  14      6.00
WA681       1200  15      6.00
WA681       1200  16      3.00
WA681       1200  17     20.00
WA681       1200  18     17.00
WA681       1200  19     15.00
WA681       1200  20     15.00
WA681       1200  21     15.00
WA681       1200  22     17.00
WA681       1200  23     20.00
WA681       1200  24     22.00
WA681       1200  25     22.00
WA681       1200  26     22.00
WA681       1200  27     24.00
WA681       1200  28     22.00
WA681       1200  29     22.00
WA681       1200  30     23.00
WA681       1200  31     23.00
WA681       0101   1     22.00
WA681       0101   2     21.00
WA681       0101   3     21.00
WA681       0101   4     26.00
WA681       0101   5     24.00
WA681       0101   6     21.00
WA681       0101   7     19.00
WA681       0101   8     22.00
WA681       0101   9     19.00
WA681       0101  10     22.00
WA681       0101  11     23.00
WA681       0101  12     24.00
WA681       0101  13     22.00
WA681       0101  14     22.00
WA681       0101  15     17.00
WA681       0101  16     15.00
WA681       0101  17     11.00
WA681       0101  18     16.00
WA681       0101  19     16.00
WA681       0101  20     18.00
WA681       0101  21     20.00
WA681       0101  22     21.00
WA681       0101  23     20.00
WA681       0101  24     23.00
WA681       0101  25     23.00
WA681       0101  26     20.00
WA681       0101  27     18.00
WA681       0101  28     15.00
WA681       0101  29     14.00
WA681       0101  30     22.00
WA681       0101  31     28.00
WA681       0201   1     24.00
WA681       0201   2     23.00
WA681       0201   3     23.00
WA681       0201   4     22.00
WA681       0201   5     20.00
WA681       0201   6     10.00
WA681       0201   7     10.00
WA681       0201   8     11.00
WA681       0201   9     11.00
WA681       0201  10     14.00
WA681       0201  11     14.00
WA681       0201  12     17.00
WA681       0201  13     23.00
WA681       0201  14     26.00
WA681       0201  15     13.00
WA681       0201  16     13.00
WA681       0201  17     14.00
WA681       0201  18     21.00
WA681       0201  19     16.00
WA681       0201  20     22.00
WA681       0201  21     24.00
WA681       0201  22     25.00
WA681       0201  23     26.00
WA681       0201  24     22.00
WA681       0201  25     19.00
WA681       0201  26     18.00
WA681       0201  27     20.00
WA681       0201  28     21.00
WA681       0301   1     21.00
WA681       0301   2     19.00
WA681       0301   3     16.00
WA681       0301   4     19.00
WA681       0301   5     26.00
WA681       0301   6     32.00
WA681       0301   7     32.00
WA681       0301   8     29.00
WA681       0301   9     27.00
WA681       0301  10     25.00
WA681       0301  11     25.00
WA681       0301  12     29.00
WA681       0301  13     24.00
WA681       0301  14     23.00
WA681       0301  15     23.00
WA681       0301  16     24.00
WA681       0301  17     25.00
WA681       0301  18     29.00
WA681       0301  19     23.00
WA681       0301  20     25.00
WA681       0301  21     24.00
WA681       0301  22     31.00
WA681       0301  23     34.00
WA681       0301  24     35.00
WA681       0301  25     30.00
WA681       0301  26     24.00
WA681       0301  27     22.00
WA681       0301  28     26.00
WA681       0301  29     23.00
WA681       0301  30     27.00
WA681       0301  31     25.00
WA681       0401   1     19.00
WA681       0401   2     18.00
WA681       0401   3     23.00
WA681       0401   4     20.00
WA681       0401   5     26.00
WA681       0401   6     24.00
WA681       0401   7     21.00
WA681       0401   8     23.00
WA681       0401   9     25.00
WA681       0401  10     24.00
WA681       0401  11     24.00
WA681       0401  12     23.00
WA681       0401  13     21.00
WA681       0401  14     19.00
WA681       0401  15     27.00
WA681       0401  16     36.00
WA681       0401  17     31.00
WA681       0401  18     28.00
WA681       0401  19     26.00
WA681       0401  20     30.00
WA681       0401  21     31.00
WA681       0401  22     30.00
WA681       0401  23     31.00
WA681       0401  24     35.00
WA681       0401  25     42.00
WA681       0401  26     45.00
WA681       0401  27     37.00
WA681       0401  28     29.00
WA681       0401  29     27.00
WA681       0401  30     26.00
WA681       0501   1     25.00
WA681       0501   2     26.00
WA681       0501   3     29.00
WA681       0501   4     28.00
WA681       0501   5     25.00
WA681       0501   6     24.00
WA681       0501   7     36.00
WA681       0501   8     33.00
WA681       0501   9     30.00
WA681       0501  10     30.00
WA681       0501  11     39.00
WA681       0501  12     41.00
WA681       0501  13     37.00
WA681       0501  14     33.00
WA681       0501  15     32.00
WA681       0501  16     29.00
WA681       0501  17     30.00
WA681       0501  18     32.00
WA681       0501  19     34.00
WA681       0501  20     31.00
WA681       0501  21     38.00
WA681       0501  22     51.00
WA681       0501  23     55.00
WA681       0501  24     48.00
WA681       0501  25     46.00
WA681       0501  26     49.00
WA681       0501  27     42.00
WA681       0501  28     28.00
WA681       0501  29     28.00
WA681       0501  30     33.00
WA681       0501  31     45.00
WA681       0601   1     32.00
WA681       0601   2     31.00
WA681       0601   3     31.00
WA681       0601   4     34.00
WA681       0601   5     36.00
WA681       0601   6     38.00
WA681       0601   7     39.00
WA681       0601   8     44.00
WA681       0601   9     34.00
WA681       0601  10     31.00
WA681       0601  11     30.00
WA681       0601  12     30.00
WA681       0601  13     36.00
WA681       0601  14     38.00
WA681       0601  15     37.00
WA681       0601  16     37.00
WA681       0601  17     35.00
WA681       0601  18     36.00
WA681       0601  19     45.00
WA681       0601  20     51.00
WA681       0601  21     52.00
WA681       0601  22     44.00
WA681       0601  23     39.00
WA681       0601  24     37.00
WA681       0601  25     35.00
WA681       0601  26     44.00
WA681       0601  27     44.00
WA681       0601  28     42.00
WA681       0601  29     39.00
WA681       0601  30     47.00
WA681       0701   1     43.00
WA681       0701   2     47.00
WA681       0701   3     54.00
WA681       0701   4     53.00
WA681       0701   5     45.00
WA681       0701   6     44.00
WA681       0701   7     47.00
WA681       0701   8     53.00
WA681       0701   9     56.00
WA681       0701  10     57.00
WA681       0701  11     52.00
WA681       0701  12     54.00
WA681       0701  13     51.00
WA681       0701  14     46.00
WA681       0701  15     42.00
WA681       0701  16     40.00
WA681       0701  17     40.00
WA681       0701  18     43.00
WA681       0701  19     44.00
WA681       0701  20     47.00
WA681       0701  21     49.00
WA681       0701  22     49.00
WA681       0701  23     50.00
WA681       0701  24     49.00
WA681       0701  25     47.00
WA681       0701  26     49.00
WA681       0701  27     48.00
WA681       0701  28     41.00
WA681       0701  29     39.00
WA681       0701  30     44.00
WA681       0701  31     44.00
WA681       0801   1     47.00
WA681       0801   2     50.00
WA681       0801   3     50.00
WA681       0801   4     45.00
WA681       0801   5     44.00
WA681       0801   6     53.00
WA681       0801   7     48.00
WA681       0801   8     49.00
WA681       0801   9     55.00
WA681       0801  10     60.00
WA681       0801  11     58.00
WA681       0801  12     63.00
WA681       0801  13     62.00
