$ Get data for 630:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:26 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA630           Miners Ridge
WA630       0500  30     30.00
WA630       0500  31     30.00
WA630       0600   1     32.00
WA630       0600   2     34.00
WA630       0600   3     37.00
WA630       0600   4     45.00
WA630       0600   5     33.00
WA630       0600   6     31.00
WA630       0600   7     36.00
WA630       0600   8     32.00
WA630       0600   9     30.00
WA630       0600  10     27.00
WA630       0600  11     27.00
WA630       0600  12     33.00
WA630       0600  13     32.00
WA630       0600  14     35.00
WA630       0600  15     33.00
WA630       0600  16     33.00
WA630       0600  17     43.00
WA630       0600  18     33.00
WA630       0600  19     33.00
WA630       0600  20     33.00
WA630       0600  21     33.00
WA630       0600  22     32.00
WA630       0600  23     34.00
WA630       0600  24     35.00
WA630       0600  25     41.00
WA630       0600  26     47.00
WA630       0600  27     49.00
WA630       0600  28     48.00
WA630       0600  29     43.00
WA630       0600  30     37.00
WA630       0700   1     31.00
WA630       0700   2     29.00
WA630       0700   3     31.00
WA630       0700   4     31.00
WA630       0700   5     32.00
WA630       0700   6     37.00
WA630       0700   7     37.00
WA630       0700   8     40.00
WA630       0700   9     37.00
WA630       0700  10     37.00
WA630       0700  11     40.00
WA630       0700  12     36.00
WA630       0700  13     38.00
WA630       0700  14     33.00
WA630       0700  15     32.00
WA630       0700  16     46.00
WA630       0700  17     46.00
WA630       0700  18     42.00
WA630       0700  19     42.00
WA630       0700  20     48.00
WA630       0700  21     53.00
WA630       0700  22     40.00
WA630       0700  23     38.00
WA630       0700  24     41.00
WA630       0700  25     40.00
WA630       0700  26     38.00
WA630       0700  27     40.00
WA630       0700  28     46.00
WA630       0700  29     45.00
WA630       0700  30     57.00
WA630       0700  31     49.00
WA630       0800   1     43.00
WA630       0800   2     43.00
WA630       0800   3     45.00
WA630       0800   4     47.00
WA630       0800   5     49.00
WA630       0800   6     45.00
WA630       0800   7     44.00
WA630       0800   8     47.00
WA630       0800   9     46.00
WA630       0800  10     40.00
WA630       0800  11     34.00
WA630       0800  12     34.00
WA630       0800  13     33.00
WA630       0800  14     33.00
WA630       0800  15     38.00
WA630       0800  16     38.00
WA630       0800  17     40.00
WA630       0800  18     36.00
WA630       0800  19     32.00
WA630       0800  20     35.00
WA630       0800  21     35.00
WA630       0800  22     48.00
WA630       0800  23     51.00
WA630       0800  24     46.00
WA630       0800  25     42.00
WA630       0800  26     34.00
WA630       0800  27     32.00
WA630       0800  28     35.00
WA630       0800  29     39.00
WA630       0800  30     39.00
WA630       0800  31     31.00
WA630       0900   1     28.00
WA630       0900   2     33.00
WA630       0900   3     32.00
WA630       0900   4     33.00
WA630       0900   5     34.00
WA630       0900   6     35.00
WA630       0900   7     38.00
WA630       0900   8     30.00
WA630       0900   9     30.00
WA630       0900  10     33.00
WA630       0900  11     32.00
WA630       0900  12     42.00
WA630       0900  13     42.00
WA630       0900  14     48.00
WA630       0900  15     45.00
WA630       0900  16     42.00
WA630       0900  17     40.00
WA630       0900  18     44.00
WA630       0900  19     39.00
WA630       0900  20     38.00
WA630       0900  21     31.00
WA630       0900  22     28.00
WA630       0900  23     30.00
WA630       0900  24     40.00
WA630       0900  25     43.00
WA630       0900  26     47.00
WA630       0900  27     46.00
WA630       0900  28     38.00
WA630       0900  29     38.00
WA630       0900  30     37.00
WA630       1000   1     28.00
WA630       1000   2     26.00
WA630       1000   3     25.00
WA630       1000   4     27.00
WA630       1000   5     30.00
WA630       1000   6     35.00
WA630       1000   7     41.00
WA630       1000   8     43.00
WA630       1000   9     35.00
WA630       1000  10     35.00
WA630       1000  11     37.00
WA630       1000  12     32.00
WA630       1000  13     31.00
WA630       1000  14     26.00
WA630       1000  15     28.00
WA630       1000  16     33.00
WA630       1000  17     35.00
WA630       1000  18     29.00
WA630       1000  19     27.00
WA630       1000  20     25.00
WA630       1000  21     20.00
WA630       1000  22     21.00
WA630       1000  23     36.00
WA630       1000  24     36.00
WA630       1000  25     36.00
WA630       1000  26     33.00
WA630       1000  27     32.00
WA630       1000  28     28.00
WA630       1000  29     26.00
WA630       1000  30     25.00
WA630       1000  31     23.00
WA630       1100   1     19.00
WA630       1100   2     27.00
WA630       1100   3     30.00
WA630       1100   4     23.00
WA630       1100   5     23.00
WA630       1100   6     22.00
WA630       1100   7     23.00
WA630       1100   8     20.00
WA630       1100   9     16.00
WA630       1100  10     10.00
WA630       1100  11      7.00
WA630       1100  12     15.00
WA630       1100  13     14.00
WA630       1100  14     14.00
WA630       1100  15     15.00
WA630       1100  16     18.00
WA630       1100  17     19.00
WA630       1100  18     26.00
WA630       1100  19     25.00
WA630       1100  20     26.00
WA630       1100  21     26.00
WA630       1100  22     33.00
WA630       1100  23     25.00
WA630       1100  24     23.00
WA630       1100  25     23.00
WA630       1100  26     23.00
WA630       1100  27     15.00
WA630       1100  28     14.00
WA630       1100  29     17.00
WA630       1100  30     22.00
WA630       1200   1     23.00
WA630       1200   2     19.00
WA630       1200   3     20.00
WA630       1200   4     26.00
WA630       1200   5     34.00
WA630       1200   6     31.00
WA630       1200   7     27.00
WA630       1200   8     21.00
WA630       1200   9     13.00
WA630       1200  10      3.00
WA630       1200  11      2.00
WA630       1200  12      7.00
WA630       1200  13      8.00
WA630       1200  14     11.00
WA630       1200  15      6.00
WA630       1200  16     16.00
WA630       1200  17     14.00
WA630       1200  18     14.00
WA630       1200  19     13.00
WA630       1200  20     12.00
WA630       1200  21     11.00
WA630       1200  22     17.00
WA630       1200  23     22.00
WA630       1200  24     21.00
WA630       1200  25     25.00
WA630       1200  26     32.00
WA630       1200  27     21.00
WA630       1200  28     21.00
WA630       1200  29     26.00
WA630       1200  30     28.00
WA630       1200  31     24.00
WA630       0101   1     22.00
WA630       0101   2     31.00
WA630       0101   3     27.00
WA630       0101   4     28.00
WA630       0101   5     23.00
WA630       0101   6     17.00
WA630       0101   7     26.00
WA630       0101   8     23.00
WA630       0101   9     19.00
WA630       0101  10     18.00
WA630       0101  11     20.00
WA630       0101  12     22.00
WA630       0101  13     16.00
WA630       0101  14     18.00
WA630       0101  15     12.00
WA630       0101  16     20.00
WA630       0101  17     23.00
WA630       0101  18     30.00
WA630       0101  19     17.00
WA630       0101  20     17.00
WA630       0101  21     20.00
WA630       0101  22     20.00
WA630       0101  23     22.00
WA630       0101  24     21.00
WA630       0101  25     18.00
WA630       0101  26     16.00
WA630       0101  27     22.00
WA630       0101  28     25.00
WA630       0101  29     15.00
WA630       0101  30     17.00
WA630       0101  31     23.00
WA630       0201   1     25.00
WA630       0201   2     20.00
WA630       0201   3     17.00
WA630       0201   4     19.00
WA630       0201   5     13.00
WA630       0201   6      8.00
WA630       0201   7      6.00
WA630       0201   8      9.00
WA630       0201   9      8.00
WA630       0201  10      8.00
WA630       0201  11     13.00
