$ Get data for 702:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:50 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA702           Potato Hill
WA702       0801   7     40.00
WA702       0801   8     37.00
WA702       0801   9     46.00
WA702       0801  10     44.00
WA702       0801  11     41.00
WA702       0801  12     46.00
WA702       0801  13     50.00
WA702       0801  14     46.00
WA702       0801  15     47.00
WA702       0801  16     52.00
WA702       0801  17     41.00
WA702       0801  18     42.00
WA702       0801  19     36.00
WA702       0801  20     36.00
WA702       0801  21     35.00
WA702       0801  22     46.00
WA702       0801  23     40.00
WA702       0801  24     37.00
WA702       0801  25     35.00
WA702       0801  26     40.00
WA702       0801  27     44.00
WA702       0801  28     46.00
WA702       0801  29     44.00
WA702       0801  30     43.00
WA702       0801  31     47.00
WA702       0901   1     42.00
WA702       0901   2     33.00
WA702       0901   3     36.00
WA702       0901   4     41.00
WA702       0901   5     36.00
WA702       0901   6     35.00
WA702       0901   7     37.00
WA702       0901   8     35.00
WA702       0901   9     37.00
WA702       0901  10     38.00
WA702       0901  11     39.00
WA702       0901  12     43.00
WA702       0901  13     43.00
WA702       0901  14     43.00
WA702       0901  15     44.00
WA702       0901  16     41.00
WA702       0901  17     37.00
WA702       0901  18     35.00
WA702       0901  19     33.00
WA702       0901  20     33.00
WA702       0901  21     36.00
WA702       0901  22     41.00
WA702       0901  23     45.00
WA702       0901  24     41.00
WA702       0901  25     41.00
WA702       0901  26     33.00
WA702       0901  27     32.00
WA702       0901  28     31.00
WA702       0901  29     32.00
WA702       0901  30     41.00
WA702       1001   1     36.00
WA702       1001   2     32.00
WA702       1001   3     35.00
WA702       1001   4     43.00
WA702       1001   5     31.00
WA702       1001   6     30.00
WA702       1001   7     29.00
WA702       1001   8     34.00
WA702       1001   9     29.00
WA702       1001  10     29.00
WA702       1001  11     33.00
WA702       1001  12     33.00
WA702       1001  13     33.00
WA702       1001  14     37.00
WA702       1001  15     37.00
WA702       1001  16     33.00
WA702       1001  17     30.00
WA702       1001  18     31.00
WA702       1001  19     33.00
WA702       1001  20     29.00
WA702       1001  21     29.00
WA702       1001  22     32.00
WA702       1001  23     29.00
WA702       1001  24     29.00
WA702       1001  25     33.00
WA702       1001  26     34.00
WA702       1001  27     28.00
WA702       1001  28     23.00
WA702       1001  29     30.00
WA702       1001  30     36.00
WA702       1001  31     34.00
WA702       1101   1     35.00
WA702       1101   2     33.00
WA702       1101   3     31.00
WA702       1101   4     30.00
WA702       1101   5     28.00
WA702       1101   6     21.00
WA702       1101   7     20.00
WA702       1101   8     30.00
WA702       1101   9     26.00
WA702       1101  10     32.00
WA702       1101  11     34.00
WA702       1101  12     38.00
WA702       1101  13     36.00
WA702       1101  14     43.00
WA702       1101  15     39.00
WA702       1101  16     34.00
WA702       1101  17     32.00
WA702       1101  18     32.00
WA702       1101  19     34.00
WA702       1101  20     34.00
WA702       1101  21     32.00
WA702       1101  22     32.00
WA702       1101  23     28.00
WA702       1101  24     27.00
WA702       1101  25     26.00
WA702       1101  26     20.00
WA702       1101  27     15.00
WA702       1101  28     23.00
WA702       1101  29     25.00
WA702       1101  30     27.00
WA702       1201   1     30.00
WA702       1201   2     28.00
WA702       1201   3     24.00
WA702       1201   4     25.00
WA702       1201   5     24.00
WA702       1201   6     29.00
WA702       1201   7     21.00
WA702       1201   8     29.00
WA702       1201   9     24.00
WA702       1201  10     25.00
WA702       1201  11     27.00
WA702       1201  12     26.00
WA702       1201  13     31.00
WA702       1201  14     23.00
WA702       1201  15     24.00
WA702       1201  16     32.00
WA702       1201  17     14.00
WA702       1201  18     22.00
WA702       1201  19     23.00
WA702       1201  20     28.00
WA702       1201  21     18.00
WA702       1201  22     24.00
WA702       1201  23     26.00
WA702       1201  24     23.00
WA702       1201  25     20.00
WA702       1201  26     19.00
WA702       1201  27     24.00
WA702       1201  28     24.00
WA702       1201  29     25.00
WA702       1201  30     27.00
WA702       1201  31     29.00
WA702       0102   1     28.00
WA702       0102   2     32.00
WA702       0102   3     29.00
WA702       0102   4     28.00
WA702       0102   5     30.00
WA702       0102   6     34.00
WA702       0102   7     38.00
WA702       0102   8     34.00
WA702       0102   9     28.00
WA702       0102  10     29.00
WA702       0102  11     34.00
WA702       0102  12     26.00
WA702       0102  13     23.00
WA702       0102  14     13.00
WA702       0102  15     20.00
WA702       0102  16     12.00
WA702       0102  17      8.00
WA702       0102  18     24.00
WA702       0102  19     26.00
WA702       0102  20     27.00
WA702       0102  21     18.00
WA702       0102  22     22.00
