$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:49 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       1000  27     36.00
WA975       1000  28     35.00
WA975       1000  29     33.00
WA975       1000  30     29.00
WA975       1000  31     29.00
WA975       1100   1     29.00
WA975       1100   2     30.00
WA975       1100   3     32.00
WA975       1100   4     33.00
WA975       1100   5     32.00
WA975       1100   6     29.00
WA975       1100   7     30.00
WA975       1100   8     30.00
WA975       1100   9     28.00
WA975       1100  10     20.00
WA975       1100  11     14.00
WA975       1100  12     18.00
WA975       1100  13     21.00
WA975       1100  14     17.00
WA975       1100  15     15.00
WA975       1100  16     15.00
WA975       1100  17     13.00
WA975       1100  18     22.00
WA975       1100  19     28.00
WA975       1100  20     27.00
WA975       1100  21     27.00
WA975       1100  22     23.00
WA975       1100  23     27.00
WA975       1100  24     28.00
WA975       1100  25     28.00
WA975       1100  26     27.00
WA975       1100  27     26.00
WA975       1100  28     16.00
WA975       1100  29     26.00
WA975       1100  30     26.00
WA975       1200   1     30.00
WA975       1200   2     29.00
WA975       1200   3     19.00
WA975       1200   4     27.00
WA975       1200   5     24.00
WA975       1200   6     29.00
WA975       1200   7     25.00
WA975       1200   8     25.00
WA975       1200   9     22.00
WA975       1200  10      0.00
WA975       1200  11     -1.00
WA975       1200  12      6.00
WA975       1200  13      5.00
WA975       1200  14      5.00
WA975       1200  15     13.00
WA975       1200  16     15.00
WA975       1200  17     22.00
WA975       1200  18     17.00
WA975       1200  19     15.00
WA975       1200  20     14.00
WA975       1200  21     24.00
WA975       1200  22     25.00
WA975       1200  23     29.00
WA975       1200  24     24.00
WA975       1200  25     28.00
WA975       1200  26     33.00
WA975       1200  27     27.00
WA975       1200  28     25.00
WA975       1200  29     32.00
WA975       1200  30     32.00
WA975       1200  31     32.00
WA975       0101   1     27.00
WA975       0101   2     30.00
WA975       0101   3     34.00
WA975       0101   4     32.00
WA975       0101   5     31.00
WA975       0101   6     26.00
WA975       0101   7     30.00
WA975       0101   8   -999.00
WA975       0101   9     24.00
WA975       0101  10     29.00
WA975       0101  11     31.00
WA975       0101  12     26.00
WA975       0101  13     24.00
WA975       0101  14     25.00
WA975       0101  15     14.00
WA975       0101  16     13.00
WA975       0101  17     19.00
WA975       0101  18     29.00
WA975       0101  19     22.00
WA975       0101  20     21.00
WA975       0101  21     28.00
WA975       0101  22     22.00
WA975       0101  23     26.00
WA975       0101  24     32.00
WA975       0101  25     28.00
WA975       0101  26     20.00
WA975       0101  27     17.00
WA975       0101  28     23.00
WA975       0101  29     21.00
WA975       0101  30     24.00
WA975       0101  31     28.00
WA975       0201   1     26.00
WA975       0201   2     31.00
WA975       0201   3     27.00
WA975       0201   4     29.00
WA975       0201   5     24.00
WA975       0201   6      6.00
WA975       0201   7      1.00
WA975       0201   8     16.00
WA975       0201   9     20.00
WA975       0201  10     20.00
WA975       0201  11     15.00
WA975       0201  12      9.00
WA975       0201  13     20.00
WA975       0201  14     28.00
WA975       0201  15     17.00
WA975       0201  16     19.00
WA975       0201  17     21.00
WA975       0201  18     23.00
WA975       0201  19     16.00
WA975       0201  20   -999.00
WA975       0201  21     27.00
WA975       0201  22     29.00
WA975       0201  23     30.00
WA975       0201  24     26.00
WA975       0201  25     18.00
WA975       0201  26     14.00
WA975       0201  27     19.00
WA975       0201  28     24.00
WA975       0301   1     25.00
WA975       0301   2     20.00
WA975       0301   3     19.00
WA975       0301   4     26.00
WA975       0301   5     31.00
WA975       0301   6     29.00
WA975       0301   7     34.00
WA975       0301   8     34.00
WA975       0301   9     25.00
WA975       0301  10     25.00
WA975       0301  11     28.00
WA975       0301  12     32.00
WA975       0301  13     29.00
WA975       0301  14     25.00
WA975       0301  15     24.00
WA975       0301  16     28.00
WA975       0301  17     25.00
WA975       0301  18     33.00
WA975       0301  19     29.00
WA975       0301  20     26.00
WA975       0301  21     25.00
WA975       0301  22     22.00
WA975       0301  23     25.00
WA975       0301  24     36.00
WA975       0301  25     34.00
WA975       0301  26     27.00
WA975       0301  27     22.00
WA975       0301  28     30.00
WA975       0301  29     26.00
WA975       0301  30     30.00
WA975       0301  31     30.00
WA975       0401   1     26.00
WA975       0401   2     24.00
WA975       0401   3     28.00
WA975       0401   4     20.00
WA975       0401   5     31.00
WA975       0401   6     30.00
WA975       0401   7     28.00
WA975       0401   8     28.00
WA975       0401   9     30.00
WA975       0401  10     29.00
WA975       0401  11     23.00
WA975       0401  12     19.00
WA975       0401  13     25.00
WA975       0401  14     18.00
WA975       0401  15     31.00
WA975       0401  16     36.00
WA975       0401  17     33.00
WA975       0401  18     32.00
WA975       0401  19     29.00
WA975       0401  20     28.00
WA975       0401  21     28.00
WA975       0401  22     33.00
WA975       0401  23     33.00
WA975       0401  24     31.00
WA975       0401  25     33.00
WA975       0401  26     35.00
WA975       0401  27     33.00
WA975       0401  28     33.00
WA975       0401  29     31.00
WA975       0401  30     32.00
WA975       0501   1     31.00
WA975       0501   2     30.00
WA975       0501   3     29.00
WA975       0501   4     34.00
WA975       0501   5     29.00
WA975       0501   6     25.00
WA975       0501   7     30.00
WA975       0501   8     31.00
WA975       0501   9     29.00
WA975       0501  10     28.00
WA975       0501  11     33.00
WA975       0501  12     38.00
WA975       0501  13     37.00
WA975       0501  14     38.00
WA975       0501  15     36.00
WA975       0501  16     34.00
WA975       0501  17     34.00
WA975       0501  18     33.00
WA975       0501  19     33.00
WA975       0501  20     32.00
WA975       0501  21     31.00
WA975       0501  22     40.00
WA975       0501  23     42.00
WA975       0501  24     41.00
WA975       0501  25     38.00
WA975       0501  26     39.00
WA975       0501  27     42.00
WA975       0501  28     33.00
WA975       0501  29     30.00
WA975       0501  30     30.00
WA975       0501  31     36.00
WA975       0601   1     36.00
WA975       0601   2     34.00
WA975       0601   3     35.00
WA975       0601   4     39.00
WA975       0601   5     40.00
WA975       0601   6     36.00
WA975       0601   7     34.00
WA975       0601   8     39.00
WA975       0601   9     39.00
WA975       0601  10     36.00
WA975       0601  11     34.00
WA975       0601  12     34.00
WA975       0601  13     38.00
WA975       0601  14     38.00
WA975       0601  15     36.00
WA975       0601  16     34.00
WA975       0601  17     36.00
WA975       0601  18     38.00
WA975       0601  19     38.00
WA975       0601  20     43.00
WA975       0601  21     45.00
WA975       0601  22     44.00
WA975       0601  23     38.00
WA975       0601  24     38.00
WA975       0601  25     40.00
WA975       0601  26     43.00
WA975       0601  27     47.00
WA975       0601  28     40.00
WA975       0601  29     39.00
WA975       0601  30     38.00
WA975       0701   1     41.00
WA975       0701   2     40.00
WA975       0701   3     43.00
WA975       0701   4     48.00
WA975       0701   5     43.00
WA975       0701   6     38.00
WA975       0701   7     40.00
WA975       0701   8     44.00
WA975       0701   9     46.00
WA975       0701  10     47.00
WA975       0701  11     46.00
WA975       0701  12     47.00
WA975       0701  13     47.00
WA975       0701  14     40.00
WA975       0701  15     42.00
WA975       0701  16     43.00
WA975       0701  17     42.00
WA975       0701  18     43.00
WA975       0701  19     44.00
WA975       0701  20     40.00
WA975       0701  21     49.00
WA975       0701  22     49.00
WA975       0701  23     47.00
WA975       0701  24     44.00
WA975       0701  25     40.00
WA975       0701  26     43.00
WA975       0701  27     43.00
WA975       0701  28     43.00
WA975       0701  29     41.00
WA975       0701  30     37.00
WA975       0701  31     42.00
WA975       0801   1     39.00
WA975       0801   2     45.00
WA975       0801   3     46.00
WA975       0801   4     44.00
WA975       0801   5     41.00
WA975       0801   6     50.00
WA975       0801   7     48.00
WA975       0801   8     42.00
WA975       0801   9     44.00
WA975       0801  10     48.00
WA975       0801  11     47.00
WA975       0801  12     49.00
WA975       0801  13     54.00
WA975       0801  14     49.00
WA975       0801  15     50.00
WA975       0801  16     48.00
WA975       0801  17     46.00
WA975       0801  18     42.00
WA975       0801  19     40.00
WA975       0801  20     40.00
WA975       0801  21     40.00
WA975       0801  22     48.00
WA975       0801  23     45.00
WA975       0801  24     40.00
WA975       0801  25     38.00
WA975       0801  26     43.00
WA975       0801  27     44.00
WA975       0801  28     49.00
WA975       0801  29     46.00
WA975       0801  30     46.00
WA975       0801  31     47.00
WA975       0901   1     41.00
WA975       0901   2     40.00
WA975       0901   3     40.00
WA975       0901   4     41.00
WA975       0901   5     41.00
WA975       0901   6     38.00
WA975       0901   7     38.00
WA975       0901   8     35.00
WA975       0901   9     37.00
WA975       0901  10     40.00
WA975       0901  11     40.00
WA975       0901  12     42.00
WA975       0901  13     43.00
WA975       0901  14     44.00
WA975       0901  15     45.00
WA975       0901  16     44.00
WA975       0901  17     38.00
WA975       0901  18     37.00
WA975       0901  19     38.00
WA975       0901  20     37.00
WA975       0901  21     43.00
WA975       0901  22     40.00
WA975       0901  23     48.00
WA975       0901  24     45.00
WA975       0901  25     44.00
WA975       0901  26     37.00
WA975       0901  27     32.00
WA975       0901  28     32.00
WA975       0901  29     32.00
WA975       0901  30     38.00
WA975       1001   1     39.00
WA975       1001   2     35.00
WA975       1001   3     33.00
WA975       1001   4     30.00
WA975       1001   5     36.00
WA975       1001   6     31.00
WA975       1001   7     30.00
WA975       1001   8     37.00
WA975       1001   9     30.00
WA975       1001  10     29.00
WA975       1001  11     34.00
WA975       1001  12     34.00
WA975       1001  13     34.00
WA975       1001  14     32.00
WA975       1001  15     36.00
WA975       1001  16     34.00
WA975       1001  17     31.00
WA975       1001  18     31.00
WA975       1001  19     35.00
WA975       1001  20     33.00
WA975       1001  21     31.00
WA975       1001  22     34.00
WA975       1001  23     32.00
WA975       1001  24     31.00
WA975       1001  25     34.00
WA975       1001  26     37.00
WA975       1001  27     30.00
WA975       1001  28     24.00
WA975       1001  29     29.00
WA975       1001  30     32.00
WA975       1001  31     34.00
WA975       1101   1     34.00
WA975       1101   2     31.00
WA975       1101   3     30.00
WA975       1101   4     32.00
WA975       1101   5     29.00
WA975       1101   6     23.00
WA975       1101   7     22.00
WA975       1101   8     29.00
WA975       1101   9     29.00
WA975       1101  10     40.00
WA975       1101  11     40.00
WA975       1101  12     38.00
WA975       1101  13     36.00
WA975       1101  14     36.00
WA975       1101  15     35.00
WA975       1101  16     34.00
WA975       1101  17     27.00
WA975       1101  18     25.00
WA975       1101  19     35.00
WA975       1101  20     35.00
WA975       1101  21     34.00
WA975       1101  22     34.00
WA975       1101  23     26.00
WA975       1101  24     24.00
WA975       1101  25     28.00
