$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       0901  12     57.00
WA734       0901  13     59.00
WA734       0901  14     61.00
WA734       0901  15     58.00
WA734       0901  16     56.00
WA734       0901  17     47.00
WA734       0901  18     44.00
WA734       0901  19     40.00
WA734       0901  20     46.00
WA734       0901  21     48.00
WA734       0901  22     49.00
WA734       0901  23     56.00
WA734       0901  24     59.00
WA734       0901  25     45.00
WA734       0901  26     35.00
WA734       0901  27     33.00
WA734       0901  28     37.00
WA734       0901  29     42.00
WA734       0901  30     47.00
WA734       1001   1     51.00
WA734       1001   2     48.00
WA734       1001   3     46.00
WA734       1001   4     39.00
WA734       1001   5     36.00
WA734       1001   6     35.00
WA734       1001   7     36.00
WA734       1001   8     32.00
WA734       1001   9     32.00
WA734       1001  10     32.00
WA734       1001  11     31.00
WA734       1001  12     31.00
WA734       1001  13     34.00
WA734       1001  14     39.00
WA734       1001  15     35.00
WA734       1001  16     29.00
WA734       1001  17     29.00
WA734       1001  18     30.00
WA734       1001  19     35.00
WA734       1001  20     32.00
WA734       1001  21     34.00
WA734       1001  22     31.00
WA734       1001  23     25.00
WA734       1001  24     25.00
WA734       1001  25     31.00
WA734       1001  26     35.00
WA734       1001  27     25.00
WA734       1001  28     24.00
WA734       1001  29     29.00
WA734       1001  30     32.00
WA734       1001  31     31.00
WA734       1101   1     33.00
WA734       1101   2     37.00
WA734       1101   3     36.00
WA734       1101   4     39.00
WA734       1101   5     28.00
WA734       1101   6     28.00
WA734       1101   7     27.00
WA734       1101   8     29.00
WA734       1101   9     36.00
WA734       1101  10     35.00
WA734       1101  11     33.00
WA734       1101  12     35.00
WA734       1101  13     34.00
WA734       1101  14   -999.00
WA734       1101  15     36.00
WA734       1101  16     33.00
WA734       1101  17     29.00
WA734       1101  18     29.00
WA734       1101  19     30.00
WA734       1101  20     31.00
WA734       1101  21     29.00
WA734       1101  22     29.00
WA734       1101  23     24.00
WA734       1101  24     24.00
WA734       1101  25     25.00
WA734       1101  26     24.00
WA734       1101  27     22.00
WA734       1101  28     20.00
WA734       1101  29     22.00
WA734       1101  30     22.00
WA734       1201   1     27.00
WA734       1201   2     24.00
WA734       1201   3     21.00
WA734       1201   4     21.00
WA734       1201   5     21.00
WA734       1201   6     22.00
WA734       1201   7     24.00
WA734       1201   8     28.00
WA734       1201   9     19.00
WA734       1201  10     20.00
WA734       1201  11     24.00
WA734       1201  12     22.00
WA734       1201  13     29.00
