$ Get data for 911:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:33:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA911           Rex River
WA911       0402  10     33.00
WA911       0402  11     34.00
WA911       0402  12     37.00
WA911       0402  13     41.00
WA911       0402  14     25.00
WA911       0402  15     26.00
WA911       0402  16     25.00
WA911       0402  17     27.00
WA911       0402  18     30.00
WA911       0402  19     29.00
WA911       0402  20     32.00
WA911       0402  21     32.00
WA911       0402  22     25.00
WA911       0402  23     24.00
WA911       0402  24     26.00
WA911       0402  25     31.00
WA911       0402  26     28.00
WA911       0402  27     29.00
WA911       0402  28     33.00
WA911       0402  29     33.00
WA911       0402  30     37.00
WA911       0502   1     36.00
WA911       0502   2     27.00
WA911       0502   3     27.00
WA911       0502   4     27.00
WA911       0502   5     25.00
WA911       0502   6     24.00
WA911       0502   7     24.00
WA911       0502   8     24.00
WA911       0502   9     27.00
WA911       0502  10     30.00
WA911       0502  11     31.00
WA911       0502  12     49.00
WA911       0502  13     32.00
WA911       0502  14     31.00
WA911       0502  15     27.00
WA911       0502  16     31.00
WA911       0502  17     34.00
WA911       0502  18     41.00
WA911       0502  19     39.00
WA911       0502  20     36.00
WA911       0502  21     35.00
WA911       0502  22     33.00
WA911       0502  23     34.00
WA911       0502  24     33.00
WA911       0502  25     40.00
WA911       0502  26     42.00
WA911       0502  27     42.00
WA911       0502  28     43.00
WA911       0502  29     41.00
WA911       0502  30     36.00
WA911       0502  31     37.00
WA911       0602   1     38.00
WA911       0602   2     36.00
WA911       0602   3     38.00
WA911       0602   4     42.00
WA911       0602   5     37.00
WA911       0602   6     32.00
WA911       0602   7     30.00
WA911       0602   8     31.00
WA911       0602   9     37.00
WA911       0602  10     40.00
WA911       0602  11     42.00
WA911       0602  12     48.00
WA911       0602  13     60.00
WA911       0602  14     44.00
WA911       0602  15     40.00
WA911       0602  16     42.00
WA911       0602  17     41.00
WA911       0602  18     37.00
WA911       0602  19     36.00
WA911       0602  20     41.00
WA911       0602  21     51.00
WA911       0602  22     46.00
WA911       0602  23     46.00
WA911       0602  24     44.00
WA911       0602  25     48.00
WA911       0602  26     53.00
WA911       0602  27     44.00
WA911       0602  28     43.00
WA911       0602  29     41.00
WA911       0602  30     40.00
WA911       0702   1     37.00
WA911       0702   2     37.00
WA911       0702   3     39.00
WA911       0702   4     37.00
WA911       0702   5     37.00
WA911       0702   6     50.00
WA911       0702   7     49.00
WA911       0702   8     41.00
WA911       0702   9     43.00
WA911       0702  10     61.00
WA911       0702  11     54.00
WA911       0702  12     53.00
WA911       0702  13     52.00
WA911       0702  14     43.00
WA911       0702  15     43.00
WA911       0702  16     47.00
WA911       0702  17     52.00
WA911       0702  18     51.00
WA911       0702  19     48.00
WA911       0702  20     43.00
WA911       0702  21     48.00
WA911       0702  22     61.00
WA911       0702  23     58.00
WA911       0702  24     56.00
WA911       0702  25     52.00
WA911       0702  26     48.00
WA911       0702  27     44.00
WA911       0702  28     46.00
WA911       0702  29     47.00
WA911       0702  30     41.00
WA911       0702  31     43.00
WA911       0802   1     40.00
WA911       0802   2   -999.00
WA911       0802   3   -999.00
WA911       0802   4   -999.00
WA911       0802   5   -999.00
WA911       0802   6   -999.00
WA911       0802   7   -999.00
WA911       0802   8   -999.00
WA911       0802   9     47.00
WA911       0802  10     51.00
WA911       0802  11     48.00
WA911       0802  12     48.00
WA911       0802  13     58.00
WA911       0802  14     53.00
WA911       0802  15     51.00
WA911       0802  16     46.00
WA911       0802  17     45.00
WA911       0802  18     43.00
WA911       0802  19     46.00
WA911       0802  20     45.00
WA911       0802  21     44.00
WA911       0802  22     46.00
WA911       0802  23     51.00
WA911       0802  24     52.00
WA911       0802  25     50.00
WA911       0802  26     46.00
WA911       0802  27     47.00
WA911       0802  28     57.00
WA911       0802  29     45.00
WA911       0802  30     43.00
WA911       0802  31     45.00
WA911       0902   1     47.00
WA911       0902   2   -999.00
WA911       0902   3   -999.00
WA911       0902   4   -999.00
WA911       0902   5   -999.00
WA911       0902   6     38.00
WA911       0902   7     39.00
WA911       0902   8     36.00
WA911       0902   9     45.00
WA911       0902  10     49.00
WA911       0902  11   -999.00
WA911       0902  12   -999.00
WA911       0902  13   -999.00
WA911       0902  14   -999.00
WA911       0902  15   -999.00
WA911       0902  16   -999.00
WA911       0902  17   -999.00
WA911       0902  18   -999.00
WA911       0902  19   -999.00
WA911       0902  20   -999.00
WA911       0902  21   -999.00
WA911       0902  22   -999.00
WA911       0902  23   -999.00
