$ Get data for 841:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:37 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA841           Upper Wheeler
WA841       0601  11     33.00
WA841       0601  12     31.00
WA841       0601  13     38.00
WA841       0601  14     36.00
WA841       0601  15     35.00
WA841       0601  16     37.00
WA841       0601  17     35.00
WA841       0601  18     38.00
WA841       0601  19     42.00
WA841       0601  20     48.00
WA841       0601  21     52.00
WA841       0601  22     49.00
WA841       0601  23     41.00
WA841       0601  24     33.00
WA841       0601  25     33.00
WA841       0601  26     42.00
WA841       0601  27     45.00
WA841       0601  28     39.00
WA841       0601  29     37.00
WA841       0601  30     47.00
WA841       0701   1     45.00
WA841       0701   2     48.00
WA841       0701   3     54.00
WA841       0701   4     57.00
WA841       0701   5     47.00
WA841       0701   6     45.00
WA841       0701   7     49.00
WA841       0701   8     54.00
WA841       0701   9     55.00
WA841       0701  10     61.00
WA841       0701  11     55.00
WA841       0701  12     56.00
WA841       0701  13     51.00
WA841       0701  14     48.00
WA841       0701  15     41.00
WA841       0701  16     37.00
WA841       0701  17     39.00
WA841       0701  18     38.00
WA841       0701  19     40.00
WA841       0701  20     46.00
WA841       0701  21     47.00
WA841       0701  22     46.00
WA841       0701  23     49.00
WA841       0701  24     49.00
WA841       0701  25     48.00
WA841       0701  26     49.00
WA841       0701  27     48.00
WA841       0701  28     44.00
WA841       0701  29     40.00
WA841       0701  30     42.00
WA841       0701  31     43.00
WA841       0801   1     48.00
WA841       0801   2     50.00
WA841       0801   3     49.00
WA841       0801   4     46.00
WA841       0801   5     46.00
WA841       0801   6     52.00
WA841       0801   7     49.00
WA841       0801   8     51.00
WA841       0801   9     53.00
WA841       0801  10     58.00
WA841       0801  11     58.00
WA841       0801  12     62.00
WA841       0801  13     65.00
WA841       0801  14     62.00
WA841       0801  15     63.00
WA841       0801  16     64.00
WA841       0801  17     52.00
WA841       0801  18     43.00
WA841       0801  19     41.00
WA841       0801  20     46.00
WA841       0801  21     46.00
WA841       0801  22     47.00
WA841       0801  23     42.00
WA841       0801  24     39.00
WA841       0801  25     44.00
WA841       0801  26     49.00
WA841       0801  27     54.00
WA841       0801  28     53.00
WA841       0801  29     54.00
WA841       0801  30     56.00
WA841       0801  31     51.00
WA841       0901   1     43.00
WA841       0901   2     40.00
