$ Get data for 909:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:29 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA909           Wells Creek
WA909       0401  24     36.00
WA909       0401  25     39.00
WA909       0401  26     43.00
WA909       0401  27     35.00
WA909       0401  28     29.00
WA909       0401  29     28.00
WA909       0401  30     28.00
WA909       0501   1     27.00
WA909       0501   2     27.00
WA909       0501   3     29.00
WA909       0501   4     29.00
WA909       0501   5     26.00
WA909       0501   6     24.00
WA909       0501   7     35.00
WA909       0501   8     31.00
WA909       0501   9     28.00
WA909       0501  10     30.00
WA909       0501  11     38.00
WA909       0501  12     37.00
WA909       0501  13     37.00
WA909       0501  14     31.00
WA909       0501  15     31.00
WA909       0501  16     31.00
WA909       0501  17     31.00
WA909       0501  18     31.00
WA909       0501  19     33.00
WA909       0501  20     29.00
WA909       0501  21     35.00
WA909       0501  22     52.00
WA909       0501  23     52.00
WA909       0501  24     45.00
WA909       0501  25     45.00
WA909       0501  26     45.00
WA909       0501  27     41.00
WA909       0501  28     29.00
WA909       0501  29     29.00
WA909       0501  30     32.00
WA909       0501  31     42.00
WA909       0601   1     31.00
WA909       0601   2     30.00
WA909       0601   3     30.00
WA909       0601   4     34.00
WA909       0601   5     37.00
WA909       0601   6     37.00
WA909       0601   7     37.00
WA909       0601   8     45.00
WA909       0601   9     34.00
WA909       0601  10     32.00
WA909       0601  11     31.00
WA909       0601  12     31.00
WA909       0601  13     38.00
WA909       0601  14     38.00
WA909       0601  15     36.00
WA909       0601  16     34.00
WA909       0601  17     34.00
WA909       0601  18     36.00
WA909       0601  19     43.00
WA909       0601  20     50.00
WA909       0601  21     49.00
WA909       0601  22     41.00
WA909       0601  23     39.00
WA909       0601  24     38.00
WA909       0601  25     36.00
WA909       0601  26     44.00
WA909       0601  27     45.00
WA909       0601  28     39.00
WA909       0601  29     38.00
WA909       0601  30     42.00
WA909       0701   1     41.00
WA909       0701   2     43.00
WA909       0701   3     51.00
WA909       0701   4     49.00
WA909       0701   5     40.00
WA909       0701   6     41.00
WA909       0701   7     43.00
WA909       0701   8     44.00
WA909       0701   9     51.00
WA909       0701  10     52.00
WA909       0701  11     49.00
WA909       0701  12     49.00
WA909       0701  13     46.00
WA909       0701  14     43.00
WA909       0701  15     38.00
WA909       0701  16     38.00
WA909       0701  17     39.00
WA909       0701  18     42.00
WA909       0701  19     44.00
WA909       0701  20     43.00
WA909       0701  21     47.00
WA909       0701  22     48.00
WA909       0701  23     47.00
WA909       0701  24     42.00
WA909       0701  25     41.00
WA909       0701  26     46.00
WA909       0701  27     47.00
WA909       0701  28     41.00
WA909       0701  29     40.00
WA909       0701  30     40.00
WA909       0701  31     43.00
WA909       0801   1     41.00
WA909       0801   2     47.00
WA909       0801   3     47.00
WA909       0801   4     44.00
WA909       0801   5     43.00
WA909       0801   6     48.00
WA909       0801   7     45.00
WA909       0801   8     48.00
WA909       0801   9     56.00
WA909       0801  10     57.00
WA909       0801  11     56.00
WA909       0801  12     56.00
WA909       0801  13     58.00
WA909       0801  14     56.00
WA909       0801  15     57.00
WA909       0801  16     52.00
WA909       0801  17     45.00
WA909       0801  18     42.00
WA909       0801  19     40.00
WA909       0801  20     41.00
WA909       0801  21     44.00
WA909       0801  22     44.00
WA909       0801  23     41.00
WA909       0801  24     40.00
WA909       0801  25     42.00
WA909       0801  26     51.00
WA909       0801  27     50.00
WA909       0801  28     50.00
WA909       0801  29     49.00
WA909       0801  30     50.00
WA909       0801  31     47.00
WA909       0901   1     40.00
WA909       0901   2     39.00
WA909       0901   3     42.00
WA909       0901   4     40.00
WA909       0901   5     37.00
WA909       0901   6     39.00
WA909       0901   7     38.00
WA909       0901   8     44.00
WA909       0901   9     44.00
WA909       0901  10     46.00
WA909       0901  11     46.00
WA909       0901  12     50.00
WA909       0901  13     54.00
WA909       0901  14     54.00
WA909       0901  15     53.00
WA909       0901  16     49.00
WA909       0901  17     42.00
WA909       0901  18     42.00
WA909       0901  19     39.00
WA909       0901  20     39.00
WA909       0901  21     42.00
WA909       0901  22     46.00
WA909       0901  23     55.00
WA909       0901  24     54.00
WA909       0901  25     46.00
WA909       0901  26     33.00
WA909       0901  27     32.00
WA909       0901  28     35.00
WA909       0901  29     42.00
WA909       0901  30     45.00
WA909       1001   1     45.00
WA909       1001   2     41.00
WA909       1001   3     41.00
WA909       1001   4     43.00
WA909       1001   5     43.00
WA909       1001   6     34.00
WA909       1001   7     34.00
WA909       1001   8     32.00
WA909       1001   9     31.00
WA909       1001  10     31.00
WA909       1001  11     31.00
WA909       1001  12     31.00
WA909       1001  13     31.00
WA909       1001  14     34.00
WA909       1001  15     36.00
WA909       1001  16     31.00
WA909       1001  17     29.00
WA909       1001  18     30.00
WA909       1001  19     30.00
WA909       1001  20     30.00
WA909       1001  21     31.00
WA909       1001  22     31.00
WA909       1001  23     29.00
WA909       1001  24     28.00
WA909       1001  25     31.00
WA909       1001  26     31.00
WA909       1001  27     24.00
WA909       1001  28     22.00
WA909       1001  29     27.00
WA909       1001  30     35.00
WA909       1001  31     31.00
WA909       1101   1     32.00
WA909       1101   2     33.00
WA909       1101   3     36.00
WA909       1101   4     31.00
WA909       1101   5     24.00
WA909       1101   6     26.00
WA909       1101   7     27.00
WA909       1101   8     35.00
WA909       1101   9     39.00
WA909       1101  10     44.00
WA909       1101  11     40.00
WA909       1101  12     37.00
WA909       1101  13     35.00
WA909       1101  14     38.00
WA909       1101  15     34.00
WA909       1101  16     29.00
WA909       1101  17     26.00
WA909       1101  18     30.00
WA909       1101  19     36.00
WA909       1101  20     32.00
WA909       1101  21     32.00
WA909       1101  22     30.00
WA909       1101  23     25.00
WA909       1101  24     24.00
WA909       1101  25     24.00
WA909       1101  26     24.00
WA909       1101  27     24.00
WA909       1101  28     24.00
WA909       1101  29     21.00
WA909       1101  30     21.00
WA909       1201   1     29.00
WA909       1201   2     20.00
WA909       1201   3     19.00
WA909       1201   4     20.00
WA909       1201   5     20.00
WA909       1201   6     24.00
WA909       1201   7     24.00
WA909       1201   8     26.00
WA909       1201   9     20.00
WA909       1201  10     22.00
WA909       1201  11     21.00
WA909       1201  12     21.00
WA909       1201  13     30.00
WA909       1201  14     16.00
WA909       1201  15     20.00
WA909       1201  16     26.00
WA909       1201  17     17.00
WA909       1201  18     22.00
WA909       1201  19     19.00
WA909       1201  20     24.00
WA909       1201  21     25.00
WA909       1201  22     25.00
WA909       1201  23     25.00
WA909       1201  24     28.00
WA909       1201  25     27.00
WA909       1201  26     27.00
WA909       1201  27     35.00
WA909       1201  28     30.00
WA909       1201  29     30.00
WA909       1201  30     30.00
WA909       1201  31     30.00
WA909       0102   1     33.00
WA909       0102   2     32.00
WA909       0102   3     28.00
WA909       0102   4     28.00
WA909       0102   5     33.00
WA909       0102   6     33.00
WA909       0102   7     36.00
WA909       0102   8     31.00
WA909       0102   9     30.00
WA909       0102  10     29.00
WA909       0102  11     30.00
WA909       0102  12     26.00
WA909       0102  13     22.00
WA909       0102  14     20.00
WA909       0102  15     19.00
WA909       0102  16     20.00
WA909       0102  17     18.00
WA909       0102  18     19.00
WA909       0102  19     23.00
WA909       0102  20     23.00
WA909       0102  21     16.00
WA909       0102  22     17.00
WA909       0102  23     19.00
WA909       0102  24     28.00
WA909       0102  25     22.00
WA909       0102  26     15.00
WA909       0102  27     15.00
WA909       0102  28     13.00
WA909       0102  29     13.00
WA909       0102  30     18.00
WA909       0102  31     23.00
WA909       0202   1     24.00
WA909       0202   2     24.00
WA909       0202   3     23.00
WA909       0202   4     22.00
WA909       0202   5     26.00
WA909       0202   6     27.00
WA909       0202   7     23.00
WA909       0202   8     23.00
WA909       0202   9     23.00
WA909       0202  10     23.00
WA909       0202  11     16.00
WA909       0202  12     20.00
WA909       0202  13     21.00
WA909       0202  14     20.00
WA909       0202  15     32.00
WA909       0202  16     28.00
WA909       0202  17     29.00
WA909       0202  18     28.00
WA909       0202  19     26.00
WA909       0202  20     22.00
WA909       0202  21     28.00
WA909       0202  22     31.00
WA909       0202  23     21.00
WA909       0202  24     10.00
WA909       0202  25     13.00
WA909       0202  26     21.00
WA909       0202  27     19.00
WA909       0202  28     17.00
WA909       0302   1     18.00
WA909       0302   2     22.00
WA909       0302   3     28.00
WA909       0302   4     29.00
WA909       0302   5     14.00
WA909       0302   6     10.00
WA909       0302   7     10.00
WA909       0302   8      9.00
WA909       0302   9     16.00
WA909       0302  10     25.00
WA909       0302  11     27.00
WA909       0302  12     25.00
WA909       0302  13     25.00
WA909       0302  14     21.00
WA909       0302  15     19.00
WA909       0302  16     13.00
WA909       0302  17      9.00
WA909       0302  18     11.00
WA909       0302  19     23.00
WA909       0302  20     16.00
WA909       0302  21     26.00
WA909       0302  22     35.00
WA909       0302  23     29.00
WA909       0302  24     29.00
WA909       0302  25     30.00
WA909       0302  26     26.00
WA909       0302  27     24.00
WA909       0302  28     28.00
WA909       0302  29     26.00
WA909       0302  30     28.00
WA909       0302  31     25.00
WA909       0402   1     23.00
WA909       0402   2     21.00
WA909       0402   3     26.00
WA909       0402   4     31.00
WA909       0402   5     33.00
WA909       0402   6     30.00
WA909       0402   7     25.00
WA909       0402   8     22.00
WA909       0402   9     31.00
WA909       0402  10     31.00
WA909       0402  11     32.00
WA909       0402  12     34.00
WA909       0402  13     35.00
WA909       0402  14     23.00
WA909       0402  15     26.00
WA909       0402  16     24.00
WA909       0402  17     28.00
WA909       0402  18     28.00
WA909       0402  19     30.00
WA909       0402  20     29.00
WA909       0402  21     31.00
WA909       0402  22     24.00
WA909       0402  23     20.00
WA909       0402  24     23.00
WA909       0402  25     29.00
WA909       0402  26     28.00
WA909       0402  27     30.00
WA909       0402  28     29.00
WA909       0402  29     32.00
WA909       0402  30     39.00
WA909       0502   1     36.00
WA909       0502   2     27.00
WA909       0502   3     25.00
WA909       0502   4     27.00
WA909       0502   5     21.00
WA909       0502   6     21.00
WA909       0502   7     24.00
WA909       0502   8     24.00
WA909       0502   9     26.00
WA909       0502  10     26.00
WA909       0502  11     32.00
WA909       0502  12     40.00
WA909       0502  13     31.00
WA909       0502  14     28.00
WA909       0502  15     27.00
WA909       0502  16     30.00
WA909       0502  17     32.00
WA909       0502  18     35.00
WA909       0502  19     36.00
WA909       0502  20     36.00
WA909       0502  21     35.00
WA909       0502  22     33.00
WA909       0502  23     33.00
WA909       0502  24     31.00
WA909       0502  25     39.00
WA909       0502  26     38.00
WA909       0502  27     40.00
WA909       0502  28     41.00
WA909       0502  29     37.00
WA909       0502  30     36.00
WA909       0502  31     35.00
WA909       0602   1     37.00
WA909       0602   2     40.00
WA909       0602   3     39.00
WA909       0602   4     41.00
WA909       0602   5     35.00
WA909       0602   6     31.00
WA909       0602   7     28.00
WA909       0602   8     29.00
WA909       0602   9     40.00
WA909       0602  10     43.00
WA909       0602  11     42.00
WA909       0602  12     48.00
WA909       0602  13     56.00
WA909       0602  14     49.00
WA909       0602  15     46.00
WA909       0602  16     41.00
WA909       0602  17     40.00
WA909       0602  18     33.00
WA909       0602  19     38.00
WA909       0602  20     39.00
WA909       0602  21     50.00
WA909       0602  22     47.00
WA909       0602  23     45.00
WA909       0602  24     42.00
WA909       0602  25     48.00
WA909       0602  26     55.00
WA909       0602  27     43.00
WA909       0602  28     40.00
WA909       0602  29     40.00
WA909       0602  30     39.00
WA909       0702   1     35.00
WA909       0702   2     34.00
WA909       0702   3     37.00
WA909       0702   4     34.00
WA909       0702   5     33.00
WA909       0702   6     46.00
WA909       0702   7     48.00
WA909       0702   8     42.00
WA909       0702   9     41.00
WA909       0702  10     61.00
WA909       0702  11     56.00
WA909       0702  12     55.00
WA909       0702  13     54.00
WA909       0702  14     46.00
WA909       0702  15     44.00
WA909       0702  16     50.00
WA909       0702  17     49.00
WA909       0702  18     49.00
WA909       0702  19     46.00
WA909       0702  20     44.00
WA909       0702  21     51.00
WA909       0702  22     59.00
WA909       0702  23     61.00
WA909       0702  24     58.00
WA909       0702  25     53.00
WA909       0702  26     45.00
WA909       0702  27     42.00
WA909       0702  28     47.00
WA909       0702  29     45.00
WA909       0702  30     39.00
WA909       0702  31     35.00
WA909       0802   1     42.00
WA909       0802   2     39.00
WA909       0802   3     38.00
WA909       0802   4     38.00
WA909       0802   5     38.00
WA909       0802   6     39.00
WA909       0802   7     41.00
WA909       0802   8     42.00
WA909       0802   9     48.00
WA909       0802  10     45.00
WA909       0802  11     45.00
WA909       0802  12     51.00
WA909       0802  13     60.00
WA909       0802  14     55.00
WA909       0802  15     49.00
WA909       0802  16     47.00
WA909       0802  17     48.00
WA909       0802  18     47.00
WA909       0802  19     43.00
WA909       0802  20     42.00
WA909       0802  21     46.00
WA909       0802  22     45.00
WA909       0802  23     54.00
WA909       0802  24     54.00
WA909       0802  25     49.00
WA909       0802  26     48.00
WA909       0802  27     48.00
WA909       0802  28     58.00
WA909       0802  29     53.00
WA909       0802  30     48.00
WA909       0802  31     45.00
WA909       0902   1     44.00
WA909       0902   2     43.00
WA909       0902   3     36.00
WA909       0902   4     34.00
WA909       0902   5     38.00
WA909       0902   6     36.00
WA909       0902   7     36.00
WA909       0902   8     36.00
WA909       0902   9     43.00
WA909       0902  10     49.00
WA909       0902  11     48.00
WA909       0902  12     51.00
WA909       0902  13     50.00
WA909       0902  14     51.00
WA909       0902  15     46.00
WA909       0902  16     38.00
WA909       0902  17     35.00
WA909       0902  18     35.00
WA909       0902  19   -999.00
WA909       0902  20     34.00
WA909       0902  21     38.00
WA909       0902  22     46.00
WA909       0902  23     49.00
WA909       0902  24     48.00
WA909       0902  25     44.00
WA909       0902  26     44.00
WA909       0902  27     42.00
WA909       0902  28     44.00
WA909       0902  29   -999.00
WA909       0902  30     31.00
WA909       1002   1     31.00
WA909       1002   2     34.00
WA909       1002   3     41.00
WA909       1002   4     39.00
WA909       1002   5     39.00
WA909       1002   6     39.00
WA909       1002   7     37.00
WA909       1002   8     36.00
WA909       1002   9     38.00
WA909       1002  10   -999.00
WA909       1002  11   -999.00
WA909       1002  12   -999.00
WA909       1002  13   -999.00
WA909       1002  14   -999.00
WA909       1002  15   -999.00
WA909       1002  16   -999.00
WA909       1002  17   -999.00
WA909       1002  18   -999.00
WA909       1002  19   -999.00
WA909       1002  20   -999.00
WA909       1002  21   -999.00
WA909       1002  22   -999.00
WA909       1002  23   -999.00
WA909       1002  24   -999.00
WA909       1002  25   -999.00
WA909       1002  26   -999.00
WA909       1002  27   -999.00
WA909       1002  28   -999.00
WA909       1002  29   -999.00
WA909       1002  30   -999.00
WA909       1002  31   -999.00
WA909       1102   1   -999.00
WA909       1102   2   -999.00
WA909       1102   3   -999.00
